,0,1,2
0,Date,Value,Anomaly
1,201001,1.5,-4.0
2,201002,10.8,0.1
3,201003,9.8,-3.7
4,201004,26.9,0.1
5,201005,41.3,0.5
6,201006,49.5,-1.6
7,201007,52.1,-2.3
8,201008,51.5,0.7
9,201009,42.8,0.8
10,201010,27.6,-2.2
11,201011,17.7,3.1
12,201012,-2.4,-10.2
13,201101,7.0,1.5
14,201102,6.0,-4.7
15,201103,11.9,-1.6
16,201104,23.2,-3.6
17,201105,40.5,-0.3
18,201106,49.8,-1.3
19,201107,52.1,-2.3
20,201108,49.0,-1.8
21,201109,42.4,0.4
22,201110,28.5,-1.3
23,201111,3.6,-11.0
24,201112,9.4,1.6
25,201201,-12.8,-18.3
26,201202,12.1,1.4
27,201203,4.3,-9.2
28,201204,27.3,0.5
29,201205,37.2,-3.6
30,201206,50.4,-0.7
31,201207,52.0,-2.4
32,201208,49.9,-0.9
33,201209,40.6,-1.4
34,201210,25.5,-4.3
35,201211,6.0,-8.6
36,201212,-0.8,-8.6
37,201301,9.8,4.3
38,201302,6.3,-4.4
39,201303,11.0,-2.5
40,201304,16.7,-10.1
41,201305,35.2,-5.6
42,201306,53.9,2.8
43,201307,55.0,0.6
44,201308,51.4,0.6
45,201309,39.6,-2.4
46,201310,34.0,4.2
47,201311,13.7,-0.9
48,201312,7.0,-0.8
49,201401,18.4,12.9
50,201402,6.7,-4.0
51,201403,14.1,0.6
52,201404,27.4,0.6
53,201405,41.9,1.1
54,201406,48.1,-3.0
55,201407,52.7,-1.7
56,201408,52.0,1.2
57,201409,42.3,0.3
58,201410,25.8,-4.0
59,201411,19.6,5.0
60,201412,15.0,7.2
61,201501,7.1,1.6
62,201502,12.6,1.9
63,201503,15.9,2.4
64,201504,28.2,1.4
65,201505,44.8,4.0
66,201506,52.3,1.2
67,201507,54.2,-0.2
68,201508,49.3,-1.5
69,201509,38.9,-3.1
70,201510,31.6,1.8
71,201511,17.2,2.6
72,201512,8.3,0.5
73,201601,17.2,11.7
74,201602,17.3,6.6
75,201603,18.7,5.2
76,201604,33.3,6.5
77,201605,44.0,3.2
78,201606,51.8,0.7
79,201607,55.6,1.2
80,201608,53.2,2.4
81,201609,42.3,0.3
82,201610,29.7,-0.1
83,201611,13.3,-1.3
84,201612,6.2,-1.6
85,201701,4.5,-1.0
86,201702,6.6,-4.1
87,201703,4.9,-8.6
88,201704,29.6,2.8
89,201705,40.8,0.0
90,201706,51.4,0.3
91,201707,56.2,1.8
92,201708,50.2,-0.6
93,201709,42.6,0.6
94,201710,30.2,0.4
95,201711,15.8,1.2
96,201712,19.1,11.3
97,201801,6.7,1.2
98,201802,12.6,1.9
99,201803,18.0,4.5
100,201804,26.8,0.0
101,201805,39.4,-1.4
102,201806,50.0,-1.1
103,201807,55.6,1.2
104,201808,49.6,-1.2
105,201809,44.3,2.3
106,201810,33.8,4.0
107,201811,19.1,4.5
108,201812,9.1,1.3
109,201901,7.5,2.0
110,201902,15.5,4.8
111,201903,26.5,13.0
112,201904,28.5,1.7
113,201905,43.0,2.2
114,201906,54.0,2.9
115,201907,58.1,3.7
116,201908,51.5,0.7
117,201909,44.4,2.4
118,201910,30.8,1.0
119,201911,19.8,5.2
120,201912,6.7,-1.1
121,202001,-6.4,-11.9
