,0,1,2
0,Date,Value,Anomaly
1,201001,36.5,-3.5
2,201002,36.5,-7.2
3,201003,50.5,-1.7
4,201004,63.4,1.9
5,201005,71.3,1.6
6,201006,81.6,3.3
7,201007,82.0,1.0
8,201008,83.9,4.1
9,201009,74.8,0.3
10,201010,62.7,0.2
11,201011,52.0,1.6
12,201012,38.9,-4.8
13,201101,37.6,-2.4
14,201102,43.9,0.2
15,201103,52.5,0.3
16,201104,63.5,2.0
17,201105,67.3,-2.4
18,201106,81.7,3.4
19,201107,84.7,3.7
20,201108,83.1,3.3
21,201109,70.2,-4.3
22,201110,60.6,-1.9
23,201111,53.4,3.0
24,201112,43.3,-0.4
25,201201,44.6,4.6
26,201202,47.2,3.5
27,201203,62.2,10.0
28,201204,64.4,2.9
29,201205,73.2,3.5
30,201206,78.0,-0.3
31,201207,84.1,3.1
32,201208,80.2,0.4
33,201209,73.5,-1.0
34,201210,59.3,-3.2
35,201211,50.2,-0.2
36,201212,46.4,2.7
37,201301,42.1,2.1
38,201302,43.3,-0.4
39,201303,46.6,-5.6
40,201304,58.5,-3.0
41,201305,67.2,-2.5
42,201306,77.1,-1.2
43,201307,78.0,-3.0
44,201308,78.4,-1.4
45,201309,75.4,0.9
46,201310,61.5,-1.0
47,201311,47.5,-2.9
48,201312,40.1,-3.6
49,201401,35.2,-4.8
50,201402,38.8,-4.9
51,201403,46.5,-5.7
52,201404,59.6,-1.9
53,201405,68.1,-1.6
54,201406,76.7,-1.6
55,201407,75.4,-5.6
56,201408,78.7,-1.1
57,201409,72.6,-1.9
58,201410,63.7,1.2
59,201411,44.9,-5.5
60,201412,43.8,0.1
61,201501,38.6,-1.4
62,201502,36.1,-7.6
63,201503,49.7,-2.5
64,201504,62.5,1.0
65,201505,69.3,-0.4
66,201506,78.1,-0.2
67,201507,81.9,0.9
68,201508,78.1,-1.7
69,201509,74.8,0.3
70,201510,63.5,1.0
71,201511,54.2,3.8
72,201512,50.0,6.3
73,201601,39.5,-0.5
74,201602,46.9,3.2
75,201603,55.5,3.3
76,201604,62.5,1.0
77,201605,67.2,-2.5
78,201606,78.9,0.6
79,201607,82.0,1.0
80,201608,80.0,0.2
81,201609,75.8,1.3
82,201610,67.0,4.5
83,201611,55.7,5.3
84,201612,42.5,-1.2
85,201701,45.2,5.2
86,201702,52.5,8.8
87,201703,55.7,3.5
88,201704,64.2,2.7
89,201705,67.7,-2.0
90,201706,75.5,-2.8
91,201707,80.6,-0.4
92,201708,76.9,-2.9
93,201709,73.2,-1.3
94,201710,62.9,0.4
95,201711,53.7,3.3
96,201712,42.4,-1.3
97,201801,35.7,-4.3
98,201802,45.9,2.2
99,201803,53.9,1.7
100,201804,55.2,-6.3
101,201805,75.0,5.3
102,201806,80.1,1.8
103,201807,81.8,0.8
104,201808,78.8,-1.0
105,201809,75.0,0.5
106,201810,62.6,0.1
107,201811,45.8,-4.6
108,201812,44.2,0.5
109,201901,40.8,0.8
110,201902,46.0,2.3
111,201903,48.9,-3.3
112,201904,60.8,-0.7
113,201905,70.6,0.9
114,201906,75.6,-2.7
115,201907,79.0,-2.0
116,201908,80.3,0.5
117,201909,79.7,5.2
118,201910,60.8,-1.7
119,201911,46.4,-4.0
120,201912,45.7,2.0
121,202001,43.9,3.9
