,0,1,2
0,Date,Value,Anomaly
1,201001,26.1,-0.5
2,201002,24.6,-3.7
3,201003,35.2,-2.7
4,201004,43.6,-0.4
5,201005,50.1,-1.6
6,201006,64.0,-0.6
7,201007,68.6,-0.4
8,201008,66.5,-0.1
9,201009,61.2,0.6
10,201010,49.2,1.9
11,201011,33.6,-2.4
12,201012,31.1,4.2
13,201101,24.0,-2.6
14,201102,24.2,-4.1
15,201103,37.7,-0.2
16,201104,43.0,-1.0
17,201105,49.3,-2.4
18,201106,62.9,-1.7
19,201107,70.0,1.0
20,201108,69.2,2.6
21,201109,58.5,-2.1
22,201110,47.1,-0.2
23,201111,34.9,-1.1
24,201112,24.4,-2.5
25,201201,29.4,2.8
26,201202,27.4,-0.9
27,201203,41.9,4.0
28,201204,48.2,4.2
29,201205,55.4,3.7
30,201206,67.9,3.3
31,201207,70.6,1.6
32,201208,67.7,1.1
33,201209,59.5,-1.1
34,201210,46.5,-0.8
35,201211,39.4,3.4
36,201212,25.9,-1.0
37,201301,22.9,-3.7
38,201302,25.7,-2.6
39,201303,35.0,-2.9
40,201304,39.8,-4.2
41,201305,52.8,1.1
42,201306,65.6,1.0
43,201307,68.5,-0.5
44,201308,67.0,0.4
45,201309,60.7,0.1
46,201310,44.2,-3.1
47,201311,35.2,-0.8
48,201312,23.7,-3.2
49,201401,26.4,-0.2
50,201402,27.6,-0.7
51,201403,36.3,-1.6
52,201404,43.3,-0.7
53,201405,52.4,0.7
54,201406,62.5,-2.1
55,201407,68.4,-0.6
56,201408,64.6,-2.0
57,201409,60.0,-0.6
58,201410,49.9,2.6
59,201411,33.4,-2.6
60,201412,27.9,1.0
61,201501,29.2,2.6
62,201502,32.1,3.8
63,201503,40.6,2.7
64,201504,44.8,0.8
65,201505,49.8,-1.9
66,201506,64.9,0.3
67,201507,66.6,-2.4
68,201508,66.9,0.3
69,201509,62.6,2.0
70,201510,51.4,4.1
71,201511,34.6,-1.4
72,201512,25.8,-1.1
73,201601,25.6,-1.0
74,201602,32.4,4.1
75,201603,37.9,0.0
76,201604,43.7,-0.3
77,201605,50.8,-0.9
78,201606,66.4,1.8
79,201607,69.2,0.2
80,201608,64.5,-2.1
81,201609,59.7,-0.9
82,201610,51.8,4.5
83,201611,40.2,4.2
84,201612,25.2,-1.7
85,201701,25.3,-1.3
86,201702,35.4,7.1
87,201703,42.5,4.6
88,201704,44.3,0.3
89,201705,51.5,-0.2
90,201706,64.8,0.2
91,201707,69.4,0.4
92,201708,64.7,-1.9
93,201709,59.1,-1.5
94,201710,46.7,-0.6
95,201711,41.3,5.3
96,201712,30.1,3.2
97,201801,29.7,3.1
98,201802,28.6,0.3
99,201803,37.8,-0.1
100,201804,44.0,0.0
101,201805,57.2,5.5
102,201806,66.5,1.9
103,201807,70.0,1.0
104,201808,66.2,-0.4
105,201809,61.9,1.3
106,201810,45.0,-2.3
107,201811,32.5,-3.5
108,201812,26.6,-0.3
109,201901,26.0,-0.6
110,201902,24.9,-3.4
111,201903,33.8,-4.1
112,201904,45.5,1.5
113,201905,47.9,-3.8
114,201906,60.6,-4.0
115,201907,69.1,0.1
116,201908,68.3,1.7
117,201909,62.9,2.3
118,201910,40.9,-6.4
119,201911,35.2,-0.8
120,201912,28.1,1.2
121,202001,27.5,0.9
