,0,1,2
0,Date,Value,Anomaly
1,201001,27.0,-0.8
2,201002,29.8,0.4
3,201003,43.0,5.9
4,201004,52.0,3.7
5,201005,60.9,1.3
6,201006,68.9,2.0
7,201007,75.1,1.3
8,201008,71.0,-0.1
9,201009,65.6,0.6
10,201010,52.8,-1.0
11,201011,41.9,0.4
12,201012,28.2,-5.6
13,201101,23.2,-4.6
14,201102,27.1,-2.3
15,201103,37.0,-0.1
16,201104,48.9,0.6
17,201105,59.7,0.1
18,201106,66.9,0.0
19,201107,74.1,0.3
20,201108,70.8,-0.3
21,201109,66.4,1.4
22,201110,53.4,-0.4
23,201111,45.9,4.4
24,201112,36.9,3.1
25,201201,31.7,3.9
26,201202,35.0,5.6
27,201203,45.8,8.7
28,201204,49.7,1.4
29,201205,61.6,2.0
30,201206,66.4,-0.5
31,201207,74.1,0.3
32,201208,72.0,0.9
33,201209,63.3,-1.7
34,201210,54.7,0.9
35,201211,39.4,-2.1
36,201212,35.9,2.1
37,201301,28.8,1.0
38,201302,29.2,-0.2
39,201303,36.0,-1.1
40,201304,47.3,-1.0
41,201305,58.2,-1.4
42,201306,67.7,0.8
43,201307,75.9,2.1
44,201308,68.7,-2.4
45,201309,61.4,-3.6
46,201310,53.4,-0.4
47,201311,39.8,-1.7
48,201312,31.0,-2.8
49,201401,23.6,-4.2
50,201402,25.0,-4.4
51,201403,30.6,-6.5
52,201404,46.7,-1.6
53,201405,58.3,-1.3
54,201406,66.8,-0.1
55,201407,71.9,-1.9
56,201408,68.4,-2.7
57,201409,63.6,-1.4
58,201410,54.1,0.3
59,201411,39.7,-1.8
60,201412,35.4,1.6
61,201501,23.3,-4.5
62,201502,15.8,-13.6
63,201503,31.0,-6.1
64,201504,47.0,-1.3
65,201505,62.7,3.1
66,201506,65.3,-1.6
67,201507,72.2,-1.6
68,201508,72.0,0.9
69,201509,67.8,2.8
70,201510,51.4,-2.4
71,201511,46.1,4.6
72,201512,43.5,9.7
73,201601,29.7,1.9
74,201602,32.0,2.6
75,201603,43.2,6.1
76,201604,46.8,-1.5
77,201605,58.4,-1.2
78,201606,67.4,0.5
79,201607,74.1,0.3
80,201608,73.9,2.8
81,201609,66.2,1.2
82,201610,53.5,-0.3
83,201611,43.5,2.0
84,201612,32.6,-1.2
85,201701,32.7,4.9
86,201702,34.6,5.2
87,201703,33.4,-3.7
88,201704,51.8,3.5
89,201705,56.7,-2.9
90,201706,67.0,0.1
91,201707,71.5,-2.3
92,201708,69.1,-2.0
93,201709,66.0,1.0
94,201710,58.6,4.8
95,201711,41.0,-0.5
96,201712,28.7,-5.1
97,201801,25.4,-2.4
98,201802,35.7,6.3
99,201803,36.4,-0.7
100,201804,43.4,-4.9
101,201805,62.2,2.6
102,201806,66.4,-0.5
103,201807,74.0,0.2
104,201808,74.3,3.2
105,201809,66.1,1.1
106,201810,52.3,-1.5
107,201811,39.1,-2.4
108,201812,33.8,0.0
109,201901,27.0,-0.8
110,201902,30.2,0.8
111,201903,35.0,-2.1
112,201904,49.1,0.8
113,201905,57.1,-2.5
114,201906,66.5,-0.4
115,201907,74.9,1.1
116,201908,70.6,-0.5
117,201909,63.2,-1.8
118,201910,53.6,-0.2
119,201911,38.1,-3.4
120,201912,31.7,-2.1
121,202001,33.1,5.3
