,0,1,2
0,Date,Value,Anomaly
1,201001,33.4,-1.5
2,201002,31.4,-5.8
3,201003,48.1,3.9
4,201004,57.5,2.1
5,201005,66.2,0.5
6,201006,77.4,3.7
7,201007,79.9,1.1
8,201008,77.0,1.2
9,201009,71.4,0.9
10,201010,58.6,-0.9
11,201011,47.5,0.6
12,201012,31.7,-9.1
13,201101,30.3,-4.6
14,201102,38.8,1.6
15,201103,43.9,-0.3
16,201104,57.2,1.8
17,201105,66.4,0.7
18,201106,74.3,0.6
19,201107,80.6,1.8
20,201108,75.5,-0.3
21,201109,70.7,0.2
22,201110,57.2,-2.3
23,201111,50.8,3.9
24,201112,43.4,2.6
25,201201,39.3,4.4
26,201202,41.1,3.9
27,201203,52.4,8.2
28,201204,55.0,-0.4
29,201205,67.8,2.1
30,201206,72.9,-0.8
31,201207,80.9,2.1
32,201208,76.8,1.0
33,201209,68.4,-2.1
34,201210,59.4,-0.1
35,201211,43.5,-3.4
36,201212,44.2,3.4
37,201301,37.4,2.5
38,201302,35.9,-1.3
39,201303,40.5,-3.7
40,201304,54.6,-0.8
41,201305,63.7,-2.0
42,201306,73.5,-0.2
43,201307,79.2,0.4
44,201308,73.4,-2.4
45,201309,66.7,-3.8
46,201310,59.5,0.0
47,201311,45.1,-1.8
48,201312,40.4,-0.4
49,201401,30.0,-4.9
50,201402,33.9,-3.3
51,201403,39.6,-4.6
52,201404,52.9,-2.5
53,201405,64.9,-0.8
54,201406,72.8,-0.9
55,201407,75.8,-3.0
56,201408,72.6,-3.2
57,201409,69.1,-1.4
58,201410,59.4,-0.1
59,201411,44.6,-2.3
60,201412,41.0,0.2
61,201501,32.1,-2.8
62,201502,26.3,-10.9
63,201503,40.0,-4.2
64,201504,54.2,-1.2
65,201505,67.9,2.2
66,201506,73.6,-0.1
67,201507,76.9,-1.9
68,201508,75.1,-0.7
69,201509,72.0,1.5
70,201510,56.5,-3.0
71,201511,51.6,4.7
72,201512,50.8,10.0
73,201601,34.3,-0.6
74,201602,38.5,1.3
75,201603,49.7,5.5
76,201604,53.1,-2.3
77,201605,61.7,-4.0
78,201606,72.4,-1.3
79,201607,79.6,0.8
80,201608,78.6,2.8
81,201609,72.0,1.5
82,201610,60.3,0.8
83,201611,49.0,2.1
84,201612,39.2,-1.6
85,201701,39.1,4.2
86,201702,44.4,7.2
87,201703,43.8,-0.4
88,201704,59.6,4.2
89,201705,62.8,-2.9
90,201706,73.6,-0.1
91,201707,78.4,-0.4
92,201708,74.0,-1.8
93,201709,69.8,-0.7
94,201710,62.4,2.9
95,201711,47.5,0.6
96,201712,36.1,-4.7
97,201801,32.8,-2.1
98,201802,43.2,6.0
99,201803,40.5,-3.7
100,201804,51.6,-3.8
101,201805,68.3,2.6
102,201806,72.6,-1.1
103,201807,77.2,-1.6
104,201808,78.6,2.8
105,201809,73.6,3.1
106,201810,60.2,0.7
107,201811,45.7,-1.2
108,201812,41.4,0.6
109,201901,35.3,0.4
110,201902,38.7,1.5
111,201903,43.2,-1.0
112,201904,58.7,3.3
113,201905,66.9,1.2
114,201906,73.8,0.1
115,201907,79.8,1.0
116,201908,76.4,0.6
117,201909,71.6,1.1
118,201910,61.5,2.0
119,201911,43.6,-3.3
120,201912,40.0,-0.8
121,202001,40.2,5.3
