,0,1,2
0,Date,Value,Anomaly
1,201001,21.5,-4.9
2,201002,25.7,-3.9
3,201003,43.8,2.3
4,201004,58.7,5.7
5,201005,64.3,-0.1
6,201006,74.9,1.9
7,201007,77.6,1.5
8,201008,76.8,3.1
9,201009,67.2,-0.9
10,201010,56.5,1.0
11,201011,43.7,2.4
12,201012,24.0,-8.7
13,201101,22.7,-3.7
14,201102,30.2,0.6
15,201103,41.6,0.1
16,201104,53.1,0.1
17,201105,62.1,-2.3
18,201106,72.9,-0.1
19,201107,79.9,3.8
20,201108,74.8,1.1
21,201109,63.6,-4.5
22,201110,55.2,-0.3
23,201111,45.8,4.5
24,201112,35.9,3.2
25,201201,31.9,5.5
26,201202,35.8,6.2
27,201203,55.5,14.0
28,201204,54.6,1.6
29,201205,68.1,3.7
30,201206,72.6,-0.4
31,201207,81.8,5.7
32,201208,73.6,-0.1
33,201209,64.9,-3.2
34,201210,52.5,-3.0
35,201211,41.2,-0.1
36,201212,36.8,4.1
37,201301,29.2,2.8
38,201302,29.9,0.3
39,201303,34.3,-7.2
40,201304,50.2,-2.8
41,201305,63.9,-0.5
42,201306,71.5,-1.5
43,201307,73.1,-3.0
44,201308,72.8,-0.9
45,201309,68.6,0.5
46,201310,54.5,-1.0
47,201311,38.8,-2.5
48,201312,26.2,-6.5
49,201401,19.3,-7.1
50,201402,19.4,-10.2
51,201403,34.4,-7.1
52,201404,52.4,-0.6
53,201405,63.7,-0.7
54,201406,73.0,0.0
55,201407,70.3,-5.8
56,201408,73.8,0.1
57,201409,64.7,-3.4
58,201410,54.3,-1.2
59,201411,34.6,-6.7
60,201412,33.9,1.2
61,201501,25.7,-0.7
62,201502,19.4,-10.2
63,201503,38.3,-3.2
64,201504,54.3,1.3
65,201505,64.9,0.5
66,201506,71.7,-1.3
67,201507,74.2,-1.9
68,201508,71.9,-1.8
69,201509,70.4,2.3
70,201510,56.0,0.5
71,201511,46.6,5.3
72,201512,41.1,8.4
73,201601,26.9,0.5
74,201602,33.8,4.2
75,201603,47.3,5.8
76,201604,53.0,0.0
77,201605,62.0,-2.4
78,201606,74.8,1.8
79,201607,75.6,-0.5
80,201608,75.7,2.0
81,201609,70.8,2.7
82,201610,59.9,4.4
83,201611,48.1,6.8
84,201612,28.9,-3.8
85,201701,32.1,5.7
86,201702,41.1,11.5
87,201703,43.2,1.7
88,201704,56.5,3.5
89,201705,61.9,-2.5
90,201706,72.7,-0.3
91,201707,76.1,0.0
92,201708,70.5,-3.2
93,201709,68.8,0.7
94,201710,58.1,2.6
95,201711,41.9,0.6
96,201712,29.8,-2.9
97,201801,24.1,-2.3
98,201802,31.8,2.2
99,201803,39.2,-2.3
100,201804,44.8,-8.2
101,201805,70.7,6.3
102,201806,74.9,1.9
103,201807,75.0,-1.1
104,201808,74.7,1.0
105,201809,70.3,2.2
106,201810,54.2,-1.3
107,201811,35.6,-5.7
108,201812,34.4,1.7
109,201901,25.4,-1.0
110,201902,29.3,-0.3
111,201903,37.3,-4.2
112,201904,52.5,-0.5
113,201905,62.5,-1.9
114,201906,70.9,-2.1
115,201907,77.4,1.3
116,201908,72.8,-0.9
117,201909,71.6,3.5
118,201910,53.7,-1.8
119,201911,36.2,-5.1
120,201912,35.6,2.9
121,202001,31.9,5.5
