,0,1,2
0,Date,Value,Anomaly
1,201001,23.9,-3.5
2,201002,25.7,-4.9
3,201003,43.6,2.4
4,201004,57.3,4.7
5,201005,64.3,0.3
6,201006,74.1,2.1
7,201007,76.4,1.5
8,201008,75.6,2.9
9,201009,67.2,-0.1
10,201010,56.0,0.7
11,201011,42.8,1.4
12,201012,24.3,-9.4
13,201101,23.7,-3.7
14,201102,31.2,0.6
15,201103,41.7,0.5
16,201104,53.0,0.4
17,201105,62.1,-1.9
18,201106,72.2,0.2
19,201107,78.8,3.9
20,201108,73.1,0.4
21,201109,63.6,-3.7
22,201110,53.9,-1.4
23,201111,46.9,5.5
24,201112,36.6,2.9
25,201201,32.4,5.0
26,201202,35.4,4.8
27,201203,55.0,13.8
28,201204,52.9,0.3
29,201205,67.7,3.7
30,201206,71.6,-0.4
31,201207,80.2,5.3
32,201208,71.9,-0.8
33,201209,64.2,-3.1
34,201210,52.1,-3.2
35,201211,40.0,-1.4
36,201212,38.2,4.5
37,201301,29.9,2.5
38,201302,30.2,-0.4
39,201303,34.8,-6.4
40,201304,50.8,-1.8
41,201305,64.4,0.4
42,201306,70.8,-1.2
43,201307,72.3,-2.6
44,201308,71.5,-1.2
45,201309,66.9,-0.4
46,201310,54.3,-1.0
47,201311,39.2,-2.2
48,201312,29.4,-4.3
49,201401,19.4,-8.0
50,201402,22.0,-8.6
51,201403,34.1,-7.1
52,201404,52.4,-0.2
53,201405,62.9,-1.1
54,201406,72.6,0.6
55,201407,69.1,-5.8
56,201408,72.4,-0.3
57,201409,64.0,-3.3
58,201410,53.8,-1.5
59,201411,35.6,-5.8
60,201412,34.6,0.9
61,201501,25.3,-2.1
62,201502,19.3,-11.3
63,201503,37.2,-4.0
64,201504,52.9,0.3
65,201505,65.0,1.0
66,201506,71.0,-1.0
67,201507,72.9,-2.0
68,201508,70.6,-2.1
69,201509,68.8,1.5
70,201510,55.6,0.3
71,201511,46.6,5.2
72,201512,42.5,8.8
73,201601,27.5,0.1
74,201602,33.9,3.3
75,201603,47.3,6.1
76,201604,52.0,-0.6
77,201605,60.6,-3.4
78,201606,72.9,0.9
79,201607,74.6,-0.3
80,201608,75.7,3.0
81,201609,69.9,2.6
82,201610,59.5,4.2
83,201611,47.0,5.6
84,201612,29.8,-3.9
85,201701,33.8,6.4
86,201702,41.3,10.7
87,201703,42.6,1.4
88,201704,57.0,4.4
89,201705,60.9,-3.1
90,201706,71.1,-0.9
91,201707,74.2,-0.7
92,201708,70.0,-2.7
93,201709,67.2,-0.1
94,201710,57.6,2.3
95,201711,42.4,1.0
96,201712,29.6,-4.1
97,201801,24.5,-2.9
98,201802,35.1,4.5
99,201803,38.2,-3.0
100,201804,45.1,-7.5
101,201805,69.7,5.7
102,201806,73.4,1.4
103,201807,74.1,-0.8
104,201808,74.0,1.3
105,201809,69.9,2.6
106,201810,54.9,-0.4
107,201811,36.8,-4.6
108,201812,35.4,1.7
109,201901,27.0,-0.4
110,201902,32.3,1.7
111,201903,37.2,-4.0
112,201904,52.2,-0.4
113,201905,62.6,-1.4
114,201906,69.9,-2.1
115,201907,76.3,1.4
116,201908,72.3,-0.4
117,201909,70.8,3.5
118,201910,55.5,0.2
119,201911,36.5,-4.9
120,201912,36.2,2.5
121,202001,34.3,6.9
