,0,1,2
0,Date,Value,Anomaly
1,201001,27.2,-4.1
2,201002,29.9,-3.5
3,201003,44.2,-1.3
4,201004,57.8,3.2
5,201005,62.1,-1.8
6,201006,77.0,1.1
7,201007,79.6,-0.2
8,201008,79.7,2.8
9,201009,70.8,0.2
10,201010,59.1,2.3
11,201011,43.6,0.2
12,201012,32.3,-1.3
13,201101,27.3,-4.0
14,201102,30.2,-3.2
15,201103,44.1,-1.4
16,201104,55.2,0.6
17,201105,62.6,-1.3
18,201106,76.8,0.9
19,201107,84.9,5.1
20,201108,80.9,4.0
21,201109,66.2,-4.4
22,201110,57.5,0.7
23,201111,43.7,0.3
24,201112,33.1,-0.5
25,201201,36.1,4.8
26,201202,37.1,3.7
27,201203,55.5,10.0
28,201204,59.2,4.6
29,201205,69.0,5.1
30,201206,77.5,1.6
31,201207,84.4,4.6
32,201208,76.5,-0.4
33,201209,68.2,-2.4
34,201210,54.0,-2.8
35,201211,46.5,3.1
36,201212,34.6,1.0
37,201301,32.3,1.0
38,201302,33.6,0.2
39,201303,40.3,-5.2
40,201304,48.4,-6.2
41,201305,63.3,-0.6
42,201306,75.2,-0.7
43,201307,77.2,-2.6
44,201308,76.5,-0.4
45,201309,72.1,1.5
46,201310,55.2,-1.6
47,201311,41.3,-2.1
48,201312,29.2,-4.4
49,201401,29.6,-1.7
50,201402,27.8,-5.6
51,201403,40.6,-4.9
52,201404,54.0,-0.6
53,201405,64.7,0.8
54,201406,73.6,-2.3
55,201407,75.4,-4.4
56,201408,78.3,1.4
57,201409,68.2,-2.4
58,201410,58.9,2.1
59,201411,38.5,-4.9
60,201412,34.6,1.0
61,201501,32.1,0.8
62,201502,31.2,-2.2
63,201503,46.8,1.3
64,201504,56.4,1.8
65,201505,61.7,-2.2
66,201506,75.8,-0.1
67,201507,78.9,-0.9
68,201508,75.2,-1.7
69,201509,74.2,3.6
70,201510,59.2,2.4
71,201511,46.5,3.1
72,201512,37.6,4.0
73,201601,32.0,0.7
74,201602,40.8,7.4
75,201603,49.7,4.2
76,201604,56.3,1.7
77,201605,61.6,-2.3
78,201606,77.5,1.6
79,201607,79.7,-0.1
80,201608,76.4,-0.5
81,201609,70.8,0.2
82,201610,61.5,4.7
83,201611,49.9,6.5
84,201612,29.8,-3.8
85,201701,33.0,1.7
86,201702,43.1,9.7
87,201703,48.9,3.4
88,201704,55.6,1.0
89,201705,62.2,-1.7
90,201706,75.1,-0.8
91,201707,80.1,0.3
92,201708,73.1,-3.8
93,201709,70.5,-0.1
94,201710,57.6,0.8
95,201711,45.2,1.8
96,201712,33.6,0.0
97,201801,29.9,-1.4
98,201802,31.9,-1.5
99,201803,45.9,0.4
100,201804,47.6,-7.0
101,201805,71.1,7.2
102,201806,78.2,2.3
103,201807,78.7,-1.1
104,201808,75.7,-1.2
105,201809,70.1,-0.5
106,201810,53.6,-3.2
107,201811,38.2,-5.2
108,201812,34.3,0.7
109,201901,31.3,0.0
110,201902,27.9,-5.5
111,201903,39.4,-6.1
112,201904,55.4,0.8
113,201905,60.5,-3.4
114,201906,72.4,-3.5
115,201907,78.6,-1.2
116,201908,77.1,0.2
117,201909,75.2,4.6
118,201910,51.1,-5.7
119,201911,40.2,-3.2
120,201912,36.7,3.1
121,202001,33.9,2.6
