,0,1,2
0,Date,Value,Anomaly
1,201001,29.8,-4.0
2,201002,30.6,-7.3
3,201003,46.5,0.0
4,201004,59.9,2.6
5,201005,67.3,0.6
6,201006,77.0,3.1
7,201007,78.4,1.4
8,201008,78.3,3.0
9,201009,70.0,0.0
10,201010,58.2,-0.1
11,201011,47.1,1.7
12,201012,29.0,-10.4
13,201101,30.2,-3.6
14,201102,39.1,1.2
15,201103,47.9,1.4
16,201104,58.8,1.5
17,201105,64.2,-2.5
18,201106,74.2,0.3
19,201107,79.5,2.5
20,201108,75.8,0.5
21,201109,66.9,-3.1
22,201110,55.6,-2.7
23,201111,49.9,4.5
24,201112,41.0,1.6
25,201201,38.7,4.9
26,201202,41.2,3.3
27,201203,58.0,11.5
28,201204,57.3,0.0
29,201205,69.4,2.7
30,201206,72.5,-1.4
31,201207,80.5,3.5
32,201208,74.6,-0.7
33,201209,67.3,-2.7
34,201210,55.2,-3.1
35,201211,43.2,-2.2
36,201212,43.0,3.6
37,201301,36.7,2.9
38,201302,36.8,-1.1
39,201303,39.4,-7.1
40,201304,55.2,-2.1
41,201305,64.9,-1.8
42,201306,72.9,-1.0
43,201307,74.0,-3.0
44,201308,73.7,-1.6
45,201309,69.1,-0.9
46,201310,57.6,-0.7
47,201311,42.8,-2.6
48,201312,37.4,-2.0
49,201401,26.8,-7.0
50,201402,33.2,-4.7
51,201403,41.5,-5.0
52,201404,57.4,0.1
53,201405,66.1,-0.6
54,201406,74.1,0.2
55,201407,72.6,-4.4
56,201408,75.1,-0.2
57,201409,68.2,-1.8
58,201410,57.6,-0.7
59,201411,39.8,-5.6
60,201412,39.7,0.3
61,201501,32.2,-1.6
62,201502,26.3,-11.6
63,201503,44.5,-2.0
64,201504,57.4,0.1
65,201505,67.3,0.6
66,201506,74.2,0.3
67,201507,76.5,-0.5
68,201508,72.8,-2.5
69,201509,70.2,0.2
70,201510,57.8,-0.5
71,201511,50.9,5.5
72,201512,48.7,9.3
73,201601,31.6,-2.2
74,201602,38.9,1.0
75,201603,51.8,5.3
76,201604,57.3,0.0
77,201605,62.9,-3.8
78,201606,74.9,1.0
79,201607,77.9,0.9
80,201608,78.0,2.7
81,201609,72.2,2.2
82,201610,62.7,4.4
83,201611,49.9,4.5
84,201612,37.0,-2.4
85,201701,40.9,7.1
86,201702,46.2,8.3
87,201703,47.9,1.4
88,201704,61.5,4.2
89,201705,65.0,-1.7
90,201706,71.7,-2.2
91,201707,76.9,-0.1
92,201708,73.1,-2.2
93,201709,68.3,-1.7
94,201710,59.4,1.1
95,201711,47.1,1.7
96,201712,35.8,-3.6
97,201801,30.0,-3.8
98,201802,44.6,6.7
99,201803,44.1,-2.4
100,201804,50.7,-6.6
101,201805,71.8,5.1
102,201806,75.5,1.6
103,201807,76.6,-0.4
104,201808,75.8,0.5
105,201809,73.1,3.1
106,201810,58.9,0.6
107,201811,41.9,-3.5
108,201812,40.5,1.1
109,201901,35.1,1.3
110,201902,42.3,4.4
111,201903,43.1,-3.4
112,201904,57.8,0.5
113,201905,68.4,1.7
114,201906,71.9,-2.0
115,201907,77.4,0.4
116,201908,75.6,0.3
117,201909,74.8,4.8
118,201910,60.0,1.7
119,201911,41.2,-4.2
120,201912,42.1,2.7
121,202001,40.1,6.3
