,0,1,2
0,Date,Value,Anomaly
1,201001,45.6,-3.9
2,201002,44.8,-9.2
3,201003,55.1,-5.3
4,201004,67.6,0.3
5,201005,77.3,2.8
6,201006,83.5,2.4
7,201007,83.4,0.8
8,201008,85.0,2.1
9,201009,79.8,0.9
10,201010,68.3,-0.4
11,201011,59.0,1.0
12,201012,48.1,-4.8
13,201101,46.9,-2.6
14,201102,52.5,-1.5
15,201103,62.0,1.6
16,201104,70.4,3.1
17,201105,73.7,-0.8
18,201106,83.8,2.7
19,201107,84.1,1.5
20,201108,86.7,3.8
21,201109,76.0,-2.9
22,201110,65.5,-3.2
23,201111,59.7,1.7
24,201112,51.3,-1.6
25,201201,55.2,5.7
26,201202,56.1,2.1
27,201203,67.4,7.0
28,201204,69.4,2.1
29,201205,76.3,1.8
30,201206,80.7,-0.4
31,201207,82.3,-0.3
32,201208,82.0,-0.9
33,201209,77.4,-1.5
34,201210,65.8,-2.9
35,201211,57.0,-1.0
36,201212,55.0,2.1
37,201301,52.5,3.0
38,201302,54.2,0.2
39,201303,55.3,-5.1
40,201304,64.6,-2.7
41,201305,71.7,-2.8
42,201306,80.9,-0.2
43,201307,80.7,-1.9
44,201308,82.0,-0.9
45,201309,79.9,1.0
46,201310,68.6,-0.1
47,201311,55.0,-3.0
48,201312,49.6,-3.3
49,201401,43.4,-6.1
50,201402,50.2,-3.8
51,201403,55.0,-5.4
52,201404,65.5,-1.8
53,201405,71.8,-2.7
54,201406,79.8,-1.3
55,201407,80.0,-2.6
56,201408,81.3,-1.6
57,201409,78.1,-0.8
58,201410,69.0,0.3
59,201411,53.1,-4.9
60,201412,53.7,0.8
61,201501,47.2,-2.3
62,201502,47.5,-6.5
63,201503,60.5,0.1
64,201504,69.8,2.5
65,201505,74.8,0.3
66,201506,80.5,-0.6
67,201507,84.2,1.6
68,201508,82.6,-0.3
69,201509,78.5,-0.4
70,201510,69.7,1.0
71,201511,62.7,4.7
72,201512,59.1,6.2
73,201601,48.8,-0.7
74,201602,55.1,1.1
75,201603,63.8,3.4
76,201604,68.2,0.9
77,201605,73.3,-1.2
78,201606,80.9,-0.2
79,201607,83.7,1.1
80,201608,82.4,-0.5
81,201609,80.2,1.3
82,201610,71.4,2.7
83,201611,62.4,4.4
84,201612,54.7,1.8
85,201701,56.8,7.3
86,201702,61.7,7.7
87,201703,64.4,4.0
88,201704,69.4,2.1
89,201705,71.8,-2.7
90,201706,78.5,-2.6
91,201707,82.4,-0.2
92,201708,81.0,-1.9
93,201709,77.0,-1.9
94,201710,69.2,0.5
95,201711,61.6,3.6
96,201712,50.8,-2.1
97,201801,44.2,-5.3
98,201802,60.5,6.5
99,201803,62.2,1.8
100,201804,62.7,-4.6
101,201805,77.8,3.3
102,201806,82.1,1.0
103,201807,83.5,0.9
104,201808,82.0,-0.9
105,201809,80.2,1.3
106,201810,70.7,2.0
107,201811,54.8,-3.2
108,201812,52.6,-0.3
109,201901,49.9,0.4
110,201902,57.6,3.6
111,201903,58.2,-2.2
112,201904,65.2,-2.1
113,201905,76.0,1.5
114,201906,80.2,-0.9
115,201907,81.8,-0.8
116,201908,83.5,0.6
117,201909,82.2,3.3
118,201910,69.1,0.4
119,201911,54.7,-3.3
120,201912,54.1,1.2
121,202001,53.6,4.1
