,0,1,2
0,Date,Value,Anomaly
1,201001,20.3,3.2
2,201002,24.6,6.1
3,201003,34.6,7.5
4,201004,44.9,5.3
5,201005,54.6,2.1
6,201006,60.8,0.7
7,201007,69.2,1.8
8,201008,65.2,-0.3
9,201009,58.3,0.1
10,201010,45.2,-1.5
11,201011,34.5,1.0
12,201012,23.4,0.6
13,201101,15.9,-1.2
14,201102,16.2,-2.3
15,201103,26.8,-0.3
16,201104,39.0,-0.6
17,201105,51.9,-0.6
18,201106,60.2,0.1
19,201107,67.6,0.2
20,201108,64.8,-0.7
21,201109,59.0,0.8
22,201110,47.6,0.9
23,201111,38.8,5.3
24,201112,26.0,3.2
25,201201,18.2,1.1
26,201202,21.4,2.9
27,201203,34.3,7.2
28,201204,42.2,2.6
29,201205,53.8,1.3
30,201206,60.2,0.1
31,201207,67.6,0.2
32,201208,67.4,1.9
33,201209,55.9,-2.3
34,201210,48.2,1.5
35,201211,32.7,-0.8
36,201212,24.4,1.6
37,201301,15.8,-1.3
38,201302,20.0,1.5
39,201303,30.3,3.2
40,201304,39.1,-0.5
41,201305,52.3,-0.2
42,201306,60.8,0.7
43,201307,68.3,0.9
44,201308,63.7,-1.8
45,201309,56.7,-1.5
46,201310,47.3,0.6
47,201311,32.3,-1.2
48,201312,17.0,-5.8
49,201401,14.2,-2.9
50,201402,15.7,-2.8
51,201403,18.1,-9.0
52,201404,38.7,-0.9
53,201405,51.7,-0.8
54,201406,61.6,1.5
55,201407,67.2,-0.2
56,201408,64.4,-1.1
57,201409,56.4,-1.8
58,201410,48.5,1.8
59,201411,31.8,-1.7
60,201412,26.0,3.2
61,201501,11.7,-5.4
62,201502,5.2,-13.3
63,201503,21.6,-5.5
64,201504,37.8,-1.8
65,201505,55.7,3.2
66,201506,57.5,-2.6
67,201507,64.8,-2.6
68,201508,67.2,1.7
69,201509,61.8,3.6
70,201510,43.2,-3.5
71,201511,37.0,3.5
72,201512,31.2,8.4
73,201601,20.1,3.0
74,201602,21.9,3.4
75,201603,29.2,2.1
76,201604,37.3,-2.3
77,201605,52.8,0.3
78,201606,60.5,0.4
79,201607,67.0,-0.4
80,201608,66.6,1.1
81,201609,59.1,0.9
82,201610,46.9,0.2
83,201611,37.2,3.7
84,201612,20.5,-2.3
85,201701,21.5,4.4
86,201702,20.6,2.1
87,201703,22.2,-4.9
88,201704,42.0,2.4
89,201705,50.7,-1.8
90,201706,61.0,0.9
91,201707,65.2,-2.2
92,201708,63.3,-2.2
93,201709,61.1,2.9
94,201710,52.0,5.3
95,201711,32.4,-1.1
96,201712,16.4,-6.4
97,201801,15.0,-2.1
98,201802,22.7,4.2
99,201803,28.9,1.8
100,201804,36.5,-3.1
101,201805,53.5,1.0
102,201806,59.0,-1.1
103,201807,68.8,1.4
104,201808,68.0,2.5
105,201809,57.9,-0.3
106,201810,41.9,-4.8
107,201811,28.6,-4.9
108,201812,20.4,-2.4
109,201901,14.1,-3.0
110,201902,16.3,-2.2
111,201903,24.7,-2.4
112,201904,38.8,-0.8
113,201905,48.1,-4.4
114,201906,59.5,-0.6
115,201907,68.3,0.9
116,201908,64.5,-1.0
117,201909,55.3,-2.9
118,201910,46.1,-0.6
119,201911,29.6,-3.9
120,201912,22.8,0.0
121,202001,20.8,3.7
