,0,1,2
0,Date,Value,Anomaly
1,201001,32.2,-1.3
2,201002,30.8,-5.3
3,201003,47.4,3.9
4,201004,57.5,2.4
5,201005,65.7,0.4
6,201006,76.2,3.3
7,201007,79.1,1.3
8,201008,76.4,1.5
9,201009,70.2,0.6
10,201010,57.8,-0.5
11,201011,46.1,0.7
12,201012,30.8,-8.5
13,201101,29.6,-3.9
14,201102,37.6,1.5
15,201103,43.7,0.2
16,201104,56.7,1.6
17,201105,65.8,0.5
18,201106,74.0,1.1
19,201107,79.6,1.8
20,201108,75.1,0.2
21,201109,69.0,-0.6
22,201110,55.9,-2.4
23,201111,49.5,4.1
24,201112,41.8,2.5
25,201201,37.4,3.9
26,201202,40.5,4.4
27,201203,52.7,9.2
28,201204,54.2,-0.9
29,201205,67.7,2.4
30,201206,71.7,-1.2
31,201207,79.8,2.0
32,201208,75.8,0.9
33,201209,67.8,-1.8
34,201210,57.5,-0.8
35,201211,42.6,-2.8
36,201212,42.2,2.9
37,201301,36.3,2.8
38,201302,34.5,-1.6
39,201303,39.7,-3.8
40,201304,54.4,-0.7
41,201305,62.8,-2.5
42,201306,72.7,-0.2
43,201307,77.8,0.0
44,201308,72.4,-2.5
45,201309,66.0,-3.6
46,201310,58.1,-0.2
47,201311,43.3,-2.1
48,201312,38.6,-0.7
49,201401,27.8,-5.7
50,201402,32.8,-3.3
51,201403,38.2,-5.3
52,201404,52.7,-2.4
53,201405,64.2,-1.1
54,201406,72.3,-0.6
55,201407,74.7,-3.1
56,201408,71.7,-3.2
57,201409,68.0,-1.6
58,201410,58.2,-0.1
59,201411,42.7,-2.7
60,201412,39.6,0.3
61,201501,30.7,-2.8
62,201502,25.3,-10.8
63,201503,39.4,-4.1
64,201504,54.0,-1.1
65,201505,67.6,2.3
66,201506,73.0,0.1
67,201507,75.9,-1.9
68,201508,73.9,-1.0
69,201509,70.8,1.2
70,201510,55.6,-2.7
71,201511,50.5,5.1
72,201512,48.6,9.3
73,201601,32.1,-1.4
74,201602,36.9,0.8
75,201603,49.4,5.9
76,201604,53.1,-2.0
77,201605,60.9,-4.4
78,201606,72.2,-0.7
79,201607,78.4,0.6
80,201608,78.0,3.1
81,201609,71.5,1.9
82,201610,59.4,1.1
83,201611,47.7,2.3
84,201612,38.0,-1.3
85,201701,38.3,4.8
86,201702,43.7,7.6
87,201703,43.1,-0.4
88,201704,59.5,4.4
89,201705,62.2,-3.1
90,201706,72.6,-0.3
91,201707,77.4,-0.4
92,201708,72.8,-2.1
93,201709,68.3,-1.3
94,201710,61.2,2.9
95,201711,45.8,0.4
96,201712,35.3,-4.0
97,201801,31.0,-2.5
98,201802,41.6,5.5
99,201803,39.3,-4.2
100,201804,50.7,-4.4
101,201805,68.8,3.5
102,201806,72.1,-0.8
103,201807,76.2,-1.6
104,201808,77.1,2.2
105,201809,72.7,3.1
106,201810,59.0,0.7
107,201811,43.4,-2.0
108,201812,39.2,-0.1
109,201901,34.0,0.5
110,201902,37.6,1.5
111,201903,42.1,-1.4
112,201904,57.8,2.7
113,201905,67.3,2.0
114,201906,72.5,-0.4
115,201907,78.6,0.8
116,201908,75.6,0.7
117,201909,71.4,1.8
118,201910,60.3,2.0
119,201911,42.6,-2.8
120,201912,38.9,-0.4
121,202001,39.2,5.7
