,0,1,2
0,Date,Value,Anomaly
1,201001,25.9,-0.8
2,201002,29.3,1.1
3,201003,41.4,5.9
4,201004,50.6,3.6
5,201005,60.3,1.9
6,201006,67.6,1.9
7,201007,74.1,1.4
8,201008,70.1,-0.1
9,201009,64.6,0.8
10,201010,51.5,-1.0
11,201011,41.0,0.4
12,201012,27.8,-4.6
13,201101,22.4,-4.3
14,201102,25.5,-2.7
15,201103,35.4,-0.1
16,201104,47.7,0.7
17,201105,58.5,0.1
18,201106,65.2,-0.5
19,201107,72.8,0.1
20,201108,69.8,-0.4
21,201109,64.9,1.1
22,201110,52.6,0.1
23,201111,45.4,4.8
24,201112,35.8,3.4
25,201201,30.4,3.7
26,201202,33.6,5.4
27,201203,44.1,8.6
28,201204,48.7,1.7
29,201205,60.4,2.0
30,201206,65.0,-0.7
31,201207,73.0,0.3
32,201208,71.5,1.3
33,201209,61.9,-1.9
34,201210,53.5,1.0
35,201211,39.2,-1.4
36,201212,34.7,2.3
37,201301,27.5,0.8
38,201302,28.4,0.2
39,201303,34.9,-0.6
40,201304,46.3,-0.7
41,201305,57.7,-0.7
42,201306,67.0,1.3
43,201307,75.0,2.3
44,201308,68.0,-2.2
45,201309,60.8,-3.0
46,201310,51.8,-0.7
47,201311,38.8,-1.8
48,201312,29.4,-3.0
49,201401,23.0,-3.7
50,201402,24.1,-4.1
51,201403,29.1,-6.4
52,201404,45.9,-1.1
53,201405,57.2,-1.2
54,201406,65.9,0.2
55,201407,71.2,-1.5
56,201408,67.2,-3.0
57,201409,62.3,-1.5
58,201410,53.3,0.8
59,201411,38.8,-1.8
60,201412,34.7,2.3
61,201501,21.8,-4.9
62,201502,14.6,-13.6
63,201503,29.3,-6.2
64,201504,45.5,-1.5
65,201505,61.8,3.4
66,201506,63.6,-2.1
67,201507,71.0,-1.7
68,201508,71.1,0.9
69,201509,66.2,2.4
70,201510,50.1,-2.4
71,201511,44.7,4.1
72,201512,41.8,9.4
73,201601,28.5,1.8
74,201602,30.9,2.7
75,201603,41.0,5.5
76,201604,45.0,-2.0
77,201605,57.2,-1.2
78,201606,66.1,0.4
79,201607,72.6,-0.1
80,201608,72.5,2.3
81,201609,64.6,0.8
82,201610,52.2,-0.3
83,201611,42.2,1.6
84,201612,31.0,-1.4
85,201701,31.5,4.8
86,201702,33.0,4.8
87,201703,31.5,-4.0
88,201704,50.2,3.2
89,201705,55.2,-3.2
90,201706,66.0,0.3
91,201707,70.0,-2.7
92,201708,68.0,-2.2
93,201709,65.1,1.3
94,201710,57.5,5.0
95,201711,40.3,-0.3
96,201712,26.6,-5.8
97,201801,24.5,-2.2
98,201802,34.3,6.1
99,201803,34.8,-0.7
100,201804,42.3,-4.7
101,201805,60.8,2.4
102,201806,64.8,-0.9
103,201807,73.3,0.6
104,201808,73.5,3.3
105,201809,65.2,1.4
106,201810,50.3,-2.2
107,201811,37.8,-2.8
108,201812,32.1,-0.3
109,201901,25.9,-0.8
110,201902,28.5,0.3
111,201903,33.7,-1.8
112,201904,47.7,0.7
113,201905,55.3,-3.1
114,201906,65.5,-0.2
115,201907,73.8,1.1
116,201908,69.8,-0.4
117,201909,62.0,-1.8
118,201910,52.4,-0.1
119,201911,37.4,-3.2
120,201912,30.5,-1.9
121,202001,32.0,5.3
