,0,1,2
0,Date,Value,Anomaly
1,201001,25.5,-5.3
2,201002,28.4,-5.7
3,201003,45.0,-0.4
4,201004,60.5,4.3
5,201005,64.5,-0.9
6,201006,77.3,2.4
7,201007,79.1,0.8
8,201008,79.0,3.2
9,201009,68.8,-1.0
10,201010,58.3,1.0
11,201011,46.5,2.2
12,201012,29.6,-6.2
13,201101,26.7,-4.1
14,201102,33.2,-0.9
15,201103,45.1,-0.3
16,201104,56.8,0.6
17,201105,62.8,-2.6
18,201106,75.8,0.9
19,201107,82.7,4.4
20,201108,77.8,2.0
21,201109,64.8,-5.0
22,201110,57.2,-0.1
23,201111,47.4,3.1
24,201112,37.4,1.6
25,201201,36.3,5.5
26,201202,39.9,5.8
27,201203,58.1,12.7
28,201204,59.0,2.8
29,201205,69.5,4.1
30,201206,74.8,-0.1
31,201207,83.6,5.3
32,201208,76.2,0.4
33,201209,67.0,-2.8
34,201210,54.3,-3.0
35,201211,45.1,0.8
36,201212,38.8,3.0
37,201301,33.8,3.0
38,201302,34.4,0.3
39,201303,38.3,-7.1
40,201304,52.1,-4.1
41,201305,63.4,-2.0
42,201306,73.0,-1.9
43,201307,75.0,-3.3
44,201308,74.6,-1.2
45,201309,70.7,0.9
46,201310,55.9,-1.4
47,201311,41.8,-2.5
48,201312,30.3,-5.5
49,201401,25.8,-5.0
50,201402,26.5,-7.6
51,201403,39.5,-5.9
52,201404,55.1,-1.1
53,201405,65.3,-0.1
54,201406,73.7,-1.2
55,201407,72.6,-5.7
56,201408,76.6,0.8
57,201409,67.1,-2.7
58,201410,57.8,0.5
59,201411,37.8,-6.5
60,201412,36.7,0.9
61,201501,31.2,0.4
62,201502,26.2,-7.9
63,201503,44.5,-0.9
64,201504,57.7,1.5
65,201505,64.8,-0.6
66,201506,74.3,-0.6
67,201507,77.4,-0.9
68,201508,73.4,-2.4
69,201509,71.6,1.8
70,201510,57.7,0.4
71,201511,48.9,4.6
72,201512,42.4,6.6
73,201601,30.9,0.1
74,201602,39.1,5.0
75,201603,50.4,5.0
76,201604,57.3,1.1
77,201605,62.7,-2.7
78,201606,76.9,2.0
79,201607,78.1,-0.2
80,201608,76.7,0.9
81,201609,71.7,1.9
82,201610,62.1,4.8
83,201611,51.0,6.7
84,201612,32.4,-3.4
85,201701,35.4,4.6
86,201702,45.1,11.0
87,201703,48.4,3.0
88,201704,58.5,2.3
89,201705,64.1,-1.3
90,201706,73.5,-1.4
91,201707,78.8,0.5
92,201708,72.1,-3.7
93,201709,70.4,0.6
94,201710,59.0,1.7
95,201711,46.2,1.9
96,201712,34.3,-1.5
97,201801,28.0,-2.8
98,201802,35.6,1.5
99,201803,44.0,-1.4
100,201804,48.2,-8.0
101,201805,72.5,7.1
102,201806,77.4,2.5
103,201807,78.2,-0.1
104,201808,76.4,0.6
105,201809,71.3,1.5
106,201810,56.4,-0.9
107,201811,37.6,-6.7
108,201812,36.8,1.0
109,201901,31.0,0.2
110,201902,33.0,-1.1
111,201903,40.9,-4.5
112,201904,56.7,0.5
113,201905,64.5,-0.9
114,201906,72.4,-2.5
115,201907,77.6,-0.7
116,201908,75.3,-0.5
117,201909,74.8,5.0
118,201910,54.3,-3.0
119,201911,40.2,-4.1
120,201912,39.0,3.2
121,202001,34.5,3.7
