,0,1,2
0,Date,Value,Anomaly
1,201001,20.6,-1.6
2,201002,21.1,0.4
3,201003,36.2,3.2
4,201004,41.6,0.4
5,201005,46.3,-3.9
6,201006,57.5,-1.9
7,201007,64.3,-2.9
8,201008,63.8,-1.7
9,201009,54.1,-1.9
10,201010,47.6,4.1
11,201011,26.6,-3.8
12,201012,19.0,-2.8
13,201101,19.1,-3.1
14,201102,16.4,-4.3
15,201103,28.6,-4.4
16,201104,37.7,-3.5
17,201105,47.1,-3.1
18,201106,56.3,-3.1
19,201107,66.6,-0.6
20,201108,66.8,1.3
21,201109,58.3,2.3
22,201110,45.9,2.4
23,201111,30.0,-0.4
24,201112,26.2,4.4
25,201201,25.1,2.9
26,201202,24.9,4.2
27,201203,39.4,6.4
28,201204,44.8,3.6
29,201205,49.5,-0.7
30,201206,60.2,0.8
31,201207,70.7,3.5
32,201208,66.7,1.2
33,201209,58.2,2.2
34,201210,41.0,-2.5
35,201211,32.4,2.0
36,201212,21.5,-0.3
37,201301,21.7,-0.5
38,201302,27.4,6.7
39,201303,30.5,-2.5
40,201304,36.9,-4.3
41,201305,51.9,1.7
42,201306,59.0,-0.4
43,201307,67.5,0.3
44,201308,67.3,1.8
45,201309,58.8,2.8
46,201310,40.8,-2.7
47,201311,30.4,0.0
48,201312,16.4,-5.4
49,201401,24.5,2.3
50,201402,14.7,-6.0
51,201403,29.4,-3.6
52,201404,41.0,-0.2
53,201405,51.1,0.9
54,201406,56.5,-2.9
55,201407,67.6,0.4
56,201408,64.8,-0.7
57,201409,55.1,-0.9
58,201410,47.9,4.4
59,201411,25.3,-5.1
60,201412,25.0,3.2
61,201501,24.7,2.5
62,201502,26.9,6.2
63,201503,39.5,6.5
64,201504,42.8,1.6
65,201505,49.6,-0.6
66,201506,63.8,4.4
67,201507,66.2,-1.0
68,201508,65.9,0.4
69,201509,57.3,1.3
70,201510,48.0,4.5
71,201511,30.0,-0.4
72,201512,23.6,1.8
73,201601,23.4,1.2
74,201602,33.6,12.9
75,201603,37.4,4.4
76,201604,45.0,3.8
77,201605,51.0,0.8
78,201606,62.4,3.0
79,201607,65.9,-1.3
80,201608,64.4,-1.1
81,201609,54.8,-1.2
82,201610,44.3,0.8
83,201611,39.1,8.7
84,201612,14.2,-7.6
85,201701,15.2,-7.0
86,201702,25.4,4.7
87,201703,35.8,2.8
88,201704,42.1,0.9
89,201705,52.3,2.1
90,201706,60.6,1.2
91,201707,71.6,4.4
92,201708,65.5,0.0
93,201709,55.2,-0.8
94,201710,42.6,-0.9
95,201711,30.7,0.3
96,201712,21.1,-0.7
97,201801,21.7,-0.5
98,201802,11.4,-9.3
99,201803,28.3,-4.7
100,201804,37.9,-3.3
101,201805,55.7,5.5
102,201806,59.2,-0.2
103,201807,66.8,-0.4
104,201808,64.5,-1.0
105,201809,53.0,-3.0
106,201810,41.6,-1.9
107,201811,30.2,-0.2
108,201812,25.0,3.2
109,201901,24.7,2.5
110,201902,5.1,-15.6
111,201903,25.2,-7.8
112,201904,41.9,0.7
113,201905,47.7,-2.5
114,201906,58.6,-0.8
115,201907,65.0,-2.2
116,201908,64.8,-0.7
117,201909,55.0,-1.0
118,201910,35.4,-8.1
119,201911,29.3,-1.1
120,201912,25.8,4.0
121,202001,23.4,1.2
