,0,1,2
0,Date,Value,Anomaly
1,201001,31.2,-0.4
2,201002,31.1,-2.9
3,201003,46.2,5.1
4,201004,55.5,3.0
5,201005,64.0,1.0
6,201006,73.9,2.9
7,201007,78.3,1.4
8,201008,74.9,1.0
9,201009,69.2,0.8
10,201010,56.0,-0.9
11,201011,45.0,0.5
12,201012,30.8,-7.0
13,201101,27.2,-4.4
14,201102,34.4,0.4
15,201103,41.2,0.1
16,201104,53.9,1.4
17,201105,63.7,0.7
18,201106,71.9,0.9
19,201107,78.4,1.5
20,201108,73.5,-0.4
21,201109,68.9,0.5
22,201110,55.8,-1.1
23,201111,48.9,4.4
24,201112,40.5,2.7
25,201201,35.6,4.0
26,201202,38.9,4.9
27,201203,49.8,8.7
28,201204,52.6,0.1
29,201205,65.1,2.1
30,201206,70.0,-1.0
31,201207,77.8,0.9
32,201208,74.7,0.8
33,201209,67.0,-1.4
34,201210,56.8,-0.1
35,201211,41.5,-3.0
36,201212,40.6,2.8
37,201301,33.9,2.3
38,201302,32.8,-1.2
39,201303,38.6,-2.5
40,201304,51.5,-1.0
41,201305,60.9,-2.1
42,201306,71.2,0.2
43,201307,77.8,0.9
44,201308,71.4,-2.5
45,201309,64.4,-4.0
46,201310,57.1,0.2
47,201311,42.9,-1.6
48,201312,36.0,-1.8
49,201401,26.0,-5.6
50,201402,29.5,-4.5
51,201403,35.4,-5.7
52,201404,50.3,-2.2
53,201405,62.0,-1.0
54,201406,70.6,-0.4
55,201407,74.1,-2.8
56,201408,70.8,-3.1
57,201409,66.9,-1.5
58,201410,57.0,0.1
59,201411,42.0,-2.5
60,201412,38.7,0.9
61,201501,27.9,-3.7
62,201502,22.3,-11.7
63,201503,35.9,-5.2
64,201504,51.5,-1.0
65,201505,66.1,3.1
66,201506,70.3,-0.7
67,201507,75.2,-1.7
68,201508,74.3,0.4
69,201509,70.7,2.3
70,201510,54.5,-2.4
71,201511,49.7,5.2
72,201512,48.0,10.2
73,201601,31.4,-0.2
74,201602,36.0,2.0
75,201603,47.0,5.9
76,201604,50.7,-1.8
77,201605,60.2,-2.8
78,201606,70.6,-0.4
79,201607,77.2,0.3
80,201608,76.9,3.0
81,201609,69.7,1.3
82,201610,56.7,-0.2
83,201611,46.7,2.2
84,201612,36.3,-1.5
85,201701,36.2,4.6
86,201702,40.4,6.4
87,201703,38.9,-2.2
88,201704,55.9,3.4
89,201705,60.0,-3.0
90,201706,70.4,-0.6
91,201707,75.5,-1.4
92,201708,71.6,-2.3
93,201709,68.2,-0.2
94,201710,60.4,3.5
95,201711,44.4,-0.1
96,201712,33.2,-4.6
97,201801,29.2,-2.4
98,201802,39.4,5.4
99,201803,38.3,-2.8
100,201804,48.0,-4.5
101,201805,65.2,2.2
102,201806,70.1,-0.9
103,201807,76.2,-0.7
104,201808,76.8,2.9
105,201809,70.2,1.8
106,201810,56.4,-0.5
107,201811,42.5,-2.0
108,201812,37.8,0.0
109,201901,31.6,0.0
110,201902,34.7,0.7
111,201903,39.4,-1.7
112,201904,54.8,2.3
113,201905,62.8,-0.2
114,201906,70.6,-0.4
115,201907,78.0,1.1
116,201908,74.5,0.6
117,201909,69.0,0.6
118,201910,58.2,1.3
119,201911,41.3,-3.2
120,201912,36.4,-1.4
121,202001,37.2,5.6
