,0,1,2
0,Date,Value,Anomaly
1,201001,33.6,-2.0
2,201002,35.1,-4.3
3,201003,43.1,-4.2
4,201004,52.7,-1.0
5,201005,59.9,-0.7
6,201006,72.6,-0.2
7,201007,73.4,-1.3
8,201008,72.3,-0.5
9,201009,68.3,1.2
10,201010,56.7,0.9
11,201011,42.0,-2.2
12,201012,40.4,3.9
13,201101,33.8,-1.8
14,201102,35.0,-4.4
15,201103,49.2,1.9
16,201104,55.6,1.9
17,201105,59.6,-1.0
18,201106,73.1,0.3
19,201107,76.6,1.9
20,201108,76.0,3.2
21,201109,66.3,-0.8
22,201110,55.3,-0.5
23,201111,43.5,-0.7
24,201112,31.4,-5.1
25,201201,38.6,3.0
26,201202,38.2,-1.2
27,201203,47.8,0.5
28,201204,56.6,2.9
29,201205,63.4,2.8
30,201206,74.2,1.4
31,201207,74.4,-0.3
32,201208,73.9,1.1
33,201209,66.2,-0.9
34,201210,56.1,0.3
35,201211,46.6,2.4
36,201212,36.0,-0.5
37,201301,32.0,-3.6
38,201302,36.1,-3.3
39,201303,46.6,-0.7
40,201304,52.6,-1.1
41,201305,61.6,1.0
42,201306,74.1,1.3
43,201307,73.0,-1.7
44,201308,72.3,-0.5
45,201309,66.0,-1.1
46,201310,52.6,-3.2
47,201311,42.7,-1.5
48,201312,34.5,-2.0
49,201401,36.4,0.8
50,201402,41.9,2.5
51,201403,46.0,-1.3
52,201404,52.3,-1.4
53,201405,60.1,-0.5
54,201406,72.4,-0.4
55,201407,74.2,-0.5
56,201408,70.5,-2.3
57,201409,66.5,-0.6
58,201410,57.4,1.6
59,201411,42.4,-1.8
60,201412,37.6,1.1
61,201501,35.6,0.0
62,201502,41.4,2.0
63,201503,47.6,0.3
64,201504,52.5,-1.2
65,201505,58.3,-2.3
66,201506,71.6,-1.2
67,201507,73.1,-1.6
68,201508,73.4,0.6
69,201509,69.0,1.9
70,201510,57.5,1.7
71,201511,43.4,-0.8
72,201512,35.9,-0.6
73,201601,34.3,-1.3
74,201602,42.0,2.6
75,201603,48.3,1.0
76,201604,52.3,-1.4
77,201605,59.4,-1.2
78,201606,73.0,0.2
79,201607,76.9,2.2
80,201608,70.1,-2.7
81,201609,65.9,-1.2
82,201610,59.6,3.8
83,201611,46.7,2.5
84,201612,37.8,1.3
85,201701,37.2,1.6
86,201702,44.5,5.1
87,201703,51.2,3.9
88,201704,53.7,0.0
89,201705,60.1,-0.5
90,201706,72.8,0.0
91,201707,74.6,-0.1
92,201708,70.8,-2.0
93,201709,66.4,-0.7
94,201710,56.4,0.6
95,201711,50.2,6.0
96,201712,38.7,2.2
97,201801,37.0,1.4
98,201802,41.3,1.9
99,201803,47.2,-0.1
100,201804,55.1,1.4
101,201805,65.5,4.9
102,201806,74.3,1.5
103,201807,75.1,0.4
104,201808,73.0,0.2
105,201809,66.9,-0.2
106,201810,53.9,-1.9
107,201811,41.2,-3.0
108,201812,35.6,-0.9
109,201901,35.6,0.0
110,201902,38.1,-1.3
111,201903,45.6,-1.7
112,201904,53.9,0.2
113,201905,58.1,-2.5
114,201906,69.4,-3.4
115,201907,75.5,0.8
116,201908,75.3,2.5
117,201909,69.0,1.9
118,201910,52.2,-3.6
119,201911,43.5,-0.7
120,201912,37.2,0.7
121,202001,37.0,1.4
