,0,1,2
0,Date,Value,Anomaly
1,201001,36.6,-3.7
2,201002,36.9,-7.3
3,201003,49.5,-0.5
4,201004,61.3,1.3
5,201005,69.5,0.9
6,201006,78.8,3.3
7,201007,79.4,0.8
8,201008,78.6,2.0
9,201009,73.1,0.9
10,201010,60.9,-0.5
11,201011,50.0,0.5
12,201012,33.6,-11.5
13,201101,36.2,-4.1
14,201102,45.7,1.5
15,201103,50.6,0.6
16,201104,61.4,1.4
17,201105,67.6,-1.0
18,201106,77.0,1.5
19,201107,80.0,1.4
20,201108,77.7,1.1
21,201109,71.0,-1.2
22,201110,58.2,-3.2
23,201111,52.4,2.9
24,201112,46.9,1.8
25,201201,43.9,3.6
26,201202,45.8,1.6
27,201203,58.7,8.7
28,201204,59.2,-0.8
29,201205,69.6,1.0
30,201206,72.3,-3.2
31,201207,80.3,1.7
32,201208,75.6,-1.0
33,201209,69.8,-2.4
34,201210,59.5,-1.9
35,201211,46.3,-3.2
36,201212,47.6,2.5
37,201301,44.1,3.8
38,201302,41.8,-2.4
39,201303,44.0,-6.0
40,201304,58.7,-1.3
41,201305,65.1,-3.5
42,201306,74.3,-1.2
43,201307,77.0,-1.6
44,201308,74.4,-2.2
45,201309,69.4,-2.8
46,201310,60.7,-0.7
47,201311,47.8,-1.7
48,201312,45.4,0.3
49,201401,35.3,-5.0
50,201402,43.0,-1.2
51,201403,45.5,-4.5
52,201404,59.2,-0.8
53,201405,68.5,-0.1
54,201406,75.2,-0.3
55,201407,75.7,-2.9
56,201408,74.3,-2.3
57,201409,71.2,-1.0
58,201410,61.4,0.0
59,201411,45.8,-3.7
60,201412,45.1,0.0
61,201501,39.4,-0.9
62,201502,34.9,-9.3
63,201503,50.7,0.7
64,201504,60.0,0.0
65,201505,68.6,0.0
66,201506,77.3,1.8
67,201507,78.5,-0.1
68,201508,76.1,-0.5
69,201509,71.6,-0.6
70,201510,60.0,-1.4
71,201511,54.4,4.9
72,201512,54.7,9.6
73,201601,38.4,-1.9
74,201602,43.2,-1.0
75,201603,56.2,6.2
76,201604,58.7,-1.3
77,201605,65.8,-2.8
78,201606,75.3,-0.2
79,201607,80.1,1.5
80,201608,79.2,2.6
81,201609,74.3,2.1
82,201610,63.2,1.8
83,201611,51.7,2.2
84,201612,44.0,-1.1
85,201701,45.4,5.1
86,201702,50.7,6.5
87,201703,50.0,0.0
88,201704,63.9,3.9
89,201705,67.7,-0.9
90,201706,73.8,-1.7
91,201707,78.7,0.1
92,201708,75.8,-0.8
93,201709,70.5,-1.7
94,201710,62.8,1.4
95,201711,50.3,0.8
96,201712,42.4,-2.7
97,201801,35.9,-4.4
98,201802,51.9,7.7
99,201803,46.3,-3.7
100,201804,56.1,-3.9
101,201805,71.6,3.0
102,201806,76.8,1.3
103,201807,77.2,-1.4
104,201808,77.3,0.7
105,201809,76.2,4.0
106,201810,62.5,1.1
107,201811,48.4,-1.1
108,201812,45.0,-0.1
109,201901,42.0,1.7
110,201902,48.1,3.9
111,201903,48.8,-1.2
112,201904,61.1,1.1
113,201905,72.2,3.6
114,201906,74.2,-1.3
115,201907,79.0,0.4
116,201908,77.0,0.4
117,201909,74.9,2.7
118,201910,64.6,3.2
119,201911,47.4,-2.1
120,201912,46.6,1.5
121,202001,46.0,5.7
