,0,1,2
0,Date,Value,Anomaly
1,201001,9.7,-2.3
2,201002,9.3,-2.7
3,201003,31.6,4.2
4,201004,47.2,6.6
5,201005,52.4,-1.5
6,201006,63.1,-1.3
7,201007,68.8,-1.1
8,201008,69.0,1.5
9,201009,54.6,-3.7
10,201010,48.0,3.9
11,201011,27.2,-0.7
12,201012,9.6,-5.7
13,201101,6.4,-5.6
14,201102,10.0,-2.0
15,201103,19.2,-8.2
16,201104,39.1,-1.5
17,201105,50.9,-3.0
18,201106,62.4,-2.0
19,201107,71.1,1.2
20,201108,68.6,1.1
21,201109,58.3,0.0
22,201110,48.4,4.3
23,201111,30.5,2.6
24,201112,23.0,7.7
25,201201,20.0,8.0
26,201202,21.0,9.0
27,201203,40.6,13.2
28,201204,45.8,5.2
29,201205,55.0,1.1
30,201206,65.5,1.1
31,201207,74.1,4.2
32,201208,67.4,-0.1
33,201209,58.2,-0.1
34,201210,41.2,-2.9
35,201211,27.5,-0.4
36,201212,13.3,-2.0
37,201301,11.4,-0.6
38,201302,16.8,4.8
39,201303,17.6,-9.8
40,201304,31.3,-9.3
41,201305,53.4,-0.5
42,201306,63.3,-1.1
43,201307,68.3,-1.6
44,201308,68.6,1.1
45,201309,62.0,3.7
46,201310,41.6,-2.5
47,201311,26.2,-1.7
48,201312,5.0,-10.3
49,201401,8.5,-3.5
50,201402,5.6,-6.4
51,201403,22.7,-4.7
52,201404,38.2,-2.4
53,201405,53.7,-0.2
54,201406,62.5,-1.9
55,201407,66.8,-3.1
56,201408,67.0,-0.5
57,201409,57.8,-0.5
58,201410,46.5,2.4
59,201411,20.2,-7.7
60,201412,18.2,2.9
61,201501,16.0,4.0
62,201502,8.4,-3.6
63,201503,33.0,5.6
64,201504,44.3,3.7
65,201505,52.4,-1.5
66,201506,65.1,0.7
67,201507,69.9,0.0
68,201508,68.0,0.5
69,201509,62.0,3.7
70,201510,47.8,3.7
71,201511,32.5,4.6
72,201512,21.1,5.8
73,201601,14.6,2.6
74,201602,25.6,13.6
75,201603,36.3,8.9
76,201604,41.8,1.2
77,201605,56.6,2.7
78,201606,66.0,1.6
79,201607,69.3,-0.6
80,201608,68.0,0.5
81,201609,58.6,0.3
82,201610,46.1,2.0
83,201611,39.3,11.4
84,201612,10.2,-5.1
85,201701,11.2,-0.8
86,201702,20.5,8.5
87,201703,27.4,0.0
88,201704,42.7,2.1
89,201705,54.8,0.9
90,201706,64.8,0.4
91,201707,72.2,2.3
92,201708,65.2,-2.3
93,201709,58.3,0.0
94,201710,45.0,0.9
95,201711,26.4,-1.5
96,201712,15.6,0.3
97,201801,11.8,-0.2
98,201802,5.4,-6.6
99,201803,24.7,-2.7
100,201804,33.3,-7.3
101,201805,60.2,6.3
102,201806,67.4,3.0
103,201807,69.3,-0.6
104,201808,67.6,0.1
105,201809,55.0,-3.3
106,201810,39.1,-5.0
107,201811,22.9,-5.0
108,201812,20.8,5.5
109,201901,9.8,-2.2
110,201902,-2.7,-14.7
111,201903,20.6,-6.8
112,201904,41.8,1.2
113,201905,49.6,-4.3
114,201906,64.0,-0.4
115,201907,69.3,-0.6
116,201908,65.5,-2.0
117,201909,58.3,0.0
118,201910,37.6,-6.5
119,201911,26.1,-1.8
120,201912,16.1,0.8
121,202001,12.9,0.9
