,0,1,2
0,Date,Value,Anomaly
1,201001,20.1,1.6
2,201002,23.5,3.1
3,201003,35.9,7.5
4,201004,46.2,5.0
5,201005,56.0,1.0
6,201006,61.8,0.3
7,201007,69.4,1.5
8,201008,65.4,-0.2
9,201009,59.2,0.0
10,201010,45.2,-2.4
11,201011,35.0,0.8
12,201012,20.8,-4.0
13,201101,15.7,-2.8
14,201102,17.6,-2.8
15,201103,27.5,-0.9
16,201104,41.7,0.5
17,201105,56.2,1.2
18,201106,62.0,0.5
19,201107,68.5,0.6
20,201108,65.8,0.2
21,201109,60.8,1.6
22,201110,47.7,0.1
23,201111,40.2,6.0
24,201112,27.9,3.1
25,201201,21.4,2.9
26,201202,25.6,5.2
27,201203,38.7,10.3
28,201204,42.7,1.5
29,201205,57.5,2.5
30,201206,62.2,0.7
31,201207,68.0,0.1
32,201208,67.1,1.5
33,201209,57.2,-2.0
34,201210,49.3,1.7
35,201211,33.1,-1.1
36,201212,27.4,2.6
37,201301,18.6,0.1
38,201302,21.5,1.1
39,201303,29.5,1.1
40,201304,40.8,-0.4
41,201305,55.1,0.1
42,201306,62.0,0.5
43,201307,69.7,1.8
44,201308,64.1,-1.5
45,201309,56.5,-2.7
46,201310,47.8,0.2
47,201311,31.8,-2.4
48,201312,21.4,-3.4
49,201401,14.6,-3.9
50,201402,16.6,-3.8
51,201403,18.6,-9.8
52,201404,40.5,-0.7
53,201405,53.6,-1.4
54,201406,62.6,1.1
55,201407,66.5,-1.4
56,201408,63.3,-2.3
57,201409,57.5,-1.7
58,201410,49.3,1.7
59,201411,33.3,-0.9
60,201412,27.0,2.2
61,201501,12.2,-6.3
62,201502,5.3,-15.1
63,201503,22.3,-6.1
64,201504,39.5,-1.7
65,201505,58.6,3.6
66,201506,59.9,-1.6
67,201507,66.2,-1.7
68,201508,66.6,1.0
69,201509,62.4,3.2
70,201510,44.3,-3.3
71,201511,39.2,5.0
72,201512,35.1,10.3
73,201601,20.9,2.4
74,201602,23.9,3.5
75,201603,33.6,5.2
76,201604,38.2,-3.0
77,201605,54.0,-1.0
78,201606,62.0,0.5
79,201607,67.4,-0.5
80,201608,67.5,1.9
81,201609,59.9,0.7
82,201610,47.7,0.1
83,201611,36.8,2.6
84,201612,23.9,-0.9
85,201701,24.8,6.3
86,201702,25.6,5.2
87,201703,23.5,-4.9
88,201704,45.2,4.0
89,201705,51.8,-3.2
90,201706,61.5,0.0
91,201707,65.2,-2.7
92,201708,63.3,-2.3
93,201709,60.8,1.6
94,201710,53.0,5.4
95,201711,33.0,-1.2
96,201712,17.9,-6.9
97,201801,16.5,-2.0
98,201802,25.5,5.1
99,201803,28.2,-0.2
100,201804,36.1,-5.1
101,201805,56.5,1.5
102,201806,60.1,-1.4
103,201807,69.2,1.3
104,201808,68.4,2.8
105,201809,60.6,1.4
106,201810,44.5,-3.1
107,201811,30.0,-4.2
108,201812,23.0,-1.8
109,201901,14.9,-3.6
110,201902,19.0,-1.4
111,201903,25.9,-2.5
112,201904,41.2,0.0
113,201905,50.8,-4.2
114,201906,60.5,-1.0
115,201907,68.9,1.0
116,201908,64.6,-1.0
117,201909,56.8,-2.4
118,201910,47.3,-0.3
119,201911,29.3,-4.9
120,201912,23.3,-1.5
121,202001,23.3,4.8
