,0,1,2
0,Date,Value,Anomaly
1,201001,32.7,-2.5
2,201002,31.9,-7.0
3,201003,47.4,1.8
4,201004,58.6,2.1
5,201005,66.2,0.5
6,201006,76.0,3.5
7,201007,77.9,1.4
8,201008,76.0,1.9
9,201009,70.0,0.7
10,201010,58.0,-0.1
11,201011,46.3,0.6
12,201012,30.1,-10.3
13,201101,32.1,-3.1
14,201102,40.9,2.0
15,201103,46.0,0.4
16,201104,58.2,1.7
17,201105,64.8,-0.9
18,201106,73.4,0.9
19,201107,77.8,1.3
20,201108,74.9,0.8
21,201109,68.2,-1.1
22,201110,55.5,-2.6
23,201111,49.4,3.7
24,201112,42.6,2.2
25,201201,38.9,3.7
26,201202,41.8,2.9
27,201203,55.2,9.6
28,201204,55.6,-0.9
29,201205,67.3,1.6
30,201206,70.2,-2.3
31,201207,78.7,2.2
32,201208,74.0,-0.1
33,201209,66.9,-2.4
34,201210,56.4,-1.7
35,201211,42.7,-3.0
36,201212,42.9,2.5
37,201301,38.5,3.3
38,201302,36.8,-2.1
39,201303,40.1,-5.5
40,201304,56.0,-0.5
41,201305,62.5,-3.2
42,201306,72.2,-0.3
43,201307,75.6,-0.9
44,201308,71.8,-2.3
45,201309,66.3,-3.0
46,201310,57.6,-0.5
47,201311,43.7,-2.0
48,201312,40.3,-0.1
49,201401,29.4,-5.8
50,201402,37.0,-1.9
51,201403,40.7,-4.9
52,201404,55.0,-1.5
53,201405,65.2,-0.5
54,201406,72.5,0.0
55,201407,73.4,-3.1
56,201408,71.3,-2.8
57,201409,68.1,-1.2
58,201410,57.8,-0.3
59,201411,42.1,-3.6
60,201412,40.8,0.4
61,201501,33.8,-1.4
62,201502,28.9,-10.0
63,201503,44.2,-1.4
64,201504,55.9,-0.6
65,201505,67.1,1.4
66,201506,73.7,1.2
67,201507,75.3,-1.2
68,201508,73.2,-0.9
69,201509,69.3,0.0
70,201510,56.3,-1.8
71,201511,51.1,5.4
72,201512,49.6,9.2
73,201601,33.1,-2.1
74,201602,38.4,-0.5
75,201603,51.8,6.2
76,201604,55.1,-1.4
77,201605,61.9,-3.8
78,201606,71.8,-0.7
79,201607,77.3,0.8
80,201608,77.0,2.9
81,201609,71.8,2.5
82,201610,59.8,1.7
83,201611,48.3,2.6
84,201612,39.1,-1.3
85,201701,40.1,4.9
86,201702,46.0,7.1
87,201703,45.9,0.3
88,201704,60.6,4.1
89,201705,63.4,-2.3
90,201706,71.2,-1.3
91,201707,76.8,0.3
92,201708,72.8,-1.3
93,201709,67.4,-1.9
94,201710,60.2,2.1
95,201711,46.1,0.4
96,201712,37.2,-3.2
97,201801,31.8,-3.4
98,201802,45.2,6.3
99,201803,41.2,-4.4
100,201804,52.2,-4.3
101,201805,69.7,4.0
102,201806,73.1,0.6
103,201807,75.1,-1.4
104,201808,75.2,1.1
105,201809,72.8,3.5
106,201810,59.0,0.9
107,201811,43.8,-1.9
108,201812,39.7,-0.7
109,201901,36.3,1.1
110,201902,41.8,2.9
111,201903,43.9,-1.7
112,201904,58.1,1.6
113,201905,68.9,3.2
114,201906,71.2,-1.3
115,201907,77.1,0.6
116,201908,74.7,0.6
117,201909,72.5,3.2
118,201910,60.6,2.5
119,201911,43.1,-2.6
120,201912,41.5,1.1
121,202001,40.6,5.4
