,0,1,2
0,Date,Value,Anomaly
1,201001,27.7,-3.0
2,201002,27.2,-7.3
3,201003,43.4,1.3
4,201004,55.6,2.1
5,201005,63.4,0.2
6,201006,71.9,2.6
7,201007,73.8,0.7
8,201008,73.3,2.1
9,201009,65.6,-0.9
10,201010,54.2,-0.8
11,201011,43.2,0.8
12,201012,25.3,-11.4
13,201101,27.1,-3.6
14,201102,36.8,2.3
15,201103,42.6,0.5
16,201104,55.0,1.5
17,201105,62.0,-1.2
18,201106,69.5,0.2
19,201107,74.9,1.8
20,201108,71.6,0.4
21,201109,65.1,-1.4
22,201110,52.2,-2.8
23,201111,46.7,4.3
24,201112,38.5,1.8
25,201201,34.9,4.2
26,201202,37.7,3.2
27,201203,52.6,10.5
28,201204,51.7,-1.8
29,201205,65.8,2.6
30,201206,67.5,-1.8
31,201207,75.3,2.2
32,201208,70.8,-0.4
33,201209,63.9,-2.6
34,201210,52.9,-2.1
35,201211,39.5,-2.9
36,201212,39.2,2.5
37,201301,33.9,3.2
38,201302,32.3,-2.2
39,201303,36.4,-5.7
40,201304,52.9,-0.6
41,201305,60.5,-2.7
42,201306,69.2,-0.1
43,201307,72.4,-0.7
44,201308,69.2,-2.0
45,201309,63.9,-2.6
46,201310,54.7,-0.3
47,201311,39.9,-2.5
48,201312,36.0,-0.7
49,201401,23.5,-7.2
50,201402,30.9,-3.6
51,201403,37.1,-5.0
52,201404,53.1,-0.4
53,201405,61.7,-1.5
54,201406,70.0,0.7
55,201407,69.6,-3.5
56,201408,69.1,-2.1
57,201409,64.8,-1.7
58,201410,53.9,-1.1
59,201411,37.8,-4.6
60,201412,37.9,1.2
61,201501,28.8,-1.9
62,201502,22.9,-11.6
63,201503,40.0,-2.1
64,201504,53.1,-0.4
65,201505,64.7,1.5
66,201506,70.5,1.2
67,201507,72.1,-1.0
68,201508,69.9,-1.3
69,201509,67.1,0.6
70,201510,54.0,-1.0
71,201511,48.3,5.9
72,201512,46.3,9.6
73,201601,27.6,-3.1
74,201602,34.9,0.4
75,201603,48.5,6.4
76,201604,53.0,-0.5
77,201605,59.5,-3.7
78,201606,69.5,0.2
79,201607,73.7,0.6
80,201608,75.1,3.9
81,201609,69.4,2.9
82,201610,57.3,2.3
83,201611,45.6,3.2
84,201612,35.6,-1.1
85,201701,37.5,6.8
86,201702,42.1,7.6
87,201703,42.3,0.2
88,201704,57.5,4.0
89,201705,61.0,-2.2
90,201706,67.7,-1.6
91,201707,72.4,-0.7
92,201708,69.3,-1.9
93,201709,64.6,-1.9
94,201710,57.5,2.5
95,201711,43.2,0.8
96,201712,33.0,-3.7
97,201801,27.0,-3.7
98,201802,41.7,7.2
99,201803,38.0,-4.1
100,201804,47.7,-5.8
101,201805,67.9,4.7
102,201806,70.0,0.7
103,201807,72.5,-0.6
104,201808,72.4,1.2
105,201809,70.4,3.9
106,201810,55.3,0.3
107,201811,40.0,-2.4
108,201812,36.7,0.0
109,201901,32.0,1.3
110,201902,38.5,4.0
111,201903,40.1,-2.0
112,201904,54.9,1.4
113,201905,65.5,2.3
114,201906,67.6,-1.7
115,201907,74.3,1.2
116,201908,71.5,0.3
117,201909,70.0,3.5
118,201910,57.7,2.7
119,201911,39.3,-3.1
120,201912,38.5,1.8
121,202001,37.3,6.6
