,0,1,2
0,Date,Value,Anomaly
1,200801,43.0,-1.9
2,200802,49.2,-0.5
3,200803,55.2,-1.6
4,200804,62.8,-0.7
5,200805,70.3,-0.9
6,200806,78.7,0.2
7,200807,80.0,-0.4
8,200808,78.4,-1.3
9,200809,74.5,-1.1
10,200810,62.2,-2.7
11,200811,51.0,-2.7
12,200812,49.7,1.0
13,200901,45.3,0.4
14,200902,48.2,-1.5
15,200903,57.3,0.5
16,200904,61.4,-2.1
17,200905,71.2,0.0
18,200906,79.4,0.9
19,200907,78.1,-2.3
20,200908,78.0,-1.7
21,200909,75.0,-0.6
22,200910,62.8,-2.1
23,200911,53.4,-0.3
24,200912,44.8,-3.9
25,201001,40.0,-4.9
26,201002,40.6,-9.1
27,201003,51.2,-5.6
28,201004,64.2,0.7
29,201005,73.3,2.1
30,201006,80.9,2.4
31,201007,82.6,2.2
32,201008,83.0,3.3
33,201009,76.9,1.3
34,201010,64.3,-0.6
35,201011,55.2,1.5
36,201012,40.3,-8.4
37,201101,41.1,-3.8
38,201102,49.5,-0.2
39,201103,57.8,1.0
40,201104,65.7,2.2
41,201105,69.9,-1.3
42,201106,81.2,2.7
43,201107,81.7,1.3
44,201108,81.8,2.1
45,201109,72.1,-3.5
46,201110,60.6,-4.3
47,201111,55.3,1.6
48,201112,49.3,0.6
49,201201,50.1,5.2
50,201202,52.1,2.4
51,201203,64.6,7.8
52,201204,65.0,1.5
53,201205,73.4,2.2
54,201206,76.8,-1.7
55,201207,81.6,1.2
56,201208,78.1,-1.6
57,201209,73.0,-2.6
58,201210,62.2,-2.7
59,201211,51.2,-2.5
60,201212,50.9,2.2
61,201301,50.0,5.1
62,201302,48.0,-1.7
63,201303,49.8,-7.0
64,201304,62.2,-1.3
65,201305,68.2,-3.0
66,201306,78.0,-0.5
67,201307,77.7,-2.7
68,201308,77.9,-1.8
69,201309,75.0,-0.6
70,201310,64.9,0.0
71,201311,51.6,-2.1
72,201312,47.9,-0.8
73,201401,37.3,-7.6
74,201402,47.3,-2.4
75,201403,52.3,-4.5
76,201404,62.4,-1.1
77,201405,70.2,-1.0
78,201406,77.9,-0.6
79,201407,77.8,-2.6
80,201408,79.5,-0.2
81,201409,76.3,0.7
82,201410,65.2,0.3
83,201411,48.2,-5.5
84,201412,50.0,1.3
85,201501,43.6,-1.3
86,201502,41.3,-8.4
87,201503,57.8,1.0
88,201504,66.0,2.5
89,201505,71.8,0.6
90,201506,78.8,0.3
91,201507,81.6,1.2
92,201508,79.0,-0.7
93,201509,74.4,-1.2
94,201510,65.0,0.1
95,201511,59.2,5.5
96,201512,56.9,8.2
97,201601,43.0,-1.9
98,201602,49.8,0.1
99,201603,59.7,2.9
100,201604,63.6,0.1
101,201605,70.2,-1.0
102,201606,79.2,0.7
103,201607,82.0,1.6
104,201608,81.6,1.9
105,201609,78.6,3.0
106,201610,68.5,3.6
107,201611,57.8,4.1
108,201612,50.1,1.4
109,201701,52.4,7.5
110,201702,55.6,5.9
111,201703,58.4,1.6
112,201704,67.2,3.7
113,201705,69.9,-1.3
114,201706,75.8,-2.7
115,201707,80.6,0.2
116,201708,78.8,-0.9
117,201709,73.4,-2.2
118,201710,65.8,0.9
119,201711,55.6,1.9
120,201712,46.9,-1.8
121,201801,40.4,-4.5
122,201802,58.0,8.3
123,201803,55.4,-1.4
124,201804,59.5,-4.0
125,201805,74.4,3.2
126,201806,79.3,0.8
127,201807,80.7,0.3
128,201808,79.5,-0.2
129,201809,79.4,3.8
130,201810,67.4,2.5
131,201811,50.4,-3.3
132,201812,49.0,0.3
133,201901,46.5,1.6
134,201902,56.1,6.4
135,201903,55.0,-1.8
136,201904,63.5,0.0
137,201905,74.2,3.0
138,201906,78.1,-0.4
139,201907,80.6,0.2
140,201908,80.6,0.9
141,201909,80.2,4.6
142,201910,67.8,2.9
143,201911,50.6,-3.1
144,201912,51.3,2.6
145,202001,49.6,4.7
146,202002,51.0,1.3
147,202003,63.4,6.6
148,202004,62.0,-1.5
149,202005,68.8,-2.4
150,202006,76.9,-1.6
151,202007,80.8,0.4
152,202008,80.2,0.5
153,202009,74.3,-1.3
154,202010,66.9,2.0
155,202011,58.4,4.7
156,202012,45.8,-2.9
157,202101,46.6,1.7
