,0,1,2
0,Date,Value,Anomaly
1,200801,39.8,-3.4
2,200802,45.0,-1.2
3,200803,51.8,-1.3
4,200804,58.0,-1.1
5,200805,63.6,-2.4
6,200806,77.3,-0.2
7,200807,80.4,-1.0
8,200808,79.3,-0.6
9,200809,73.6,-0.4
10,200810,62.9,0.0
11,200811,53.3,1.4
12,200812,42.4,-0.3
13,200901,45.2,2.0
14,200902,46.6,0.4
15,200903,52.5,-0.6
16,200904,57.0,-2.1
17,200905,70.8,4.8
18,200906,73.0,-4.5
19,200907,82.8,1.4
20,200908,79.7,-0.2
21,200909,74.1,0.1
22,200910,59.4,-3.5
23,200911,52.9,1.0
24,200912,39.0,-3.7
25,201001,42.2,-1.0
26,201002,44.3,-1.9
27,201003,49.2,-3.9
28,201004,56.1,-3.0
29,201005,63.1,-2.9
30,201006,75.9,-1.6
31,201007,81.8,0.4
32,201008,79.0,-0.9
33,201009,75.4,1.4
34,201010,62.7,-0.2
35,201011,48.3,-3.6
36,201012,46.7,4.0
37,201101,41.5,-1.7
38,201102,41.7,-4.5
39,201103,53.3,0.2
40,201104,58.9,-0.2
41,201105,63.2,-2.8
42,201106,75.7,-1.8
43,201107,80.8,-0.6
44,201108,82.2,2.3
45,201109,74.6,0.6
46,201110,62.8,-0.1
47,201111,49.4,-2.5
48,201112,39.9,-2.8
49,201201,45.3,2.1
50,201202,45.6,-0.6
51,201203,51.6,-1.5
52,201204,60.6,1.5
53,201205,69.3,3.3
54,201206,78.7,1.2
55,201207,80.0,-1.4
56,201208,80.5,0.6
57,201209,73.7,-0.3
58,201210,63.8,0.9
59,201211,53.8,1.9
60,201212,42.4,-0.3
61,201301,38.6,-4.6
62,201302,42.2,-4.0
63,201303,54.8,1.7
64,201304,59.4,0.3
65,201305,67.4,1.4
66,201306,79.5,2.0
67,201307,81.0,-0.4
68,201308,78.5,-1.4
69,201309,72.4,-1.6
70,201310,58.8,-4.1
71,201311,51.3,-0.6
72,201312,41.5,-1.2
73,201401,46.5,3.3
74,201402,50.0,3.8
75,201403,53.9,0.8
76,201404,59.1,0.0
77,201405,66.8,0.8
78,201406,77.7,0.2
79,201407,81.4,0.0
80,201408,76.5,-3.4
81,201409,74.2,0.2
82,201410,64.9,2.0
83,201411,51.7,-0.2
84,201412,44.3,1.6
85,201501,45.1,1.9
86,201502,52.0,5.8
87,201503,56.3,3.2
88,201504,58.4,-0.7
89,201505,62.9,-3.1
90,201506,78.4,0.9
91,201507,78.6,-2.8
92,201508,80.6,0.7
93,201509,75.0,1.0
94,201510,64.5,1.6
95,201511,48.3,-3.6
96,201512,40.9,-1.8
97,201601,41.8,-1.4
98,201602,50.6,4.4
99,201603,54.9,1.8
100,201604,58.5,-0.6
101,201605,64.6,-1.4
102,201606,80.3,2.8
103,201607,82.4,1.0
104,201608,77.5,-2.4
105,201609,71.6,-2.4
106,201610,66.1,3.2
107,201611,53.1,1.2
108,201612,44.7,2.0
109,201701,42.3,-0.9
110,201702,49.4,3.2
111,201703,56.6,3.5
112,201704,59.9,0.8
113,201705,66.1,0.1
114,201706,79.8,2.3
115,201707,81.5,0.1
116,201708,79.1,-0.8
117,201709,72.4,-1.6
118,201710,65.1,2.2
119,201711,57.6,5.7
120,201712,46.6,3.9
121,201801,47.6,4.4
122,201802,46.7,0.5
123,201803,52.3,-0.8
124,201804,62.9,3.8
125,201805,68.5,2.5
126,201806,78.6,1.1
127,201807,82.3,0.9
128,201808,80.2,0.3
129,201809,76.0,2.0
130,201810,59.9,-3.0
131,201811,49.4,-2.5
132,201812,42.8,0.1
133,201901,42.4,-0.8
134,201902,40.9,-5.3
135,201903,51.7,-1.4
136,201904,60.3,1.2
137,201905,60.7,-5.3
138,201906,75.2,-2.3
139,201907,81.9,0.5
140,201908,81.9,2.0
141,201909,73.8,-0.2
142,201910,60.0,-2.9
143,201911,52.1,0.2
144,201912,42.2,-0.5
145,202001,43.8,0.6
146,202002,46.0,-0.2
147,202003,51.0,-2.1
148,202004,59.4,0.3
149,202005,70.6,4.6
150,202006,76.8,-0.7
151,202007,82.8,1.4
152,202008,84.3,4.4
153,202009,75.7,1.7
154,202010,66.4,3.5
155,202011,53.7,1.8
156,202012,42.3,-0.4
157,202101,42.8,-0.4
