,0,1,2
0,Date,Value,Anomaly
1,200801,41.1,-4.5
2,200802,45.8,-1.2
3,200803,50.3,-0.6
4,200804,54.4,-1.5
5,200805,61.7,-0.4
6,200806,71.1,0.2
7,200807,76.5,-0.3
8,200808,76.6,0.5
9,200809,71.8,0.5
10,200810,61.8,0.2
11,200811,53.9,2.4
12,200812,42.0,-2.2
13,200901,46.9,1.3
14,200902,45.2,-1.8
15,200903,49.2,-1.7
16,200904,54.3,-1.6
17,200905,66.7,4.6
18,200906,67.5,-3.4
19,200907,77.6,0.8
20,200908,74.8,-1.3
21,200909,73.0,1.7
22,200910,58.1,-3.5
23,200911,50.9,-0.6
24,200912,41.8,-2.4
25,201001,45.2,-0.4
26,201002,46.8,-0.2
27,201003,49.0,-1.9
28,201004,50.9,-5.0
29,201005,56.9,-5.2
30,201006,69.1,-1.8
31,201007,76.1,-0.7
32,201008,73.4,-2.7
33,201009,70.4,-0.9
34,201010,60.5,-1.1
35,201011,48.6,-2.9
36,201012,45.8,1.6
37,201101,45.2,-0.4
38,201102,43.4,-3.6
39,201103,48.7,-2.2
40,201104,53.4,-2.5
41,201105,57.6,-4.5
42,201106,66.9,-4.0
43,201107,74.2,-2.6
44,201108,75.2,-0.9
45,201109,72.2,0.9
46,201110,61.4,-0.2
47,201111,48.2,-3.3
48,201112,42.8,-1.4
49,201201,46.5,0.9
50,201202,46.5,-0.5
51,201203,48.8,-2.1
52,201204,55.8,-0.1
53,201205,63.9,1.8
54,201206,69.3,-1.6
55,201207,74.7,-2.1
56,201208,77.8,1.7
57,201209,73.1,1.8
58,201210,62.2,0.6
59,201211,52.5,1.0
60,201212,43.0,-1.2
61,201301,42.1,-3.5
62,201302,45.3,-1.7
63,201303,53.8,2.9
64,201304,58.2,2.3
65,201305,63.8,1.7
66,201306,72.4,1.5
67,201307,78.0,1.2
68,201308,74.4,-1.7
69,201309,69.3,-2.0
70,201310,58.5,-3.1
71,201311,51.9,0.4
72,201312,44.1,-0.1
73,201401,50.1,4.5
74,201402,49.8,2.8
75,201403,53.5,2.6
76,201404,57.7,1.8
77,201405,64.6,2.5
78,201406,71.9,1.0
79,201407,78.4,1.6
80,201408,74.9,-1.2
81,201409,72.2,0.9
82,201410,64.4,2.8
83,201411,53.1,1.6
84,201412,46.8,2.6
85,201501,48.6,3.0
86,201502,53.2,6.2
87,201503,56.9,6.0
88,201504,56.7,0.8
89,201505,60.8,-1.3
90,201506,74.4,3.5
91,201507,75.0,-1.8
92,201508,76.5,0.4
93,201509,72.1,0.8
94,201510,65.0,3.4
95,201511,47.6,-3.9
96,201512,42.3,-1.9
97,201601,44.5,-1.1
98,201602,51.8,4.8
99,201603,52.5,1.6
100,201604,57.9,2.0
101,201605,62.2,0.1
102,201606,73.5,2.6
103,201607,76.8,0.0
104,201608,76.2,0.1
105,201609,69.5,-1.8
106,201610,60.5,-1.1
107,201611,52.8,1.3
108,201612,43.4,-0.8
109,201701,42.2,-3.4
110,201702,47.3,0.3
111,201703,53.4,2.5
112,201704,55.6,-0.3
113,201705,63.4,1.3
114,201706,72.8,1.9
115,201707,78.8,2.0
116,201708,77.9,1.8
117,201709,69.8,-1.5
118,201710,62.0,0.4
119,201711,53.4,1.9
120,201712,47.5,3.3
121,201801,48.9,3.3
122,201802,46.6,-0.4
123,201803,49.0,-1.9
124,201804,57.2,1.3
125,201805,63.0,0.9
126,201806,71.4,0.5
127,201807,79.6,2.8
128,201808,76.4,0.3
129,201809,71.1,-0.2
130,201810,60.9,-0.7
131,201811,52.6,1.1
132,201812,44.8,0.6
133,201901,46.1,0.5
134,201902,40.6,-6.4
135,201903,48.9,-2.0
136,201904,58.2,2.3
137,201905,58.6,-3.5
138,201906,71.1,0.2
139,201907,75.5,-1.3
140,201908,76.8,0.7
141,201909,68.9,-2.4
142,201910,58.8,-2.8
143,201911,53.0,1.5
144,201912,44.4,0.2
145,202001,45.4,-0.2
146,202002,49.3,2.3
147,202003,48.0,-2.9
148,202004,56.6,0.7
149,202005,64.6,2.5
150,202006,70.5,-0.4
151,202007,76.6,-0.2
152,202008,78.9,2.8
153,202009,74.0,2.7
154,202010,66.2,4.6
155,202011,50.9,-0.6
156,202012,45.5,1.3
157,202101,45.5,-0.1
