,0,1,2
0,Date,Value,Anomaly
1,200801,58.3,0.2
2,200802,63.0,1.1
3,200803,64.7,-0.9
4,200804,69.5,-1.9
5,200805,76.4,-0.3
6,200806,80.9,-0.4
7,200807,81.2,-1.2
8,200808,81.3,-1.3
9,200809,79.7,-0.8
10,200810,71.4,-2.8
11,200811,61.5,-4.5
12,200812,62.0,0.1
13,200901,57.2,-0.9
14,200902,57.3,-4.6
15,200903,65.3,-0.3
16,200904,69.6,-1.8
17,200905,76.6,-0.1
18,200906,81.9,0.6
19,200907,81.7,-0.7
20,200908,82.1,-0.5
21,200909,80.5,0.0
22,200910,75.3,1.1
23,200911,66.0,0.0
24,200912,60.4,-1.5
25,201001,52.5,-5.6
26,201002,52.6,-9.3
27,201003,59.0,-6.6
28,201004,69.7,-1.7
29,201005,78.5,1.8
30,201006,83.1,1.8
31,201007,83.4,1.0
32,201008,83.5,0.9
33,201009,80.9,0.4
34,201010,72.1,-2.1
35,201011,64.9,-1.1
36,201012,50.1,-11.8
37,201101,54.9,-3.2
38,201102,61.8,-0.1
39,201103,66.5,0.9
40,201104,73.0,1.6
41,201105,76.2,-0.5
42,201106,82.1,0.8
43,201107,82.6,0.2
44,201108,83.7,1.1
45,201109,79.7,-0.8
46,201110,70.5,-3.7
47,201111,66.4,0.4
48,201112,62.8,0.9
49,201201,59.3,1.2
50,201202,64.3,2.4
51,201203,70.3,4.7
52,201204,71.2,-0.2
53,201205,77.6,0.9
54,201206,79.3,-2.0
55,201207,82.4,0.0
56,201208,81.5,-1.1
57,201209,79.5,-1.0
58,201210,73.2,-1.0
59,201211,62.1,-3.9
60,201212,62.0,0.1
61,201301,64.0,5.9
62,201302,61.8,-0.1
63,201303,59.1,-6.5
64,201304,71.4,0.0
65,201305,74.0,-2.7
66,201306,81.1,-0.2
67,201307,80.8,-1.6
68,201308,82.2,-0.4
69,201309,80.0,-0.5
70,201310,74.0,-0.2
71,201311,67.1,1.1
72,201312,64.7,2.8
73,201401,54.5,-3.6
74,201402,62.8,0.9
75,201403,63.5,-2.1
76,201404,70.5,-0.9
77,201405,76.0,-0.7
78,201406,80.3,-1.0
79,201407,81.8,-0.6
80,201408,82.9,0.3
81,201409,79.7,-0.8
82,201410,72.7,-1.5
83,201411,61.1,-4.9
84,201412,61.9,0.0
85,201501,58.6,0.5
86,201502,56.5,-5.4
87,201503,69.5,3.9
88,201504,75.1,3.7
89,201505,77.5,0.8
90,201506,81.7,0.4
91,201507,82.8,0.4
92,201508,82.4,-0.2
93,201509,80.0,-0.5
94,201510,74.4,0.2
95,201511,72.2,6.2
96,201512,69.6,7.7
97,201601,56.9,-1.2
98,201602,59.4,-2.5
99,201603,68.8,3.2
100,201604,71.2,-0.2
101,201605,76.2,-0.5
102,201606,81.9,0.6
103,201607,84.0,1.6
104,201608,83.0,0.4
105,201609,81.1,0.6
106,201610,74.6,0.4
107,201611,66.6,0.6
108,201612,65.9,4.0
109,201701,62.8,4.7
110,201702,65.5,3.6
111,201703,66.2,0.6
112,201704,72.3,0.9
113,201705,77.1,0.4
114,201706,80.2,-1.1
115,201707,82.8,0.4
116,201708,82.8,0.2
117,201709,80.4,-0.1
118,201710,74.9,0.7
119,201711,67.4,1.4
120,201712,61.7,-0.2
121,201801,55.0,-3.1
122,201802,69.2,7.3
123,201803,63.0,-2.6
124,201804,70.2,-1.2
125,201805,76.4,-0.3
126,201806,81.5,0.2
127,201807,82.4,0.0
128,201808,82.2,-0.4
129,201809,82.4,1.9
130,201810,76.5,2.3
131,201811,66.7,0.7
132,201812,61.8,-0.1
133,201901,58.4,0.3
134,201902,67.5,5.6
135,201903,65.7,0.1
136,201904,71.2,-0.2
137,201905,78.8,2.1
138,201906,82.3,1.0
139,201907,82.8,0.4
140,201908,82.9,0.3
141,201909,81.9,1.4
142,201910,77.9,3.7
143,201911,64.9,-1.1
144,201912,63.9,2.0
145,202001,61.8,3.7
146,202002,63.6,1.7
147,202003,71.0,5.4
148,202004,73.1,1.7
149,202005,75.8,-0.9
150,202006,81.1,-0.2
151,202007,83.1,0.7
152,202008,83.2,0.6
153,202009,80.6,0.1
154,202010,77.2,3.0
155,202011,70.7,4.7
156,202012,57.5,-4.4
157,202101,58.6,0.5
