,0,1,2
0,Date,Value,Anomaly
1,200801,45.0,-1.4
2,200802,50.8,0.0
3,200803,55.4,-1.6
4,200804,62.6,-1.5
5,200805,70.3,-1.5
6,200806,79.4,0.7
7,200807,79.7,-1.0
8,200808,78.9,-1.0
9,200809,74.6,-0.9
10,200810,62.4,-3.3
11,200811,51.4,-3.5
12,200812,51.7,1.5
13,200901,46.3,-0.1
14,200902,47.7,-3.1
15,200903,56.4,-0.6
16,200904,61.8,-2.3
17,200905,71.3,-0.5
18,200906,79.8,1.1
19,200907,78.5,-2.2
20,200908,78.8,-1.1
21,200909,74.5,-1.0
22,200910,64.1,-1.6
23,200911,55.6,0.7
24,200912,46.2,-4.0
25,201001,41.8,-4.6
26,201002,42.1,-8.7
27,201003,52.1,-4.9
28,201004,64.5,0.4
29,201005,73.6,1.8
30,201006,81.0,2.3
31,201007,82.2,1.5
32,201008,82.2,2.3
33,201009,76.5,1.0
34,201010,64.8,-0.9
35,201011,54.8,-0.1
36,201012,39.9,-10.3
37,201101,41.8,-4.6
38,201102,51.1,0.3
39,201103,57.8,0.8
40,201104,65.8,1.7
41,201105,71.3,-0.5
42,201106,81.1,2.4
43,201107,81.9,1.2
44,201108,82.2,2.3
45,201109,73.6,-1.9
46,201110,61.6,-4.1
47,201111,56.2,1.3
48,201112,51.3,1.1
49,201201,50.0,3.6
50,201202,52.8,2.0
51,201203,64.8,7.8
52,201204,65.6,1.5
53,201205,73.5,1.7
54,201206,75.6,-3.1
55,201207,82.2,1.5
56,201208,78.1,-1.8
57,201209,74.0,-1.5
58,201210,64.7,-1.0
59,201211,52.6,-2.3
60,201212,52.1,1.9
61,201301,52.5,6.1
62,201302,48.8,-2.0
63,201303,50.2,-6.8
64,201304,62.9,-1.2
65,201305,68.4,-3.4
66,201306,77.8,-0.9
67,201307,78.2,-2.5
68,201308,78.0,-1.9
69,201309,74.5,-1.0
70,201310,65.0,-0.7
71,201311,53.2,-1.7
72,201312,51.2,1.0
73,201401,40.0,-6.4
74,201402,49.8,-1.0
75,201403,52.9,-4.1
76,201404,63.1,-1.0
77,201405,71.2,-0.6
78,201406,78.3,-0.4
79,201407,78.9,-1.8
80,201408,79.2,-0.7
81,201409,75.5,0.0
82,201410,65.6,-0.1
83,201411,49.8,-5.1
84,201412,51.3,1.1
85,201501,44.9,-1.5
86,201502,43.2,-7.6
87,201503,58.8,1.8
88,201504,66.8,2.7
89,201505,72.4,0.6
90,201506,79.3,0.6
91,201507,81.5,0.8
92,201508,79.5,-0.4
93,201509,73.8,-1.7
94,201510,64.8,-0.9
95,201511,59.8,4.9
96,201512,58.9,8.7
97,201601,44.4,-2.0
98,201602,50.0,-0.8
99,201603,60.9,3.9
100,201604,63.9,-0.2
101,201605,70.8,-1.0
102,201606,79.7,1.0
103,201607,82.8,2.1
104,201608,81.6,1.7
105,201609,77.5,2.0
106,201610,67.8,2.1
107,201611,58.0,3.1
108,201612,52.1,1.9
109,201701,53.2,6.8
110,201702,56.5,5.7
111,201703,58.0,1.0
112,201704,67.5,3.4
113,201705,71.4,-0.4
114,201706,76.6,-2.1
115,201707,80.6,-0.1
116,201708,79.4,-0.5
117,201709,74.0,-1.5
118,201710,67.0,1.3
119,201711,56.4,1.5
120,201712,49.3,-0.9
121,201801,42.5,-3.9
122,201802,59.2,8.4
123,201803,54.5,-2.5
124,201804,60.6,-3.5
125,201805,73.7,1.9
126,201806,79.3,0.6
127,201807,80.2,-0.5
128,201808,79.4,-0.5
129,201809,79.8,4.3
130,201810,68.4,2.7
131,201811,53.2,-1.7
132,201812,50.2,0.0
133,201901,48.2,1.8
134,201902,56.1,5.3
135,201903,56.3,-0.7
136,201904,64.6,0.5
137,201905,75.7,3.9
138,201906,78.1,-0.6
139,201907,81.0,0.3
140,201908,80.7,0.8
141,201909,79.1,3.6
142,201910,69.7,4.0
143,201911,52.8,-2.1
144,201912,52.3,2.1
145,202001,51.4,5.0
146,202002,51.8,1.0
147,202003,63.1,6.1
148,202004,63.1,-1.0
149,202005,69.3,-2.5
150,202006,76.9,-1.8
151,202007,81.4,0.7
152,202008,80.3,0.4
153,202009,74.2,-1.3
154,202010,68.4,2.7
155,202011,60.4,5.5
156,202012,46.4,-3.8
157,202101,47.6,1.2
