,0,1,2
0,Date,Value,Anomaly
1,200801,19.9,-5.5
2,200802,27.6,-0.4
3,200803,30.3,-4.7
4,200804,36.3,-4.9
5,200805,48.9,-1.0
6,200806,56.3,-1.5
7,200807,66.5,-0.2
8,200808,64.8,-0.7
9,200809,55.5,-1.6
10,200810,44.5,0.2
11,200811,37.1,3.7
12,200812,22.6,-1.7
13,200901,25.0,-0.4
14,200902,27.6,-0.4
15,200903,31.4,-3.6
16,200904,40.7,-0.5
17,200905,50.8,0.9
18,200906,56.3,-1.5
19,200907,65.8,-0.9
20,200908,63.8,-1.7
21,200909,60.1,3.0
22,200910,39.5,-4.8
23,200911,33.0,-0.4
24,200912,19.8,-4.5
25,201001,28.2,2.8
26,201002,28.9,0.9
27,201003,35.2,0.2
28,201004,40.0,-1.2
29,201005,44.1,-5.8
30,201006,55.5,-2.3
31,201007,64.2,-2.5
32,201008,62.8,-2.7
33,201009,56.4,-0.7
34,201010,47.5,3.2
35,201011,30.5,-2.9
36,201012,26.6,2.3
37,201101,24.0,-1.4
38,201102,24.3,-3.7
39,201103,33.4,-1.6
40,201104,36.4,-4.8
41,201105,45.8,-4.1
42,201106,54.0,-3.8
43,201107,64.3,-2.4
44,201108,66.1,0.6
45,201109,59.6,2.5
46,201110,45.4,1.1
47,201111,30.5,-2.9
48,201112,24.8,0.5
49,201201,26.8,1.4
50,201202,28.0,0.0
51,201203,36.4,1.4
52,201204,44.4,3.2
53,201205,49.0,-0.9
54,201206,56.9,-0.9
55,201207,68.5,1.8
56,201208,67.3,1.8
57,201209,58.4,1.3
58,201210,43.7,-0.6
59,201211,36.0,2.6
60,201212,25.8,1.5
61,201301,20.2,-5.2
62,201302,27.5,-0.5
63,201303,35.1,0.1
64,201304,40.1,-1.1
65,201305,51.0,1.1
66,201306,59.3,1.5
67,201307,69.6,2.9
68,201308,67.6,2.1
69,201309,57.1,0.0
70,201310,42.1,-2.2
71,201311,33.8,0.4
72,201312,21.1,-3.2
73,201401,27.7,2.3
74,201402,28.0,0.0
75,201403,36.2,1.2
76,201404,41.6,0.4
77,201405,51.6,1.7
78,201406,56.7,-1.1
79,201407,69.3,2.6
80,201408,63.8,-1.7
81,201409,57.6,0.5
82,201410,48.5,4.2
83,201411,31.1,-2.3
84,201412,29.1,4.8
85,201501,28.7,3.3
86,201502,35.2,7.2
87,201503,40.8,5.8
88,201504,42.3,1.1
89,201505,51.8,1.9
90,201506,64.7,6.9
91,201507,65.1,-1.6
92,201508,65.8,0.3
93,201509,57.2,0.1
94,201510,50.7,6.4
95,201511,29.9,-3.5
96,201512,24.3,0.0
97,201601,25.8,0.4
98,201602,31.9,3.9
99,201603,37.0,2.0
100,201604,47.0,5.8
101,201605,50.6,0.7
102,201606,61.2,3.4
103,201607,64.8,-1.9
104,201608,64.7,-0.8
105,201609,54.6,-2.5
106,201610,45.7,1.4
107,201611,38.7,5.3
108,201612,19.1,-5.2
109,201701,18.5,-6.9
110,201702,29.5,1.5
111,201703,38.5,3.5
112,201704,40.3,-0.9
113,201705,50.6,0.7
114,201706,59.1,1.3
115,201707,70.0,3.3
116,201708,66.9,1.4
117,201709,55.7,-1.4
118,201710,41.9,-2.4
119,201711,34.9,1.5
120,201712,25.2,0.9
121,201801,30.4,5.0
122,201802,26.2,-1.8
123,201803,33.7,-1.3
124,201804,42.4,1.2
125,201805,54.0,4.1
126,201806,57.7,-0.1
127,201807,68.4,1.7
128,201808,65.0,-0.5
129,201809,56.2,-0.9
130,201810,44.0,-0.3
131,201811,32.0,-1.4
132,201812,24.3,0.0
133,201901,26.3,0.9
134,201902,23.2,-4.8
135,201903,32.4,-2.6
136,201904,42.9,1.7
137,201905,49.8,-0.1
138,201906,57.2,-0.6
139,201907,65.5,-1.2
140,201908,66.0,0.5
141,201909,55.0,-2.1
142,201910,36.6,-7.7
143,201911,34.3,0.9
144,201912,26.6,2.3
145,202001,27.4,2.0
146,202002,26.4,-1.6
147,202003,35.2,0.2
148,202004,41.6,0.4
149,202005,50.6,0.7
150,202006,56.2,-1.6
151,202007,65.0,-1.7
152,202008,67.1,1.6
153,202009,58.8,1.7
154,202010,45.4,1.1
155,202011,32.8,-0.6
156,202012,26.3,2.0
157,202101,26.6,1.2
