,0,1,2
0,Date,Value,Anomaly
1,200801,16.6,-2.7
2,200802,17.0,-5.2
3,200803,32.6,-4.1
4,200804,46.0,-2.2
5,200805,57.4,-2.6
6,200806,69.3,-1.3
7,200807,73.1,-0.6
8,200808,69.9,-0.9
9,200809,63.5,-1.1
10,200810,50.7,0.2
11,200811,37.3,-0.3
12,200812,17.6,-7.3
13,200901,13.2,-6.1
14,200902,26.7,4.5
15,200903,37.1,0.4
16,200904,47.0,-1.2
17,200905,59.8,-0.2
18,200906,68.9,-1.7
19,200907,68.0,-5.7
20,200908,68.3,-2.5
21,200909,63.3,-1.3
22,200910,44.9,-5.6
23,200911,43.4,5.8
24,200912,19.8,-5.1
25,201001,13.6,-5.7
26,201002,17.3,-4.9
27,201003,38.4,1.7
28,201004,55.2,7.0
29,201005,59.9,-0.1
30,201006,70.8,0.2
31,201007,74.6,0.9
32,201008,74.4,3.6
33,201009,63.1,-1.5
34,201010,53.9,3.4
35,201011,38.0,0.4
36,201012,19.1,-5.8
37,201101,14.8,-4.5
38,201102,22.6,0.4
39,201103,35.1,-1.6
40,201104,47.6,-0.6
41,201105,59.1,-0.9
42,201106,69.6,-1.0
43,201107,78.0,4.3
44,201108,72.0,1.2
45,201109,60.2,-4.4
46,201110,53.4,2.9
47,201111,39.4,1.8
48,201112,29.1,4.2
49,201201,26.5,7.2
50,201202,29.6,7.4
51,201203,51.6,14.9
52,201204,52.4,4.2
53,201205,65.0,5.0
54,201206,71.4,0.8
55,201207,79.6,5.9
56,201208,71.0,0.2
57,201209,62.1,-2.5
58,201210,48.8,-1.7
59,201211,39.2,1.6
60,201212,27.7,2.8
61,201301,22.0,2.7
62,201302,24.2,2.0
63,201303,29.0,-7.7
64,201304,43.8,-4.4
65,201305,59.0,-1.0
66,201306,68.9,-1.7
67,201307,72.3,-1.4
68,201308,71.9,1.1
69,201309,67.0,2.4
70,201310,50.5,0.0
71,201311,33.9,-3.7
72,201312,17.4,-7.5
73,201401,14.2,-5.1
74,201402,13.2,-9.0
75,201403,29.7,-7.0
76,201404,47.5,-0.7
77,201405,60.0,0.0
78,201406,70.2,-0.4
79,201407,68.8,-4.9
80,201408,71.2,0.4
81,201409,62.0,-2.6
82,201410,51.2,0.7
83,201411,29.3,-8.3
84,201412,28.2,3.3
85,201501,21.6,2.3
86,201502,14.5,-7.7
87,201503,37.3,0.6
88,201504,51.1,2.9
89,201505,60.0,0.0
90,201506,69.4,-1.2
91,201507,72.0,-1.7
92,201508,68.9,-1.9
93,201509,68.4,3.8
94,201510,53.0,2.5
95,201511,42.0,4.4
96,201512,33.0,8.1
97,201601,19.6,0.3
98,201602,28.6,6.4
99,201603,42.4,5.7
100,201604,50.1,1.9
101,201605,59.5,-0.5
102,201606,73.0,2.4
103,201607,72.8,-0.9
104,201608,72.0,1.2
105,201609,67.3,2.7
106,201610,55.3,4.8
107,201611,45.1,7.5
108,201612,22.9,-2.0
109,201701,24.2,4.9
110,201702,34.5,12.3
111,201703,37.5,0.8
112,201704,51.1,2.9
113,201705,58.5,-1.5
114,201706,71.1,0.5
115,201707,74.7,1.0
116,201708,67.8,-3.0
117,201709,66.7,2.1
118,201710,53.3,2.8
119,201711,36.2,-1.4
120,201712,24.4,-0.5
121,201801,17.8,-1.5
122,201802,20.5,-1.7
123,201803,35.2,-1.5
124,201804,39.3,-8.9
125,201805,67.0,7.0
126,201806,73.1,2.5
127,201807,73.1,-0.6
128,201808,71.8,1.0
129,201809,65.9,1.3
130,201810,48.2,-2.3
131,201811,30.0,-7.6
132,201812,28.0,3.1
133,201901,18.7,-0.6
134,201902,15.3,-6.9
135,201903,31.1,-5.6
136,201904,49.2,1.0
137,201905,56.6,-3.4
138,201906,69.3,-1.3
139,201907,75.1,1.4
140,201908,69.6,-1.2
141,201909,68.2,3.6
142,201910,47.1,-3.4
143,201911,32.4,-5.2
144,201912,29.2,4.3
145,202001,23.1,3.8
146,202002,24.8,2.6
147,202003,40.3,3.6
148,202004,46.6,-1.6
149,202005,57.6,-2.4
150,202006,72.9,2.3
151,202007,75.4,1.7
152,202008,72.0,1.2
153,202009,62.0,-2.6
154,202010,46.0,-4.5
155,202011,42.0,4.4
156,202012,27.2,2.3
157,202101,23.9,4.6
