,0,1,2
0,Date,Value,Anomaly
1,200801,22.8,2.3
2,200802,18.2,-3.1
3,200803,27.0,-4.2
4,200804,45.7,3.1
5,200805,51.2,-4.1
6,200806,64.8,0.3
7,200807,68.3,-1.2
8,200808,66.5,-1.1
9,200809,60.6,0.0
10,200810,46.8,-1.3
11,200811,35.7,-0.9
12,200812,20.8,-5.5
13,200901,12.6,-7.9
14,200902,22.9,1.6
15,200903,31.6,0.4
16,200904,43.1,0.5
17,200905,53.7,-1.6
18,200906,62.5,-2.0
19,200907,63.5,-6.0
20,200908,65.4,-2.2
21,200909,60.8,0.2
22,200910,44.6,-3.5
23,200911,41.0,4.4
24,200912,23.6,-2.7
25,201001,21.3,0.8
26,201002,23.1,1.8
27,201003,37.6,6.4
28,201004,49.0,6.4
29,201005,58.3,3.0
30,201006,64.9,0.4
31,201007,71.4,1.9
32,201008,70.7,3.1
33,201009,58.1,-2.5
34,201010,49.9,1.8
35,201011,37.8,1.2
36,201012,22.8,-3.5
37,201101,16.9,-3.6
38,201102,21.3,0.0
39,201103,28.8,-2.4
40,201104,42.0,-0.6
41,201105,55.0,-0.3
42,201106,64.2,-0.3
43,201107,72.7,3.2
44,201108,68.3,0.7
45,201109,58.7,-1.9
46,201110,49.7,1.6
47,201111,39.9,3.3
48,201112,29.9,3.6
49,201201,25.1,4.6
50,201202,28.4,7.1
51,201203,44.7,13.5
52,201204,43.9,1.3
53,201205,59.0,3.7
54,201206,66.5,2.0
55,201207,73.5,4.0
56,201208,67.5,-0.1
57,201209,58.4,-2.2
58,201210,47.5,-0.6
59,201211,36.2,-0.4
60,201212,30.4,4.1
61,201301,23.0,2.5
62,201302,20.9,-0.4
63,201303,27.8,-3.4
64,201304,39.5,-3.1
65,201305,56.5,1.2
66,201306,63.8,-0.7
67,201307,68.8,-0.7
68,201308,66.6,-1.0
69,201309,59.5,-1.1
70,201310,48.8,0.7
71,201311,34.2,-2.4
72,201312,19.3,-7.0
73,201401,12.3,-8.2
74,201402,12.7,-8.6
75,201403,21.0,-10.2
76,201404,41.2,-1.4
77,201405,54.6,-0.7
78,201406,65.2,0.7
79,201407,64.8,-4.7
80,201408,66.0,-1.6
81,201409,58.8,-1.8
82,201410,47.5,-0.6
83,201411,30.3,-6.3
84,201412,28.2,1.9
85,201501,16.6,-3.9
86,201502,8.0,-13.3
87,201503,28.6,-2.6
88,201504,43.2,0.6
89,201505,57.2,1.9
90,201506,62.5,-2.0
91,201507,67.9,-1.6
92,201508,66.9,-0.7
93,201509,64.6,4.0
94,201510,48.9,0.8
95,201511,41.3,4.7
96,201512,35.6,9.3
97,201601,22.3,1.8
98,201602,25.3,4.0
99,201603,36.1,4.9
100,201604,40.8,-1.8
101,201605,55.4,0.1
102,201606,64.7,0.2
103,201607,70.3,0.8
104,201608,70.8,3.2
105,201609,63.5,2.9
106,201610,51.6,3.5
107,201611,42.6,6.0
108,201612,25.0,-1.3
109,201701,25.2,4.7
110,201702,29.9,8.6
111,201703,30.7,-0.5
112,201704,47.2,4.6
113,201705,53.0,-2.3
114,201706,65.3,0.8
115,201707,68.5,-1.0
116,201708,65.2,-2.4
117,201709,62.6,2.0
118,201710,52.5,4.4
119,201711,34.5,-2.1
120,201712,20.9,-5.4
121,201801,20.0,-0.5
122,201802,23.0,1.7
123,201803,29.6,-1.6
124,201804,35.2,-7.4
125,201805,60.2,4.9
126,201806,65.2,0.7
127,201807,70.5,1.0
128,201808,69.8,2.2
129,201809,62.4,1.8
130,201810,45.9,-2.2
131,201811,30.8,-5.8
132,201812,28.7,2.4
133,201901,16.8,-3.7
134,201902,19.9,-1.4
135,201903,27.5,-3.7
136,201904,42.5,-0.1
137,201905,51.8,-3.5
138,201906,62.5,-2.0
139,201907,70.9,1.4
140,201908,66.3,-1.3
141,201909,62.3,1.7
142,201910,47.5,-0.6
143,201911,30.8,-5.8
144,201912,28.4,2.1
145,202001,27.0,6.5
146,202002,23.6,2.3
147,202003,35.0,3.8
148,202004,40.2,-2.4
149,202005,53.2,-2.1
150,202006,65.8,1.3
151,202007,72.4,2.9
152,202008,68.6,1.0
153,202009,58.1,-2.5
154,202010,44.3,-3.8
155,202011,41.1,4.5
156,202012,28.6,2.3
157,202101,24.9,4.4
