,0,1,2
0,Date,Value,Anomaly
1,200801,8.5,-2.0
2,200802,9.4,-3.4
3,200803,23.5,-4.7
4,200804,39.6,-1.6
5,200805,51.5,-3.1
6,200806,62.9,-1.9
7,200807,68.4,-1.2
8,200808,66.8,-0.1
9,200809,58.7,-0.7
10,200810,46.0,1.0
11,200811,30.8,0.1
12,200812,6.9,-9.0
13,200901,2.2,-8.3
14,200902,15.0,2.2
15,200903,26.0,-2.2
16,200904,41.8,0.6
17,200905,53.4,-1.2
18,200906,62.3,-2.5
19,200907,64.1,-5.5
20,200908,64.2,-2.7
21,200909,62.6,3.2
22,200910,39.9,-5.1
23,200911,37.8,7.1
24,200912,12.0,-3.9
25,201001,8.8,-1.7
26,201002,12.8,0.0
27,201003,35.8,7.6
28,201004,50.0,8.8
29,201005,56.0,1.4
30,201006,63.8,-1.0
31,201007,70.4,0.8
32,201008,70.2,3.3
33,201009,55.0,-4.4
34,201010,49.1,4.1
35,201011,30.7,0.0
36,201012,11.5,-4.4
37,201101,5.0,-5.5
38,201102,13.2,0.4
39,201103,23.6,-4.6
40,201104,41.6,0.4
41,201105,53.6,-1.0
42,201106,63.4,-1.4
43,201107,72.7,3.1
44,201108,68.2,1.3
45,201109,57.5,-1.9
46,201110,49.9,4.9
47,201111,32.9,2.2
48,201112,22.7,6.8
49,201201,18.4,7.9
50,201202,22.4,9.6
51,201203,41.8,13.6
52,201204,45.5,4.3
53,201205,58.3,3.7
54,201206,66.8,2.0
55,201207,74.3,4.7
56,201208,66.7,-0.2
57,201209,57.3,-2.1
58,201210,43.2,-1.8
59,201211,30.9,0.2
60,201212,16.8,0.9
61,201301,11.4,0.9
62,201302,13.0,0.2
63,201303,20.6,-7.6
64,201304,34.0,-7.2
65,201305,53.2,-1.4
66,201306,63.9,-0.9
67,201307,69.0,-0.6
68,201308,67.8,0.9
69,201309,61.5,2.1
70,201310,44.9,-0.1
71,201311,27.6,-3.1
72,201312,5.0,-10.9
73,201401,2.3,-8.2
74,201402,3.8,-9.0
75,201403,19.6,-8.6
76,201404,38.4,-2.8
77,201405,54.3,-0.3
78,201406,65.0,0.2
79,201407,66.7,-2.9
80,201408,67.1,0.2
81,201409,58.5,-0.9
82,201410,46.2,1.2
83,201411,21.4,-9.3
84,201412,20.4,4.5
85,201501,13.7,3.2
86,201502,5.6,-7.2
87,201503,30.7,2.5
88,201504,44.6,3.4
89,201505,54.2,-0.4
90,201506,64.7,-0.1
91,201507,69.5,-0.1
92,201508,65.9,-1.0
93,201509,63.8,4.4
94,201510,47.9,2.9
95,201511,36.5,5.8
96,201512,24.8,8.9
97,201601,12.6,2.1
98,201602,19.9,7.1
99,201603,35.7,7.5
100,201604,42.5,1.3
101,201605,56.7,2.1
102,201606,65.6,0.8
103,201607,69.3,-0.3
104,201608,68.1,1.2
105,201609,60.7,1.3
106,201610,48.2,3.2
107,201611,40.2,9.5
108,201612,15.3,-0.6
109,201701,14.6,4.1
110,201702,23.9,11.1
111,201703,28.2,0.0
112,201704,44.4,3.2
113,201705,53.6,-1.0
114,201706,65.0,0.2
115,201707,69.2,-0.4
116,201708,64.0,-2.9
117,201709,60.8,1.4
118,201710,47.1,2.1
119,201711,27.4,-3.3
120,201712,13.4,-2.5
121,201801,10.4,-0.1
122,201802,8.6,-4.2
123,201803,27.5,-0.7
124,201804,32.7,-8.5
125,201805,61.1,6.5
126,201806,67.0,2.2
127,201807,69.7,0.1
128,201808,67.4,0.5
129,201809,59.0,-0.4
130,201810,40.7,-4.3
131,201811,22.8,-7.9
132,201812,20.2,4.3
133,201901,6.6,-3.9
134,201902,5.3,-7.5
135,201903,22.6,-5.6
136,201904,41.4,0.2
137,201905,50.5,-4.1
138,201906,64.4,-0.4
139,201907,70.4,0.8
140,201908,65.2,-1.7
141,201909,60.2,0.8
142,201910,42.4,-2.6
143,201911,26.0,-4.7
144,201912,16.6,0.7
145,202001,14.0,3.5
146,202002,14.0,1.2
147,202003,30.4,2.2
148,202004,39.3,-1.9
149,202005,53.5,-1.1
150,202006,67.8,3.0
151,202007,71.4,1.8
152,202008,68.2,1.3
153,202009,56.5,-2.9
154,202010,38.9,-6.1
155,202011,34.0,3.3
156,202012,21.0,5.1
157,202101,18.2,7.7
