,0,1,2
0,Date,Value,Anomaly
1,200801,43.5,-1.8
2,200802,50.1,0.0
3,200803,56.3,-1.0
4,200804,63.0,-1.1
5,200805,71.1,-0.9
6,200806,79.2,-0.3
7,200807,81.2,0.0
8,200808,78.5,-2.0
9,200809,74.1,-2.3
10,200810,62.6,-2.6
11,200811,52.0,-2.1
12,200812,48.3,-0.3
13,200901,45.1,-0.2
14,200902,50.6,0.5
15,200903,57.6,0.3
16,200904,62.8,-1.3
17,200905,71.8,-0.2
18,200906,80.2,0.7
19,200907,79.4,-1.8
20,200908,78.7,-1.8
21,200909,75.8,-0.6
22,200910,62.6,-2.6
23,200911,54.7,0.6
24,200912,44.3,-4.3
25,201001,40.6,-4.7
26,201002,40.7,-9.4
27,201003,52.3,-5.0
28,201004,65.1,1.0
29,201005,74.4,2.4
30,201006,82.2,2.7
31,201007,82.7,1.5
32,201008,83.8,3.3
33,201009,77.0,0.6
34,201010,65.0,-0.2
35,201011,55.7,1.6
36,201012,42.3,-6.3
37,201101,42.2,-3.1
38,201102,49.8,-0.3
39,201103,57.8,0.5
40,201104,67.0,2.9
41,201105,70.6,-1.4
42,201106,82.2,2.7
43,201107,82.9,1.7
44,201108,83.0,2.5
45,201109,72.5,-3.9
46,201110,61.3,-3.9
47,201111,56.1,2.0
48,201112,48.0,-0.6
49,201201,50.8,5.5
50,201202,52.2,2.1
51,201203,65.4,8.1
52,201204,65.8,1.7
53,201205,74.3,2.3
54,201206,78.2,-1.3
55,201207,81.9,0.7
56,201208,79.5,-1.0
57,201209,74.4,-2.0
58,201210,62.1,-3.1
59,201211,52.0,-2.1
60,201212,51.6,3.0
61,201301,49.1,3.8
62,201302,49.0,-1.1
63,201303,50.4,-6.9
64,201304,62.1,-2.0
65,201305,68.9,-3.1
66,201306,78.9,-0.6
67,201307,78.8,-2.4
68,201308,79.6,-0.9
69,201309,77.0,0.6
70,201310,65.4,0.2
71,201311,51.1,-3.0
72,201312,46.7,-1.9
73,201401,38.5,-6.8
74,201402,46.3,-3.8
75,201403,51.6,-5.7
76,201404,62.7,-1.4
77,201405,70.8,-1.2
78,201406,78.6,-0.9
79,201407,77.5,-3.7
80,201408,79.8,-0.7
81,201409,76.5,0.1
82,201410,66.5,1.3
83,201411,48.8,-5.3
84,201412,50.2,1.6
85,201501,43.8,-1.5
86,201502,41.9,-8.2
87,201503,57.7,0.4
88,201504,67.0,2.9
89,201505,72.3,0.3
90,201506,79.2,-0.3
91,201507,82.8,1.6
92,201508,80.1,-0.4
93,201509,76.3,-0.1
94,201510,66.5,1.3
95,201511,59.2,5.1
96,201512,56.7,8.1
97,201601,43.7,-1.6
98,201602,50.9,0.8
99,201603,60.2,2.9
100,201604,65.2,1.1
101,201605,70.5,-1.5
102,201606,80.2,0.7
103,201607,82.4,1.2
104,201608,82.0,1.5
105,201609,79.0,2.6
106,201610,69.2,4.0
107,201611,58.2,4.1
108,201612,49.4,0.8
109,201701,52.9,7.6
110,201702,57.1,7.0
111,201703,60.1,2.8
112,201704,67.3,3.2
113,201705,70.1,-1.9
114,201706,76.7,-2.8
115,201707,81.2,0.0
116,201708,79.3,-1.2
117,201709,74.5,-1.9
118,201710,66.2,1.0
119,201711,56.8,2.7
120,201712,47.1,-1.5
121,201801,40.1,-5.2
122,201802,56.9,6.8
123,201803,57.1,-0.2
124,201804,58.9,-5.2
125,201805,75.8,3.8
126,201806,80.6,1.1
127,201807,81.8,0.6
128,201808,80.3,-0.2
129,201809,78.9,2.5
130,201810,67.4,2.2
131,201811,50.5,-3.6
132,201812,49.0,0.4
133,201901,46.3,1.0
134,201902,55.0,4.9
135,201903,54.7,-2.6
136,201904,63.1,-1.0
137,201905,74.3,2.3
138,201906,78.3,-1.2
139,201907,80.8,-0.4
140,201908,81.4,0.9
141,201909,81.2,4.8
142,201910,66.6,1.4
143,201911,50.3,-3.8
144,201912,50.7,2.1
145,202001,50.3,5.0
146,202002,51.2,1.1
147,202003,64.2,6.9
148,202004,63.1,-1.0
149,202005,70.5,-1.5
150,202006,78.4,-1.1
151,202007,82.3,1.1
152,202008,80.4,-0.1
153,202009,75.4,-1.0
154,202010,66.0,0.8
155,202011,58.5,4.4
156,202012,47.3,-1.3
157,202101,47.2,1.9
