,0,1,2
0,Date,Value,Anomaly
1,200801,21.3,-4.0
2,200802,26.2,-0.7
3,200803,37.4,-2.1
4,200804,44.6,-3.2
5,200805,56.3,-1.5
6,200806,67.5,-2.5
7,200807,75.0,0.4
8,200808,71.4,-0.6
9,200809,62.2,-2.3
10,200810,50.2,0.4
11,200811,38.9,0.5
12,200812,21.3,-5.1
13,200901,25.5,0.2
14,200902,31.8,4.9
15,200903,37.4,-2.1
16,200904,46.1,-1.7
17,200905,59.1,1.3
18,200906,66.8,-3.2
19,200907,70.2,-4.4
20,200908,69.4,-2.6
21,200909,61.8,-2.7
22,200910,42.3,-7.5
23,200911,42.2,3.8
24,200912,18.6,-7.8
25,201001,22.1,-3.2
26,201002,23.0,-3.9
27,201003,39.7,0.2
28,201004,51.7,3.9
29,201005,56.3,-1.5
30,201006,69.6,-0.4
31,201007,74.5,-0.1
32,201008,74.8,2.8
33,201009,63.6,-0.9
34,201010,54.0,4.2
35,201011,36.7,-1.7
36,201012,26.1,-0.3
37,201101,20.4,-4.9
38,201102,24.5,-2.4
39,201103,37.1,-2.4
40,201104,47.5,-0.3
41,201105,56.0,-1.8
42,201106,68.2,-1.8
43,201107,77.7,3.1
44,201108,73.9,1.9
45,201109,60.6,-3.9
46,201110,52.7,2.9
47,201111,38.2,-0.2
48,201112,28.6,2.2
49,201201,30.4,5.1
50,201202,29.3,2.4
51,201203,50.8,11.3
52,201204,53.5,5.7
53,201205,62.3,4.5
54,201206,73.4,3.4
55,201207,80.0,5.4
56,201208,73.0,1.0
57,201209,64.1,-0.4
58,201210,48.2,-1.6
59,201211,40.0,1.6
60,201212,27.6,1.2
61,201301,25.5,0.2
62,201302,28.8,1.9
63,201303,34.8,-4.7
64,201304,42.5,-5.3
65,201305,58.5,0.7
66,201306,68.8,-1.2
67,201307,73.2,-1.4
68,201308,73.8,1.8
69,201309,68.0,3.5
70,201310,48.8,-1.0
71,201311,36.0,-2.4
72,201312,22.8,-3.6
73,201401,25.4,0.1
74,201402,20.8,-6.1
75,201403,35.4,-4.1
76,201404,48.3,0.5
77,201405,58.5,0.7
78,201406,68.1,-1.9
79,201407,71.2,-3.4
80,201408,72.2,0.2
81,201409,62.9,-1.6
82,201410,53.2,3.4
83,201411,32.2,-6.2
84,201412,28.0,1.6
85,201501,27.2,1.9
86,201502,26.1,-0.8
87,201503,42.9,3.4
88,201504,50.5,2.7
89,201505,56.2,-1.6
90,201506,69.8,-0.2
91,201507,73.4,-1.2
92,201508,70.9,-1.1
93,201509,68.6,4.1
94,201510,54.3,4.5
95,201511,40.1,1.7
96,201512,29.7,3.3
97,201601,26.0,0.7
98,201602,35.0,8.1
99,201603,43.9,4.4
100,201604,49.9,2.1
101,201605,57.2,-0.6
102,201606,73.3,3.3
103,201607,74.2,-0.4
104,201608,71.8,-0.2
105,201609,65.0,0.5
106,201610,55.4,5.6
107,201611,44.3,5.9
108,201612,23.8,-2.6
109,201701,24.8,-0.5
110,201702,35.4,8.5
111,201703,42.2,2.7
112,201704,49.7,1.9
113,201705,57.0,-0.8
114,201706,70.7,0.7
115,201707,76.8,2.2
116,201708,69.0,-3.0
117,201709,65.0,0.5
118,201710,51.0,1.2
119,201711,39.9,1.5
120,201712,26.6,0.2
121,201801,23.0,-2.3
122,201802,21.7,-5.2
123,201803,38.5,-1.0
124,201804,41.2,-6.6
125,201805,63.8,6.0
126,201806,72.2,2.2
127,201807,73.4,-1.2
128,201808,70.8,-1.2
129,201809,65.7,1.2
130,201810,47.2,-2.6
131,201811,33.5,-4.9
132,201812,28.1,1.7
133,201901,26.4,1.1
134,201902,17.2,-9.7
135,201903,31.7,-7.8
136,201904,49.2,1.4
137,201905,53.5,-4.3
138,201906,68.0,-2.0
139,201907,74.5,-0.1
140,201908,71.5,-0.5
141,201909,68.3,3.8
142,201910,44.2,-5.6
143,201911,35.2,-3.2
144,201912,30.2,3.8
145,202001,27.2,1.9
146,202002,29.6,2.7
147,202003,41.1,1.6
148,202004,46.1,-1.7
149,202005,56.8,-1.0
150,202006,73.5,3.5
151,202007,75.3,0.7
152,202008,74.0,2.0
153,202009,62.7,-1.8
154,202010,46.4,-3.4
155,202011,42.6,4.2
156,202012,31.2,4.8
157,202101,29.3,4.0
