,0,1,2
0,Date,Value,Anomaly
1,200801,27.6,-5.6
2,200802,34.6,-1.1
3,200803,40.2,-2.0
4,200804,45.2,-2.6
5,200805,54.2,-1.4
6,200806,65.4,-1.0
7,200807,74.3,0.1
8,200808,73.2,0.8
9,200809,63.9,-0.5
10,200810,52.0,0.2
11,200811,44.4,3.5
12,200812,30.0,-1.6
13,200901,34.4,1.2
14,200902,35.3,-0.4
15,200903,40.0,-2.2
16,200904,46.1,-1.7
17,200905,60.6,5.0
18,200906,62.4,-4.0
19,200907,74.1,-0.1
20,200908,70.2,-2.2
21,200909,66.7,2.3
22,200910,47.9,-3.9
23,200911,40.7,-0.2
24,200912,26.0,-5.6
25,201001,32.9,-0.3
26,201002,35.8,0.1
27,201003,39.9,-2.3
28,201004,44.2,-3.6
29,201005,49.2,-6.4
30,201006,64.8,-1.6
31,201007,74.1,-0.1
32,201008,69.9,-2.5
33,201009,63.9,-0.5
34,201010,52.9,1.1
35,201011,37.4,-3.5
36,201012,35.6,4.0
37,201101,32.9,-0.3
38,201102,32.8,-2.9
39,201103,40.6,-1.6
40,201104,44.4,-3.4
41,201105,50.8,-4.8
42,201106,62.4,-4.0
43,201107,71.9,-2.3
44,201108,72.5,0.1
45,201109,65.6,1.2
46,201110,52.4,0.6
47,201111,37.6,-3.3
48,201112,30.9,-0.7
49,201201,35.0,1.8
50,201202,34.6,-1.1
51,201203,42.4,0.2
52,201204,49.9,2.1
53,201205,58.0,2.4
54,201206,66.2,-0.2
55,201207,73.7,-0.5
56,201208,74.2,1.8
57,201209,66.2,1.8
58,201210,53.4,1.6
59,201211,43.4,2.5
60,201212,31.3,-0.3
61,201301,26.0,-7.2
62,201302,33.3,-2.4
63,201303,44.7,2.5
64,201304,48.4,0.6
65,201305,56.5,0.9
66,201306,68.6,2.2
67,201307,76.3,2.1
68,201308,71.6,-0.8
69,201309,62.5,-1.9
70,201310,48.1,-3.7
71,201311,41.5,0.6
72,201312,28.4,-3.2
73,201401,37.1,3.9
74,201402,39.2,3.5
75,201403,43.4,1.2
76,201404,49.0,1.2
77,201405,57.4,1.8
78,201406,66.7,0.3
79,201407,76.1,1.9
80,201408,69.5,-2.9
81,201409,65.5,1.1
82,201410,55.4,3.6
83,201411,41.5,0.6
84,201412,35.6,4.0
85,201501,37.7,4.5
86,201502,42.8,7.1
87,201503,47.6,5.4
88,201504,47.8,0.0
89,201505,55.4,-0.2
90,201506,71.0,4.6
91,201507,70.9,-3.3
92,201508,72.7,0.3
93,201509,65.9,1.5
94,201510,56.2,4.4
95,201511,35.9,-5.0
96,201512,30.8,-0.8
97,201601,31.1,-2.1
98,201602,38.0,2.3
99,201603,44.2,2.0
100,201604,50.1,2.3
101,201605,55.1,-0.5
102,201606,69.7,3.3
103,201607,73.7,-0.5
104,201608,72.1,-0.3
105,201609,62.3,-2.1
106,201610,53.2,1.4
107,201611,43.2,2.3
108,201612,30.5,-1.1
109,201701,29.1,-4.1
110,201702,38.1,2.4
111,201703,45.7,3.5
112,201704,47.1,-0.7
113,201705,57.1,1.5
114,201706,68.6,2.2
115,201707,76.2,2.0
116,201708,73.5,1.1
117,201709,61.6,-2.8
118,201710,50.4,-1.4
119,201711,44.4,3.5
120,201712,34.8,3.2
121,201801,38.5,5.3
122,201802,33.7,-2.0
123,201803,39.5,-2.7
124,201804,50.0,2.2
125,201805,57.7,2.1
126,201806,67.8,1.4
127,201807,77.0,2.8
128,201808,73.2,0.8
129,201809,65.0,0.6
130,201810,50.3,-1.5
131,201811,39.4,-1.5
132,201812,32.0,0.4
133,201901,34.1,0.9
134,201902,30.0,-5.7
135,201903,40.1,-2.1
136,201904,50.1,2.3
137,201905,51.7,-3.9
138,201906,64.3,-2.1
139,201907,72.8,-1.4
140,201908,73.1,0.7
141,201909,61.7,-2.7
142,201910,45.6,-6.2
143,201911,41.8,0.9
144,201912,33.2,1.6
145,202001,35.3,2.1
146,202002,36.3,0.6
147,202003,40.4,-1.8
148,202004,48.8,1.0
149,202005,58.9,3.3
150,202006,65.1,-1.3
151,202007,74.1,-0.1
152,202008,75.4,3.0
153,202009,66.6,2.2
154,202010,55.2,3.4
155,202011,40.5,-0.4
156,202012,32.3,0.7
157,202101,33.7,0.5
