,0,1,2
0,Date,Value,Anomaly
1,200801,22.0,2.1
2,200802,22.2,0.0
3,200803,27.3,-2.8
4,200804,44.0,1.6
5,200805,51.4,-3.3
6,200806,63.9,1.6
7,200807,68.3,-0.3
8,200808,63.8,-2.5
9,200809,58.4,-0.9
10,200810,45.0,-2.5
11,200811,35.5,-0.4
12,200812,24.4,-1.5
13,200901,12.3,-7.6
14,200902,21.7,-0.5
15,200903,30.1,0.0
16,200904,44.4,2.0
17,200905,53.3,-1.4
18,200906,60.2,-2.1
19,200907,64.0,-4.6
20,200908,67.0,0.7
21,200909,56.0,-3.3
22,200910,43.4,-4.1
23,200911,40.0,4.1
24,200912,23.2,-2.7
25,201001,21.1,1.2
26,201002,25.3,3.1
27,201003,37.0,6.9
28,201004,46.7,4.3
29,201005,56.7,2.0
30,201006,63.0,0.7
31,201007,70.4,1.8
32,201008,66.0,-0.3
33,201009,60.1,0.8
34,201010,46.3,-1.2
35,201011,36.1,0.2
36,201012,23.1,-2.8
37,201101,16.8,-3.1
38,201102,18.7,-3.5
39,201103,29.3,-0.8
40,201104,42.4,0.0
41,201105,55.8,1.1
42,201106,62.1,-0.2
43,201107,69.1,0.5
44,201108,66.2,-0.1
45,201109,61.0,1.7
46,201110,48.2,0.7
47,201111,40.2,4.3
48,201112,29.4,3.5
49,201201,22.7,2.8
50,201202,26.9,4.7
51,201203,38.9,8.8
52,201204,44.2,1.8
53,201205,57.0,2.3
54,201206,62.1,-0.2
55,201207,68.9,0.3
56,201208,68.2,1.9
57,201209,57.5,-1.8
58,201210,49.7,2.2
59,201211,34.3,-1.6
60,201212,28.7,2.8
61,201301,20.2,0.3
62,201302,23.1,0.9
63,201303,30.8,0.7
64,201304,42.0,-0.4
65,201305,54.9,0.2
66,201306,63.2,0.9
67,201307,70.6,2.0
68,201308,64.8,-1.5
69,201309,57.4,-1.9
70,201310,48.0,0.5
71,201311,33.2,-2.7
72,201312,22.2,-3.7
73,201401,16.5,-3.4
74,201402,18.1,-4.1
75,201403,21.6,-8.5
76,201404,41.6,-0.8
77,201405,54.0,-0.7
78,201406,62.8,0.5
79,201407,67.9,-0.7
80,201408,64.0,-2.3
81,201409,57.8,-1.5
82,201410,49.8,2.3
83,201411,33.8,-2.1
84,201412,28.7,2.8
85,201501,14.6,-5.3
86,201502,8.1,-14.1
87,201503,23.8,-6.3
88,201504,40.6,-1.8
89,201505,58.9,4.2
90,201506,60.2,-2.1
91,201507,66.9,-1.7
92,201508,67.6,1.3
93,201509,62.7,3.4
94,201510,45.2,-2.3
95,201511,39.6,3.7
96,201512,35.2,9.3
97,201601,22.9,3.0
98,201602,25.6,3.4
99,201603,35.2,5.1
100,201604,40.2,-2.2
101,201605,54.8,0.1
102,201606,62.6,0.3
103,201607,68.5,-0.1
104,201608,68.2,1.9
105,201609,60.5,1.2
106,201610,48.0,0.5
107,201611,37.9,2.0
108,201612,24.4,-1.5
109,201701,25.7,5.8
110,201702,26.7,4.5
111,201703,25.3,-4.8
112,201704,45.8,3.4
113,201705,52.2,-2.5
114,201706,62.6,0.3
115,201707,66.5,-2.1
116,201708,64.1,-2.2
117,201709,62.2,2.9
118,201710,53.9,6.4
119,201711,34.6,-1.3
120,201712,19.6,-6.3
121,201801,18.3,-1.6
122,201802,27.0,4.8
123,201803,30.3,0.2
124,201804,38.0,-4.4
125,201805,57.3,2.6
126,201806,61.4,-0.9
127,201807,69.9,1.3
128,201808,69.2,2.9
129,201809,61.1,1.8
130,201810,45.0,-2.5
131,201811,31.2,-4.7
132,201812,24.7,-1.2
133,201901,18.0,-1.9
134,201902,21.0,-1.2
135,201903,27.4,-2.7
136,201904,42.4,0.0
137,201905,51.3,-3.4
138,201906,61.6,-0.7
139,201907,70.0,1.4
140,201908,65.7,-0.6
141,201909,57.5,-1.8
142,201910,47.9,0.4
143,201911,31.5,-4.4
144,201912,24.7,-1.2
145,202001,25.1,5.2
146,202002,24.1,1.9
147,202003,34.1,4.0
148,202004,39.5,-2.9
149,202005,53.4,-1.3
150,202006,63.8,1.5
151,202007,71.0,2.4
152,202008,66.5,0.2
153,202009,58.4,-0.9
154,202010,47.0,-0.5
155,202011,38.5,2.6
156,202012,28.0,2.1
157,202101,23.0,3.1
