,0,1,2
0,Date,Value,Anomaly
1,200801,25.9,4.0
2,200802,23.5,-0.6
3,200803,29.3,-2.8
4,200804,48.4,4.1
5,200805,51.7,-5.0
6,200806,66.6,2.4
7,200807,69.1,-0.8
8,200808,64.8,-2.7
9,200809,60.7,-0.4
10,200810,46.4,-3.1
11,200811,36.4,-1.4
12,200812,26.5,-1.9
13,200901,15.0,-6.9
14,200902,24.7,0.6
15,200903,33.1,1.0
16,200904,45.8,1.5
17,200905,55.1,-1.6
18,200906,62.1,-2.1
19,200907,65.2,-4.7
20,200908,67.9,0.4
21,200909,58.4,-2.7
22,200910,45.9,-3.6
23,200911,41.8,4.0
24,200912,25.2,-3.2
25,201001,21.8,-0.1
26,201002,24.1,0.0
27,201003,38.2,6.1
28,201004,49.2,4.9
29,201005,58.6,1.9
30,201006,65.1,0.9
31,201007,71.4,1.5
32,201008,68.2,0.7
33,201009,60.9,-0.2
34,201010,48.5,-1.0
35,201011,37.9,0.1
36,201012,23.1,-5.3
37,201101,18.6,-3.3
38,201102,21.8,-2.3
39,201103,30.9,-1.2
40,201104,45.0,0.7
41,201105,58.0,1.3
42,201106,65.1,0.9
43,201107,71.4,1.5
44,201108,67.6,0.1
45,201109,62.6,1.5
46,201110,49.6,0.1
47,201111,43.1,5.3
48,201112,31.8,3.4
49,201201,26.0,4.1
50,201202,29.9,5.8
51,201203,43.3,11.2
52,201204,43.9,-0.4
53,201205,60.5,3.8
54,201206,64.6,0.4
55,201207,71.4,1.5
56,201208,68.4,0.9
57,201209,59.9,-1.2
58,201210,50.9,1.4
59,201211,35.7,-2.1
60,201212,31.6,3.2
61,201301,24.3,2.4
62,201302,23.3,-0.8
63,201303,30.6,-1.5
64,201304,43.4,-0.9
65,201305,57.2,0.5
66,201306,64.0,-0.2
67,201307,71.2,1.3
68,201308,65.8,-1.7
69,201309,58.3,-2.8
70,201310,50.8,1.3
71,201311,34.4,-3.4
72,201312,25.4,-3.0
73,201401,16.9,-5.0
74,201402,18.8,-5.3
75,201403,23.6,-8.5
76,201404,43.5,-0.8
77,201405,56.7,0.0
78,201406,65.0,0.8
79,201407,67.4,-2.5
80,201408,65.3,-2.2
81,201409,60.1,-1.0
82,201410,51.3,1.8
83,201411,35.3,-2.5
84,201412,30.2,1.8
85,201501,16.2,-5.7
86,201502,9.2,-14.9
87,201503,25.5,-6.6
88,201504,43.3,-1.0
89,201505,61.0,4.3
90,201506,63.0,-1.2
91,201507,68.1,-1.8
92,201508,67.5,0.0
93,201509,65.0,3.9
94,201510,47.4,-2.1
95,201511,42.8,5.0
96,201512,39.3,10.9
97,201601,23.7,1.8
98,201602,26.7,2.6
99,201603,37.7,5.6
100,201604,41.3,-3.0
101,201605,55.7,-1.0
102,201606,64.1,-0.1
103,201607,70.4,0.5
104,201608,70.9,3.4
105,201609,62.9,1.8
106,201610,50.5,1.0
107,201611,40.2,2.4
108,201612,27.6,-0.8
109,201701,27.9,6.0
110,201702,30.6,6.5
111,201703,28.2,-3.9
112,201704,48.8,4.5
113,201705,54.0,-2.7
114,201706,63.9,-0.3
115,201707,68.1,-1.8
116,201708,65.6,-1.9
117,201709,62.3,1.2
118,201710,54.8,5.3
119,201711,36.2,-1.6
120,201712,22.6,-5.8
121,201801,19.1,-2.8
122,201802,29.4,5.3
123,201803,29.9,-2.2
124,201804,37.8,-6.5
125,201805,60.0,3.3
126,201806,63.4,-0.8
127,201807,71.2,1.3
128,201808,70.4,2.9
129,201809,63.6,2.5
130,201810,47.7,-1.8
131,201811,33.3,-4.5
132,201812,28.5,0.1
133,201901,19.4,-2.5
134,201902,24.2,0.1
135,201903,29.5,-2.6
136,201904,44.5,0.2
137,201905,54.2,-2.5
138,201906,62.9,-1.3
139,201907,71.0,1.1
140,201908,66.6,-0.9
141,201909,60.3,-0.8
142,201910,50.2,0.7
143,201911,32.8,-5.0
144,201912,27.3,-1.1
145,202001,27.7,5.8
146,202002,26.6,2.5
147,202003,37.2,5.1
148,202004,41.0,-3.3
149,202005,54.1,-2.6
150,202006,65.2,1.0
151,202007,72.9,3.0
152,202008,68.5,1.0
153,202009,59.5,-1.6
154,202010,49.0,-0.5
155,202011,41.8,4.0
156,202012,29.7,1.3
157,202101,24.1,2.2
