,0,1,2
0,Date,Value,Anomaly
1,200801,29.1,1.6
2,200802,28.4,-2.2
3,200803,36.8,-3.4
4,200804,52.9,1.6
5,200805,57.0,-5.2
6,200806,70.8,0.5
7,200807,72.3,-1.4
8,200808,70.4,-1.4
9,200809,67.0,0.8
10,200810,52.0,-2.1
11,200811,39.9,-2.1
12,200812,31.0,-2.6
13,200901,20.8,-6.7
14,200902,31.4,0.8
15,200903,42.3,2.1
16,200904,51.1,-0.2
17,200905,61.1,-1.1
18,200906,69.0,-1.3
19,200907,68.5,-5.2
20,200908,71.0,-0.8
21,200909,64.6,-1.6
22,200910,50.0,-4.1
23,200911,46.1,4.1
24,200912,30.6,-3.0
25,201001,25.0,-2.5
26,201002,25.7,-4.9
27,201003,42.2,2.0
28,201004,55.4,4.1
29,201005,63.4,1.2
30,201006,72.2,1.9
31,201007,75.1,1.4
32,201008,74.2,2.4
33,201009,65.9,-0.3
34,201010,54.7,0.6
35,201011,41.9,-0.1
36,201012,24.8,-8.8
37,201101,23.5,-4.0
38,201102,30.5,-0.1
39,201103,39.6,-0.6
40,201104,52.1,0.8
41,201105,61.7,-0.5
42,201106,70.4,0.1
43,201107,77.3,3.6
44,201108,71.9,0.1
45,201109,64.2,-2.0
46,201110,52.7,-1.4
47,201111,46.9,4.9
48,201112,36.9,3.3
49,201201,32.1,4.6
50,201202,35.1,4.5
51,201203,52.2,12.0
52,201204,50.2,-1.1
53,201205,66.4,4.2
54,201206,70.3,0.0
55,201207,77.5,3.8
56,201208,71.4,-0.4
57,201209,63.3,-2.9
58,201210,52.4,-1.7
59,201211,39.6,-2.4
60,201212,37.7,4.1
61,201301,30.5,3.0
62,201302,29.2,-1.4
63,201303,35.0,-5.2
64,201304,50.6,-0.7
65,201305,63.2,1.0
66,201306,69.5,-0.8
67,201307,72.5,-1.2
68,201308,70.2,-1.6
69,201309,64.5,-1.7
70,201310,54.3,0.2
71,201311,39.0,-3.0
72,201312,32.0,-1.6
73,201401,19.8,-7.7
74,201402,23.4,-7.2
75,201403,33.6,-6.6
76,201404,51.4,0.1
77,201405,61.7,-0.5
78,201406,70.6,0.3
79,201407,69.4,-4.3
80,201408,71.0,-0.8
81,201409,64.0,-2.2
82,201410,53.3,-0.8
83,201411,36.8,-5.2
84,201412,35.3,1.7
85,201501,24.4,-3.1
86,201502,17.3,-13.3
87,201503,35.9,-4.3
88,201504,51.5,0.2
89,201505,65.0,2.8
90,201506,69.8,-0.5
91,201507,71.6,-2.1
92,201508,70.1,-1.7
93,201509,68.4,2.2
94,201510,54.4,0.3
95,201511,47.3,5.3
96,201512,43.7,10.1
97,201601,27.2,-0.3
98,201602,33.6,3.0
99,201603,46.5,6.3
100,201604,50.2,-1.1
101,201605,59.7,-2.5
102,201606,71.2,0.9
103,201607,74.8,1.1
104,201608,76.0,4.2
105,201609,69.2,3.0
106,201610,57.7,3.6
107,201611,45.8,3.8
108,201612,31.0,-2.6
109,201701,34.6,7.1
110,201702,40.5,9.9
111,201703,40.4,0.2
112,201704,56.6,5.3
113,201705,60.1,-2.1
114,201706,69.6,-0.7
115,201707,73.0,-0.7
116,201708,69.7,-2.1
117,201709,65.8,-0.4
118,201710,57.4,3.3
119,201711,41.8,-0.2
120,201712,29.2,-4.4
121,201801,25.0,-2.5
122,201802,36.6,6.0
123,201803,36.4,-3.8
124,201804,45.1,-6.2
125,201805,68.0,5.8
126,201806,71.4,1.1
127,201807,73.8,0.1
128,201808,73.6,1.8
129,201809,69.6,3.4
130,201810,54.3,0.2
131,201811,37.4,-4.6
132,201812,35.1,1.5
133,201901,27.4,-0.1
134,201902,33.0,2.4
135,201903,36.8,-3.4
136,201904,52.3,1.0
137,201905,62.8,0.6
138,201906,68.8,-1.5
139,201907,75.9,2.2
140,201908,71.8,0.0
141,201909,69.8,3.6
142,201910,56.5,2.4
143,201911,37.4,-4.6
144,201912,36.2,2.6
145,202001,34.9,7.4
146,202002,32.8,2.2
147,202003,44.7,4.5
148,202004,47.8,-3.5
149,202005,58.4,-3.8
150,202006,70.4,0.1
151,202007,76.8,3.1
152,202008,72.2,0.4
153,202009,64.6,-1.6
154,202010,53.4,-0.7
155,202011,46.4,4.4
156,202012,33.5,-0.1
157,202101,30.9,3.4
