,0,1,2
0,Date,Value,Anomaly
1,200801,38.3,-0.1
2,200802,41.2,-0.6
3,200803,50.8,-1.2
4,200804,57.8,-1.8
5,200805,68.5,0.2
6,200806,78.2,-0.7
7,200807,81.7,-0.7
8,200808,79.1,-1.8
9,200809,70.1,-3.7
10,200810,60.1,-0.8
11,200811,50.2,0.1
12,200812,38.6,-1.5
13,200901,37.5,-0.9
14,200902,47.2,5.4
15,200903,52.1,0.1
16,200904,58.3,-1.3
17,200905,66.0,-2.3
18,200906,79.1,0.2
19,200907,80.8,-1.6
20,200908,78.9,-2.0
21,200909,70.1,-3.7
22,200910,54.8,-6.1
23,200911,53.6,3.5
24,200912,34.6,-5.5
25,201001,35.2,-3.2
26,201002,35.7,-6.1
27,201003,49.0,-3.0
28,201004,61.5,1.9
29,201005,68.2,-0.1
30,201006,81.0,2.1
31,201007,81.9,-0.5
32,201008,83.9,3.0
33,201009,75.0,1.2
34,201010,62.3,1.4
35,201011,50.4,0.3
36,201012,39.5,-0.6
37,201101,35.0,-3.4
38,201102,39.4,-2.4
39,201103,52.4,0.4
40,201104,62.1,2.5
41,201105,67.7,-0.6
42,201106,83.4,4.5
43,201107,89.2,6.8
44,201108,87.7,6.8
45,201109,71.1,-2.7
46,201110,61.8,0.9
47,201111,50.0,-0.1
48,201112,39.9,-0.2
49,201201,42.7,4.3
50,201202,43.8,2.0
51,201203,59.6,7.6
52,201204,64.3,4.7
53,201205,72.6,4.3
54,201206,79.0,0.1
55,201207,85.9,3.5
56,201208,81.5,0.6
57,201209,74.4,0.6
58,201210,59.6,-1.3
59,201211,52.2,2.1
60,201212,42.2,2.1
61,201301,39.7,1.3
62,201302,41.1,-0.7
63,201303,47.5,-4.5
64,201304,54.7,-4.9
65,201305,67.0,-1.3
66,201306,78.1,-0.8
67,201307,79.6,-2.8
68,201308,80.3,-0.6
69,201309,75.8,2.0
70,201310,60.4,-0.5
71,201311,46.6,-3.5
72,201312,35.2,-4.9
73,201401,36.0,-2.4
74,201402,36.1,-5.7
75,201403,46.3,-5.7
76,201404,59.4,-0.2
77,201405,68.9,0.6
78,201406,77.3,-1.6
79,201407,77.8,-4.6
80,201408,80.7,-0.2
81,201409,73.3,-0.5
82,201410,64.6,3.7
83,201411,44.4,-5.7
84,201412,41.8,1.7
85,201501,37.7,-0.7
86,201502,37.8,-4.0
87,201503,51.1,-0.9
88,201504,61.4,1.8
89,201505,66.1,-2.2
90,201506,78.4,-0.5
91,201507,82.1,-0.3
92,201508,79.3,-1.6
93,201509,76.6,2.8
94,201510,63.4,2.5
95,201511,51.4,1.3
96,201512,44.6,4.5
97,201601,38.2,-0.2
98,201602,47.4,5.6
99,201603,54.7,2.7
100,201604,61.4,1.8
101,201605,66.2,-2.1
102,201606,79.2,0.3
103,201607,83.2,0.8
104,201608,80.8,-0.1
105,201609,75.3,1.5
106,201610,67.1,6.2
107,201611,55.4,5.3
108,201612,38.8,-1.3
109,201701,40.9,2.5
110,201702,50.5,8.7
111,201703,56.2,4.2
112,201704,61.4,1.8
113,201705,66.9,-1.4
114,201706,77.3,-1.6
115,201707,82.5,0.1
116,201708,77.3,-3.6
117,201709,73.3,-0.5
118,201710,62.0,1.1
119,201711,52.9,2.8
120,201712,40.5,0.4
121,201801,36.6,-1.8
122,201802,41.0,-0.8
123,201803,53.0,1.0
124,201804,54.2,-5.4
125,201805,75.1,6.8
126,201806,80.6,1.7
127,201807,82.7,0.3
128,201808,79.9,-1.0
129,201809,73.9,0.1
130,201810,60.1,-0.8
131,201811,44.5,-5.6
132,201812,40.8,0.7
133,201901,38.3,-0.1
134,201902,40.3,-1.5
135,201903,47.3,-4.7
136,201904,60.4,0.8
137,201905,67.0,-1.3
138,201906,75.4,-3.5
139,201907,80.8,-1.6
140,201908,82.4,1.5
141,201909,79.7,5.9
142,201910,57.4,-3.5
143,201911,46.2,-3.9
144,201912,43.2,3.1
145,202001,42.2,3.8
146,202002,41.8,0.0
147,202003,55.5,3.5
148,202004,57.9,-1.7
149,202005,67.2,-1.1
150,202006,78.8,-0.1
151,202007,82.5,0.1
152,202008,79.4,-1.5
153,202009,70.3,-3.5
154,202010,58.2,-2.7
155,202011,53.5,3.4
156,202012,41.0,0.9
157,202101,39.8,1.4
