,0,1,2
0,Date,Value,Anomaly
1,200801,28.5,-5.4
2,200802,35.8,0.4
3,200803,36.5,-3.1
4,200804,40.3,-4.1
5,200805,51.6,-0.3
6,200806,56.6,-1.9
7,200807,66.3,-0.5
8,200808,65.2,-1.3
9,200809,59.4,-0.2
10,200810,48.8,0.1
11,200811,42.4,3.3
12,200812,30.2,-1.8
13,200901,34.2,0.3
14,200902,35.0,-0.4
15,200903,36.4,-3.2
16,200904,43.4,-1.0
17,200905,53.2,1.3
18,200906,58.4,-0.1
19,200907,68.0,1.2
20,200908,65.3,-1.2
21,200909,61.4,1.8
22,200910,45.1,-3.6
23,200911,38.2,-0.9
24,200912,28.5,-3.5
25,201001,36.9,3.0
26,201002,37.6,2.2
27,201003,39.5,-0.1
28,201004,42.0,-2.4
29,201005,46.4,-5.5
30,201006,55.6,-2.9
31,201007,65.3,-1.5
32,201008,63.5,-3.0
33,201009,58.5,-1.1
34,201010,50.0,1.3
35,201011,36.7,-2.4
36,201012,33.4,1.4
37,201101,33.9,0.0
38,201102,32.6,-2.8
39,201103,37.9,-1.7
40,201104,39.5,-4.9
41,201105,46.5,-5.4
42,201106,54.9,-3.6
43,201107,62.7,-4.1
44,201108,66.1,-0.4
45,201109,62.6,3.0
46,201110,49.0,0.3
47,201111,37.0,-2.1
48,201112,32.6,0.6
49,201201,34.4,0.5
50,201202,34.6,-0.8
51,201203,38.3,-1.3
52,201204,45.9,1.5
53,201205,50.8,-1.1
54,201206,55.5,-3.0
55,201207,66.3,-0.5
56,201208,67.7,1.2
57,201209,61.8,2.2
58,201210,48.8,0.1
59,201211,40.6,1.5
60,201212,31.5,-0.5
61,201301,29.7,-4.2
62,201302,35.1,-0.3
63,201303,40.9,1.3
64,201304,44.6,0.2
65,201305,52.5,0.6
66,201306,59.4,0.9
67,201307,69.4,2.6
68,201308,66.5,0.0
69,201309,58.3,-1.3
70,201310,46.2,-2.5
71,201311,39.4,0.3
72,201312,29.7,-2.3
73,201401,36.7,2.8
74,201402,35.3,-0.1
75,201403,41.8,2.2
76,201404,45.8,1.4
77,201405,53.3,1.4
78,201406,58.1,-0.4
79,201407,70.0,3.2
80,201408,66.6,0.1
81,201409,60.8,1.2
82,201410,52.9,4.2
83,201411,38.2,-0.9
84,201412,36.0,4.0
85,201501,38.1,4.2
86,201502,41.7,6.3
87,201503,45.7,6.1
88,201504,44.7,0.3
89,201505,53.5,1.6
90,201506,65.6,7.1
91,201507,67.5,0.7
92,201508,66.9,0.4
93,201509,58.1,-1.5
94,201510,54.3,5.6
95,201511,35.8,-3.3
96,201512,32.4,0.4
97,201601,33.1,-0.8
98,201602,40.2,4.8
99,201603,41.2,1.6
100,201604,50.1,5.7
101,201605,53.2,1.3
102,201606,60.5,2.0
103,201607,64.4,-2.4
104,201608,66.7,0.2
105,201609,57.1,-2.5
106,201610,48.1,-0.6
107,201611,43.2,4.1
108,201612,27.4,-4.6
109,201701,26.7,-7.2
110,201702,34.8,-0.6
111,201703,41.6,2.0
112,201704,42.9,-1.5
113,201705,52.9,1.0
114,201706,59.9,1.4
115,201707,69.2,2.4
116,201708,69.6,3.1
117,201709,59.6,0.0
118,201710,47.0,-1.7
119,201711,39.3,0.2
120,201712,32.9,0.9
121,201801,37.5,3.6
122,201802,33.2,-2.2
123,201803,38.4,-1.2
124,201804,45.0,0.6
125,201805,55.4,3.5
126,201806,58.5,0.0
127,201807,69.0,2.2
128,201808,66.5,0.0
129,201809,57.4,-2.2
130,201810,48.8,0.1
131,201811,39.3,0.2
132,201812,32.3,0.3
133,201901,35.3,1.4
134,201902,28.8,-6.6
135,201903,37.3,-2.3
136,201904,46.1,1.7
137,201905,52.7,0.8
138,201906,59.0,0.5
139,201907,64.9,-1.9
140,201908,67.1,0.6
141,201909,56.6,-3.0
142,201910,43.2,-5.5
143,201911,40.5,1.4
144,201912,34.2,2.2
145,202001,34.9,1.0
146,202002,35.9,0.5
147,202003,38.8,-0.8
148,202004,46.4,2.0
149,202005,52.6,0.7
150,202006,57.9,-0.6
151,202007,66.0,-0.8
152,202008,67.2,0.7
153,202009,62.7,3.1
154,202010,51.3,2.6
155,202011,38.3,-0.8
156,202012,34.3,2.3
157,202101,34.9,1.0
