,0,1,2
0,Date,Value,Anomaly
1,200801,29.2,3.0
2,200802,27.7,-1.3
3,200803,35.6,-1.7
4,200804,51.2,2.4
5,200805,54.0,-5.5
6,200806,68.8,1.6
7,200807,71.0,-1.0
8,200808,66.8,-2.8
9,200809,63.4,-0.4
10,200810,48.9,-3.2
11,200811,38.9,-1.6
12,200812,30.7,-1.7
13,200901,20.5,-5.7
14,200902,29.6,0.6
15,200903,38.2,0.9
16,200904,49.1,0.3
17,200905,58.3,-1.2
18,200906,65.0,-2.2
19,200907,66.8,-5.2
20,200908,70.0,0.4
21,200909,61.4,-2.4
22,200910,48.6,-3.5
23,200911,44.8,4.3
24,200912,28.9,-3.5
25,201001,25.7,-0.5
26,201002,25.8,-3.2
27,201003,42.0,4.7
28,201004,52.4,3.6
29,201005,60.5,1.0
30,201006,69.3,2.1
31,201007,73.3,1.3
32,201008,70.8,1.2
33,201009,63.6,-0.2
34,201010,51.4,-0.7
35,201011,40.8,0.3
36,201012,25.4,-7.0
37,201101,22.5,-3.7
38,201102,28.6,-0.4
39,201103,36.3,-1.0
40,201104,49.7,0.9
41,201105,61.0,1.5
42,201106,68.0,0.8
43,201107,74.3,2.3
44,201108,69.4,-0.2
45,201109,64.4,0.6
46,201110,50.8,-1.3
47,201111,44.9,4.4
48,201112,35.3,2.9
49,201201,30.0,3.8
50,201202,34.3,5.3
51,201203,47.7,10.4
52,201204,47.7,-1.1
53,201205,63.7,4.2
54,201206,66.5,-0.7
55,201207,74.1,2.1
56,201208,69.8,0.2
57,201209,62.0,-1.8
58,201210,52.2,0.1
59,201211,37.8,-2.7
60,201212,35.8,3.4
61,201301,29.0,2.8
62,201302,27.4,-1.6
63,201303,33.8,-3.5
64,201304,48.7,-0.1
65,201305,58.9,-0.6
66,201306,67.4,0.2
67,201307,72.7,0.7
68,201308,67.6,-2.0
69,201309,61.0,-2.8
70,201310,53.4,1.3
71,201311,37.4,-3.1
72,201312,30.8,-1.6
73,201401,19.6,-6.6
74,201402,22.8,-6.2
75,201403,30.3,-7.0
76,201404,47.7,-1.1
77,201405,59.0,-0.5
78,201406,67.6,0.4
79,201407,69.1,-2.9
80,201408,66.9,-2.7
81,201409,62.5,-1.3
82,201410,53.0,0.9
83,201411,36.7,-3.8
84,201412,34.0,1.6
85,201501,22.5,-3.7
86,201502,16.1,-12.9
87,201503,31.6,-5.7
88,201504,48.4,-0.4
89,201505,63.4,3.9
90,201506,67.1,-0.1
91,201507,70.4,-1.6
92,201508,68.9,-0.7
93,201509,66.6,2.8
94,201510,50.7,-1.4
95,201511,45.5,5.0
96,201512,42.3,9.9
97,201601,25.4,-0.8
98,201602,30.7,1.7
99,201603,43.3,6.0
100,201604,47.0,-1.8
101,201605,57.4,-2.1
102,201606,67.4,0.2
103,201607,73.0,1.0
104,201608,73.4,3.8
105,201609,66.2,2.4
106,201610,53.6,1.5
107,201611,42.6,2.1
108,201612,31.2,-1.2
109,201701,31.8,5.6
110,201702,36.6,7.6
111,201703,35.3,-2.0
112,201704,53.7,4.9
113,201705,57.1,-2.4
114,201706,66.8,-0.4
115,201707,71.4,-0.6
116,201708,67.4,-2.2
117,201709,63.8,0.0
118,201710,56.2,4.1
119,201711,39.2,-1.3
120,201712,28.0,-4.4
121,201801,23.1,-3.1
122,201802,34.3,5.3
123,201803,33.0,-4.3
124,201804,43.2,-5.6
125,201805,64.0,4.5
126,201806,66.6,-0.6
127,201807,71.6,-0.4
128,201808,72.1,2.5
129,201809,66.7,2.9
130,201810,52.3,0.2
131,201811,36.7,-3.8
132,201812,33.5,1.1
133,201901,25.8,-0.4
134,201902,30.2,1.2
135,201903,34.7,-2.6
136,201904,50.5,1.7
137,201905,60.7,1.2
138,201906,65.8,-1.4
139,201907,73.2,1.2
140,201908,69.6,0.0
141,201909,65.1,1.3
142,201910,53.7,1.6
143,201911,36.5,-4.0
144,201912,32.6,0.2
145,202001,32.2,6.0
146,202002,33.2,4.2
147,202003,42.5,5.2
148,202004,45.0,-3.8
149,202005,55.9,-3.6
150,202006,67.2,0.0
151,202007,74.9,2.9
152,202008,71.6,2.0
153,202009,62.1,-1.7
154,202010,52.2,0.1
155,202011,44.8,4.3
156,202012,32.1,-0.3
157,202101,29.4,3.2
