,0,1,2
0,Date,Value,Anomaly
1,200801,31.7,2.2
2,200802,31.8,0.4
3,200803,37.9,-0.3
4,200804,49.3,1.1
5,200805,55.4,-3.1
6,200806,69.0,2.4
7,200807,73.9,0.4
8,200808,68.4,-3.1
9,200809,63.9,-0.9
10,200810,51.2,-2.9
11,200811,42.0,-1.7
12,200812,34.8,-0.5
13,200901,23.4,-6.1
14,200902,32.0,0.6
15,200903,37.2,-1.0
16,200904,49.4,1.2
17,200905,57.7,-0.8
18,200906,63.4,-3.2
19,200907,69.1,-4.4
20,200908,72.7,1.2
21,200909,61.7,-3.1
22,200910,50.8,-3.3
23,200911,47.8,4.1
24,200912,32.1,-3.2
25,201001,28.4,-1.1
26,201002,31.4,0.0
27,201003,43.6,5.4
28,201004,52.0,3.8
29,201005,60.9,2.4
30,201006,68.9,2.3
31,201007,75.0,1.5
32,201008,70.8,-0.7
33,201009,65.5,0.7
34,201010,53.5,-0.6
35,201011,43.3,-0.4
36,201012,30.3,-5.0
37,201101,25.2,-4.3
38,201102,28.8,-2.6
39,201103,38.0,-0.2
40,201104,49.1,0.9
41,201105,58.9,0.4
42,201106,66.2,-0.4
43,201107,73.8,0.3
44,201108,71.3,-0.2
45,201109,66.5,1.7
46,201110,54.9,0.8
47,201111,47.8,4.1
48,201112,39.0,3.7
49,201201,33.5,4.0
50,201202,35.7,4.3
51,201203,45.5,7.3
52,201204,50.1,1.9
53,201205,60.6,2.1
54,201206,65.7,-0.9
55,201207,73.6,0.1
56,201208,72.5,1.0
57,201209,63.3,-1.5
58,201210,55.4,1.3
59,201211,41.0,-2.7
60,201212,37.6,2.3
61,201301,30.4,0.9
62,201302,30.2,-1.2
63,201303,37.1,-1.1
64,201304,47.7,-0.5
65,201305,58.5,0.0
66,201306,68.0,1.4
67,201307,76.4,2.9
68,201308,69.1,-2.4
69,201309,62.1,-2.7
70,201310,54.0,-0.1
71,201311,41.3,-2.4
72,201312,33.0,-2.3
73,201401,26.1,-3.4
74,201402,27.2,-4.2
75,201403,32.8,-5.4
76,201404,47.0,-1.2
77,201405,58.0,-0.5
78,201406,66.4,-0.2
79,201407,72.3,-1.2
80,201408,68.6,-2.9
81,201409,64.4,-0.4
82,201410,55.3,1.2
83,201411,41.4,-2.3
84,201412,37.4,2.1
85,201501,25.5,-4.0
86,201502,17.7,-13.7
87,201503,31.8,-6.4
88,201504,47.2,-1.0
89,201505,61.2,2.7
90,201506,64.5,-2.1
91,201507,72.3,-1.2
92,201508,72.6,1.1
93,201509,67.6,2.8
94,201510,52.4,-1.7
95,201511,47.1,3.4
96,201512,45.3,10.0
97,201601,31.3,1.8
98,201602,33.1,1.7
99,201603,42.9,4.7
100,201604,46.2,-2.0
101,201605,57.9,-0.6
102,201606,66.9,0.3
103,201607,73.8,0.3
104,201608,73.9,2.4
105,201609,66.4,1.6
106,201610,54.7,0.6
107,201611,45.2,1.5
108,201612,34.2,-1.1
109,201701,34.2,4.7
110,201702,35.2,3.8
111,201703,34.1,-4.1
112,201704,51.5,3.3
113,201705,56.5,-2.0
114,201706,66.8,0.2
115,201707,71.1,-2.4
116,201708,69.8,-1.7
117,201709,66.4,1.6
118,201710,59.6,5.5
119,201711,43.1,-0.6
120,201712,30.1,-5.2
121,201801,27.6,-1.9
122,201802,37.7,6.3
123,201803,37.3,-0.9
124,201804,44.4,-3.8
125,201805,61.4,2.9
126,201806,65.9,-0.7
127,201807,73.8,0.3
128,201808,75.1,3.6
129,201809,66.5,1.7
130,201810,52.7,-1.4
131,201811,41.0,-2.7
132,201812,35.3,0.0
133,201901,29.0,-0.5
134,201902,31.6,0.2
135,201903,35.9,-2.3
136,201904,49.2,1.0
137,201905,56.4,-2.1
138,201906,66.5,-0.1
139,201907,74.8,1.3
140,201908,71.3,-0.2
141,201909,63.9,-0.9
142,201910,54.7,0.6
143,201911,40.1,-3.6
144,201912,34.1,-1.2
145,202001,35.3,5.8
146,202002,35.4,4.0
147,202003,42.6,4.4
148,202004,44.1,-4.1
149,202005,56.6,-1.9
150,202006,68.1,1.5
151,202007,75.4,1.9
152,202008,73.8,2.3
153,202009,64.5,-0.3
154,202010,54.6,0.5
155,202011,47.5,3.8
156,202012,35.7,0.4
157,202101,31.5,2.0
