,0,1,2
0,Date,Value,Anomaly
1,200801,43.9,-1.1
2,200802,50.7,1.4
3,200803,54.7,-0.5
4,200804,61.7,-1.7
5,200805,69.0,-2.3
6,200806,80.1,1.4
7,200807,79.8,-1.4
8,200808,79.1,-0.7
9,200809,73.8,-1.3
10,200810,61.3,-3.4
11,200811,50.3,-3.3
12,200812,51.0,2.1
13,200901,44.2,-0.8
14,200902,46.8,-2.5
15,200903,54.1,-1.1
16,200904,61.7,-1.7
17,200905,70.9,-0.4
18,200906,79.1,0.4
19,200907,78.9,-2.3
20,200908,80.0,0.2
21,200909,73.8,-1.3
22,200910,62.2,-2.5
23,200911,55.5,1.9
24,200912,44.9,-4.0
25,201001,40.7,-4.3
26,201002,41.2,-8.1
27,201003,52.2,-3.0
28,201004,64.5,1.1
29,201005,73.2,1.9
30,201006,81.8,3.1
31,201007,82.3,1.1
32,201008,81.6,1.8
33,201009,76.6,1.5
34,201010,64.4,-0.3
35,201011,54.0,0.4
36,201012,38.3,-10.6
37,201101,40.6,-4.4
38,201102,50.4,1.1
39,201103,55.8,0.6
40,201104,65.0,1.6
41,201105,71.3,0.0
42,201106,80.8,2.1
43,201107,82.8,1.6
44,201108,81.4,1.6
45,201109,74.1,-1.0
46,201110,61.0,-3.7
47,201111,55.3,1.7
48,201112,50.7,1.8
49,201201,48.3,3.3
50,201202,50.6,1.3
51,201203,63.2,8.0
52,201204,64.2,0.8
53,201205,72.7,1.4
54,201206,74.8,-3.9
55,201207,82.8,1.6
56,201208,78.0,-1.8
57,201209,73.6,-1.5
58,201210,63.7,-1.0
59,201211,50.7,-2.9
60,201212,51.5,2.6
61,201301,50.2,5.2
62,201302,46.6,-2.7
63,201303,48.4,-6.8
64,201304,62.1,-1.3
65,201305,67.9,-3.4
66,201306,77.4,-1.3
67,201307,78.8,-2.4
68,201308,77.4,-2.4
69,201309,73.5,-1.6
70,201310,64.2,-0.5
71,201311,51.5,-2.1
72,201312,49.9,1.0
73,201401,39.7,-5.3
74,201402,48.2,-1.1
75,201403,50.0,-5.2
76,201404,63.3,-0.1
77,201405,71.7,0.4
78,201406,78.4,-0.3
79,201407,79.2,-2.0
80,201408,78.3,-1.5
81,201409,74.3,-0.8
82,201410,65.0,0.3
83,201411,49.3,-4.3
84,201412,49.2,0.3
85,201501,43.8,-1.2
86,201502,41.0,-8.3
87,201503,56.4,1.2
88,201504,64.8,1.4
89,201505,71.6,0.3
90,201506,80.5,1.8
91,201507,82.2,1.0
92,201508,79.5,-0.3
93,201509,74.3,-0.8
94,201510,63.3,-1.4
95,201511,58.0,4.4
96,201512,58.5,9.6
97,201601,43.0,-2.0
98,201602,48.0,-1.3
99,201603,60.6,5.4
100,201604,63.1,-0.3
101,201605,70.1,-1.2
102,201606,79.8,1.1
103,201607,83.7,2.5
104,201608,81.9,2.1
105,201609,77.1,2.0
106,201610,66.4,1.7
107,201611,55.6,2.0
108,201612,49.0,0.1
109,201701,51.4,6.4
110,201702,55.5,6.2
111,201703,55.5,0.3
112,201704,67.0,3.6
113,201705,71.5,0.2
114,201706,76.9,-1.8
115,201707,81.0,-0.2
116,201708,79.4,-0.4
117,201709,74.3,-0.8
118,201710,66.2,1.5
119,201711,54.3,0.7
120,201712,47.8,-1.1
121,201801,40.6,-4.4
122,201802,57.4,8.1
123,201803,52.0,-3.2
124,201804,60.0,-3.4
125,201805,73.8,2.5
126,201806,80.2,1.5
127,201807,80.2,-1.0
128,201808,80.0,0.2
129,201809,79.4,4.3
130,201810,66.9,2.2
131,201811,51.9,-1.7
132,201812,48.6,-0.3
133,201901,46.7,1.7
134,201902,53.0,3.7
135,201903,54.1,-1.1
136,201904,64.0,0.6
137,201905,75.4,4.1
138,201906,77.2,-1.5
139,201907,81.4,0.2
140,201908,80.3,0.5
141,201909,78.3,3.2
142,201910,68.5,3.8
143,201911,51.0,-2.6
144,201912,50.3,1.4
145,202001,50.4,5.4
146,202002,51.0,1.7
147,202003,60.5,5.3
148,202004,62.3,-1.1
149,202005,68.2,-3.1
150,202006,76.2,-2.5
151,202007,82.0,0.8
152,202008,80.1,0.3
153,202009,73.3,-1.8
154,202010,67.4,2.7
155,202011,59.3,5.7
156,202012,45.6,-3.3
157,202101,46.0,1.0
