,0,1,2
0,Date,Value,Anomaly
1,200801,16.2,-2.8
2,200802,19.1,-0.8
3,200803,32.2,-1.4
4,200804,42.1,-1.8
5,200805,53.0,-2.3
6,200806,63.8,-3.1
7,200807,72.7,-0.2
8,200808,71.2,0.8
9,200809,60.3,-1.7
10,200810,47.2,0.6
11,200811,34.2,-0.1
12,200812,14.1,-6.6
13,200901,16.7,-2.3
14,200902,23.4,3.5
15,200903,30.0,-3.6
16,200904,42.3,-1.6
17,200905,55.8,0.5
18,200906,63.2,-3.7
19,200907,67.9,-5.0
20,200908,67.4,-3.0
21,200909,63.0,1.0
22,200910,39.5,-7.1
23,200911,40.0,5.7
24,200912,13.5,-7.2
25,201001,14.8,-4.2
26,201002,14.6,-5.3
27,201003,36.3,2.7
28,201004,49.3,5.4
29,201005,54.2,-1.1
30,201006,65.9,-1.0
31,201007,72.4,-0.5
32,201008,73.6,3.2
33,201009,59.1,-2.9
34,201010,51.6,5.0
35,201011,32.1,-2.2
36,201012,17.7,-3.0
37,201101,13.0,-6.0
38,201102,16.3,-3.6
39,201103,27.3,-6.3
40,201104,43.1,-0.8
41,201105,53.0,-2.3
42,201106,64.7,-2.2
43,201107,75.9,3.0
44,201108,71.6,1.2
45,201109,59.9,-2.1
46,201110,51.3,4.7
47,201111,34.4,0.1
48,201112,26.8,6.1
49,201201,25.4,6.4
50,201202,25.7,5.8
51,201203,47.0,13.4
52,201204,50.2,6.3
53,201205,58.3,3.0
54,201206,70.4,3.5
55,201207,78.7,5.8
56,201208,71.0,0.6
57,201209,62.6,0.6
58,201210,45.6,-1.0
59,201211,34.9,0.6
60,201212,21.4,0.7
61,201301,19.4,0.4
62,201302,23.8,3.9
63,201303,28.1,-5.5
64,201304,36.9,-7.0
65,201305,55.9,0.6
66,201306,65.3,-1.6
67,201307,71.8,-1.1
68,201308,71.6,1.2
69,201309,65.8,3.8
70,201310,44.3,-2.3
71,201311,32.1,-2.2
72,201312,13.5,-7.2
73,201401,18.3,-0.7
74,201402,13.9,-6.0
75,201403,29.4,-4.2
76,201404,43.4,-0.5
77,201405,55.6,0.3
78,201406,64.2,-2.7
79,201407,69.5,-3.4
80,201408,69.3,-1.1
81,201409,60.5,-1.5
82,201410,50.3,3.7
83,201411,25.6,-8.7
84,201412,24.2,3.5
85,201501,22.7,3.7
86,201502,19.5,-0.4
87,201503,39.0,5.4
88,201504,47.7,3.8
89,201505,53.8,-1.5
90,201506,67.6,0.7
91,201507,72.1,-0.8
92,201508,69.8,-0.6
93,201509,65.9,3.9
94,201510,51.6,5.0
95,201511,36.4,2.1
96,201512,24.3,3.6
97,201601,19.8,0.8
98,201602,31.2,11.3
99,201603,40.1,6.5
100,201604,46.3,2.4
101,201605,56.7,1.4
102,201606,70.7,3.8
103,201607,73.0,0.1
104,201608,71.0,0.6
105,201609,62.4,0.4
106,201610,51.6,5.0
107,201611,42.0,7.7
108,201612,15.4,-5.3
109,201701,16.5,-2.5
110,201702,29.4,9.5
111,201703,35.5,1.9
112,201704,46.1,2.2
113,201705,56.0,0.7
114,201706,68.1,1.2
115,201707,76.0,3.1
116,201708,67.4,-3.0
117,201709,61.8,-0.2
118,201710,48.0,1.4
119,201711,34.7,0.4
120,201712,21.7,1.0
121,201801,18.1,-0.9
122,201802,11.6,-8.3
123,201803,30.4,-3.2
124,201804,36.7,-7.2
125,201805,62.1,6.8
126,201806,69.3,2.4
127,201807,72.2,-0.7
128,201808,69.9,-0.5
129,201809,61.5,-0.5
130,201810,43.2,-3.4
131,201811,29.3,-5.0
132,201812,25.3,4.6
133,201901,18.0,-1.0
134,201902,6.1,-13.8
135,201903,25.1,-8.5
136,201904,44.2,0.3
137,201905,50.4,-4.9
138,201906,66.3,-0.6
139,201907,72.1,-0.8
140,201908,68.2,-2.2
141,201909,63.1,1.1
142,201910,40.2,-6.4
143,201911,31.1,-3.2
144,201912,23.3,2.6
145,202001,20.0,1.0
146,202002,23.5,3.6
147,202003,36.3,2.7
148,202004,42.0,-1.9
149,202005,54.2,-1.1
150,202006,70.3,3.4
151,202007,73.6,0.7
152,202008,72.6,2.2
153,202009,60.4,-1.6
154,202010,41.2,-5.4
155,202011,38.6,4.3
156,202012,28.3,7.6
157,202101,26.5,7.5
