,0,1,2
0,Date,Value,Anomaly
1,200801,36.4,-0.9
2,200802,42.2,0.2
3,200803,48.8,-1.1
4,200804,57.2,-1.4
5,200805,64.8,-2.5
6,200806,75.4,0.2
7,200807,76.8,-0.9
8,200808,75.2,-1.1
9,200809,71.2,-0.1
10,200810,57.9,-1.7
11,200811,45.2,-3.0
12,200812,40.4,-1.3
13,200901,35.3,-2.0
14,200902,42.3,0.3
15,200903,50.3,0.4
16,200904,57.2,-1.4
17,200905,66.4,-0.9
18,200906,75.6,0.4
19,200907,73.7,-4.0
20,200908,74.9,-1.4
21,200909,70.6,-0.7
22,200910,56.2,-3.4
23,200911,50.5,2.3
24,200912,37.9,-3.8
25,201001,32.8,-4.5
26,201002,33.7,-8.3
27,201003,47.2,-2.7
28,201004,60.9,2.3
29,201005,69.1,1.8
30,201006,78.4,3.2
31,201007,79.8,2.1
32,201008,79.8,3.5
33,201009,71.6,0.3
34,201010,59.2,-0.4
35,201011,49.8,1.6
36,201012,32.7,-9.0
37,201101,33.9,-3.4
38,201102,43.1,1.1
39,201103,50.6,0.7
40,201104,61.0,2.4
41,201105,65.7,-1.6
42,201106,76.5,1.3
43,201107,80.0,2.3
44,201108,77.8,1.5
45,201109,68.1,-3.2
46,201110,56.8,-2.8
47,201111,51.0,2.8
48,201112,42.8,1.1
49,201201,42.4,5.1
50,201202,44.5,2.5
51,201203,59.8,9.9
52,201204,60.0,1.4
53,201205,70.4,3.1
54,201206,73.6,-1.6
55,201207,80.5,2.8
56,201208,75.6,-0.7
57,201209,69.1,-2.2
58,201210,56.7,-2.9
59,201211,45.8,-2.4
60,201212,45.6,3.9
61,201301,41.0,3.7
62,201302,40.8,-1.2
63,201303,42.7,-7.2
64,201304,56.8,-1.8
65,201305,65.0,-2.3
66,201306,74.2,-1.0
67,201307,74.8,-2.9
68,201308,74.7,-1.6
69,201309,70.7,-0.6
70,201310,59.5,-0.1
71,201311,44.8,-3.4
72,201312,40.4,-1.3
73,201401,30.0,-7.3
74,201402,38.3,-3.7
75,201403,45.0,-4.9
76,201404,58.6,0.0
77,201405,67.3,0.0
78,201406,74.8,-0.4
79,201407,73.4,-4.3
80,201408,75.9,-0.4
81,201409,70.7,-0.6
82,201410,60.2,0.6
83,201411,42.4,-5.8
84,201412,42.8,1.1
85,201501,36.1,-1.2
86,201502,31.4,-10.6
87,201503,49.0,-0.9
88,201504,60.1,1.5
89,201505,68.0,0.7
90,201506,75.9,0.7
91,201507,78.3,0.6
92,201508,74.2,-2.1
93,201509,70.9,-0.4
94,201510,59.7,0.1
95,201511,53.5,5.3
96,201512,51.3,9.6
97,201601,34.8,-2.5
98,201602,42.5,0.5
99,201603,53.9,4.0
100,201604,59.5,0.9
101,201605,65.3,-2.0
102,201606,76.5,1.3
103,201607,79.8,2.1
104,201608,79.0,2.7
105,201609,74.1,2.8
106,201610,64.6,5.0
107,201611,52.7,4.5
108,201612,40.9,-0.8
109,201701,44.9,7.6
110,201702,48.9,6.9
111,201703,51.1,1.2
112,201704,63.1,4.5
113,201705,66.6,-0.7
114,201706,73.0,-2.2
115,201707,78.1,0.4
116,201708,74.6,-1.7
117,201709,69.1,-2.2
118,201710,60.8,1.2
119,201711,49.9,1.7
120,201712,39.5,-2.2
121,201801,32.9,-4.4
122,201802,48.5,6.5
123,201803,48.2,-1.7
124,201804,52.9,-5.7
125,201805,72.3,5.0
126,201806,76.5,1.3
127,201807,78.1,0.4
128,201808,76.5,0.2
129,201809,74.9,3.6
130,201810,61.0,1.4
131,201811,44.4,-3.8
132,201812,42.7,1.0
133,201901,39.4,2.1
134,201902,46.7,4.7
135,201903,46.9,-3.0
136,201904,59.3,0.7
137,201905,70.1,2.8
138,201906,73.4,-1.8
139,201907,77.8,0.1
140,201908,76.9,0.6
141,201909,76.4,5.1
142,201910,61.7,2.1
143,201911,44.2,-4.0
144,201912,45.2,3.5
145,202001,43.0,5.7
146,202002,43.3,1.3
147,202003,54.7,4.8
148,202004,55.3,-3.3
149,202005,64.0,-3.3
150,202006,73.5,-1.7
151,202007,79.2,1.5
152,202008,76.3,0.0
153,202009,69.8,-1.5
154,202010,60.3,0.7
155,202011,51.9,3.7
156,202012,39.4,-2.3
157,202101,39.6,2.3
