,0,1,2
0,Date,Value,Anomaly
1,200801,46.1,-0.8
2,200802,53.2,1.8
3,200803,58.4,-0.9
4,200804,65.3,-0.6
5,200805,74.3,0.8
6,200806,82.9,1.3
7,200807,81.7,-1.8
8,200808,80.8,-2.7
9,200809,73.3,-3.6
10,200810,65.4,-1.4
11,200811,56.8,0.2
12,200812,48.2,-0.2
13,200901,47.9,1.0
14,200902,55.5,4.1
15,200903,59.5,0.2
16,200904,64.8,-1.1
17,200905,73.6,0.1
18,200906,81.7,0.1
19,200907,84.1,0.6
20,200908,83.3,-0.2
21,200909,74.1,-2.8
22,200910,64.2,-2.6
23,200911,57.3,0.7
24,200912,43.1,-5.3
25,201001,44.4,-2.5
26,201002,44.0,-7.4
27,201003,54.8,-4.5
28,201004,65.0,-0.9
29,201005,73.8,0.3
30,201006,82.7,1.1
31,201007,81.4,-2.1
32,201008,84.4,0.9
33,201009,77.7,0.8
34,201010,67.2,0.4
35,201011,56.6,0.0
36,201012,49.2,0.8
37,201101,45.0,-1.9
38,201102,48.7,-2.7
39,201103,61.8,2.5
40,201104,70.3,4.4
41,201105,74.1,0.6
42,201106,85.2,3.6
43,201107,87.0,3.5
44,201108,88.2,4.7
45,201109,77.9,1.0
46,201110,66.9,0.1
47,201111,56.9,0.3
48,201112,46.1,-2.3
49,201201,50.4,3.5
50,201202,51.8,0.4
51,201203,63.2,3.9
52,201204,70.2,4.3
53,201205,75.5,2.0
54,201206,82.4,0.8
55,201207,83.4,-0.1
56,201208,83.7,0.2
57,201209,76.6,-0.3
58,201210,65.9,-0.9
59,201211,59.0,2.4
60,201212,51.1,2.7
61,201301,47.9,1.0
62,201302,51.7,0.3
63,201303,57.2,-2.1
64,201304,63.0,-2.9
65,201305,72.5,-1.0
66,201306,81.8,0.2
67,201307,81.3,-2.2
68,201308,83.3,-0.2
69,201309,78.2,1.3
70,201310,66.7,-0.1
71,201311,52.9,-3.7
72,201312,44.8,-3.6
73,201401,44.5,-2.4
74,201402,48.4,-3.0
75,201403,54.8,-4.5
76,201404,65.4,-0.5
77,201405,72.0,-1.5
78,201406,80.6,-1.0
79,201407,81.7,-1.8
80,201408,82.6,-0.9
81,201409,76.4,-0.5
82,201410,69.6,2.8
83,201411,51.5,-5.1
84,201412,50.7,2.3
85,201501,44.0,-2.9
86,201502,48.2,-3.2
87,201503,56.2,-3.1
88,201504,66.6,0.7
89,201505,71.6,-1.9
90,201506,79.3,-2.3
91,201507,83.2,-0.3
92,201508,83.3,-0.2
93,201509,79.2,2.3
94,201510,69.2,2.4
95,201511,57.3,0.7
96,201512,51.5,3.1
97,201601,46.4,-0.5
98,201602,54.4,3.0
99,201603,61.2,1.9
100,201604,66.1,0.2
101,201605,71.6,-1.9
102,201606,80.1,-1.5
103,201607,85.4,1.9
104,201608,81.5,-2.0
105,201609,77.6,0.7
106,201610,70.9,4.1
107,201611,61.0,4.4
108,201612,49.6,1.2
109,201701,50.8,3.9
110,201702,58.4,7.0
111,201703,63.6,4.3
112,201704,67.1,1.2
113,201705,72.0,-1.5
114,201706,80.6,-1.0
115,201707,83.6,0.1
116,201708,80.6,-2.9
117,201709,76.5,-0.4
118,201710,66.5,-0.3
119,201711,60.3,3.7
120,201712,47.8,-0.6
121,201801,43.8,-3.1
122,201802,52.3,0.9
123,201803,61.7,2.4
124,201804,63.0,-2.9
125,201805,78.0,4.5
126,201806,83.9,2.3
127,201807,84.5,1.0
128,201808,83.0,-0.5
129,201809,76.2,-0.7
130,201810,65.4,-1.4
131,201811,51.9,-4.7
132,201812,48.3,-0.1
133,201901,47.2,0.3
134,201902,51.9,0.5
135,201903,55.7,-3.6
136,201904,65.0,-0.9
137,201905,72.5,-1.0
138,201906,79.1,-2.5
139,201907,82.8,-0.7
140,201908,85.9,2.4
141,201909,81.5,4.6
142,201910,65.2,-1.6
143,201911,53.2,-3.4
144,201912,50.7,2.3
145,202001,50.7,3.8
146,202002,49.4,-2.0
147,202003,63.2,3.9
148,202004,65.0,-0.9
149,202005,74.5,1.0
150,202006,80.6,-1.0
151,202007,85.2,1.7
152,202008,84.4,0.9
153,202009,74.1,-2.8
154,202010,65.9,-0.9
155,202011,60.6,4.0
156,202012,48.4,0.0
157,202101,47.3,0.4
