,0,1,2
0,Date,Value,Anomaly
1,200801,22.8,-4.9
2,200802,30.5,-1.5
3,200803,37.2,-3.5
4,200804,43.1,-3.4
5,200805,52.8,-2.2
6,200806,65.0,-1.8
7,200807,74.1,0.5
8,200808,71.6,0.2
9,200809,61.9,-1.4
10,200810,50.4,0.7
11,200811,40.9,2.5
12,200812,27.0,-0.7
13,200901,29.5,1.8
14,200902,33.1,1.1
15,200903,39.2,-1.5
16,200904,45.3,-1.2
17,200905,58.7,3.7
18,200906,62.0,-4.8
19,200907,73.2,-0.4
20,200908,69.7,-1.7
21,200909,64.3,1.0
22,200910,45.7,-4.0
23,200911,39.0,0.6
24,200912,21.6,-6.1
25,201001,27.0,-0.7
26,201002,29.9,-2.1
27,201003,38.0,-2.7
28,201004,44.7,-1.8
29,201005,50.2,-4.8
30,201006,65.4,-1.4
31,201007,73.1,-0.5
32,201008,69.3,-2.1
33,201009,63.8,0.5
34,201010,51.1,1.4
35,201011,34.8,-3.6
36,201012,32.5,4.8
37,201101,25.4,-2.3
38,201102,28.6,-3.4
39,201103,39.4,-1.3
40,201104,43.5,-3.0
41,201105,50.8,-4.2
42,201106,63.3,-3.5
43,201107,71.8,-1.8
44,201108,72.5,1.1
45,201109,63.2,-0.1
46,201110,50.0,0.3
47,201111,36.0,-2.4
48,201112,26.8,-0.9
49,201201,31.0,3.3
50,201202,31.7,-0.3
51,201203,42.6,1.9
52,201204,49.6,3.1
53,201205,58.0,3.0
54,201206,68.7,1.9
55,201207,73.2,-0.4
56,201208,73.0,1.6
57,201209,63.6,0.3
58,201210,50.9,1.2
59,201211,41.2,2.8
60,201212,27.8,0.1
61,201301,19.7,-8.0
62,201302,27.6,-4.4
63,201303,41.0,0.3
64,201304,45.0,-1.5
65,201305,56.0,1.0
66,201306,69.2,2.4
67,201307,74.6,1.0
68,201308,71.0,-0.4
69,201309,61.4,-1.9
70,201310,46.4,-3.3
71,201311,38.0,-0.4
72,201312,23.1,-4.6
73,201401,30.4,2.7
74,201402,35.7,3.7
75,201403,41.0,0.3
76,201404,46.7,0.2
77,201405,56.5,1.5
78,201406,66.0,-0.8
79,201407,74.6,1.0
80,201408,67.7,-3.7
81,201409,64.2,0.9
82,201410,53.1,3.4
83,201411,37.7,-0.7
84,201412,31.7,4.0
85,201501,32.1,4.4
86,201502,38.9,6.9
87,201503,44.9,4.2
88,201504,47.1,0.6
89,201505,53.8,-1.2
90,201506,70.0,3.2
91,201507,70.1,-3.5
92,201508,71.0,-0.4
93,201509,65.5,2.2
94,201510,54.3,4.6
95,201511,34.5,-3.9
96,201512,26.6,-1.1
97,201601,26.6,-1.1
98,201602,33.7,1.7
99,201603,42.2,1.5
100,201604,47.9,1.4
101,201605,54.4,-0.6
102,201606,70.9,4.1
103,201607,73.7,0.1
104,201608,70.1,-1.3
105,201609,61.1,-2.2
106,201610,53.2,3.5
107,201611,41.6,3.2
108,201612,27.4,-0.3
109,201701,25.9,-1.8
110,201702,36.5,4.5
111,201703,45.3,4.6
112,201704,46.0,-0.5
113,201705,55.6,0.6
114,201706,69.5,2.7
115,201707,75.0,1.4
116,201708,71.6,0.2
117,201709,60.7,-2.6
118,201710,48.1,-1.6
119,201711,43.0,4.6
120,201712,31.4,3.7
121,201801,32.8,5.1
122,201802,32.2,0.2
123,201803,39.2,-1.5
124,201804,49.0,2.5
125,201805,58.3,3.3
126,201806,69.1,2.3
127,201807,76.1,2.5
128,201808,72.4,1.0
129,201809,65.8,2.5
130,201810,47.5,-2.2
131,201811,35.0,-3.4
132,201812,27.4,-0.3
133,201901,27.0,-0.7
134,201902,27.2,-4.8
135,201903,38.2,-2.5
136,201904,48.6,2.1
137,201905,50.5,-4.5
138,201906,63.6,-3.2
139,201907,73.3,-0.3
140,201908,72.8,1.4
141,201909,63.1,-0.2
142,201910,42.9,-6.8
143,201911,38.5,0.1
144,201912,28.8,1.1
145,202001,28.7,1.0
146,202002,31.0,-1.0
147,202003,40.7,0.0
148,202004,47.4,0.9
149,202005,58.9,3.9
150,202006,65.4,-1.4
151,202007,73.8,0.2
152,202008,75.8,4.4
153,202009,64.0,0.7
154,202010,52.9,3.2
155,202011,38.8,0.4
156,202012,27.5,-0.2
157,202101,28.2,0.5
