,0,1,2
0,Date,Value,Anomaly
1,200801,27.4,-4.8
2,200802,35.4,1.4
3,200803,37.0,-2.1
4,200804,40.8,-4.2
5,200805,53.1,-0.2
6,200806,56.2,-2.3
7,200807,64.4,-1.3
8,200808,64.0,-1.9
9,200809,57.8,-0.8
10,200810,46.6,-0.8
11,200811,40.2,2.4
12,200812,26.2,-4.5
13,200901,30.1,-2.1
14,200902,33.1,-0.9
15,200903,35.3,-3.8
16,200904,44.1,-0.9
17,200905,52.3,-1.0
18,200906,59.9,1.4
19,200907,67.5,1.8
20,200908,65.4,-0.5
21,200909,59.9,1.3
22,200910,44.2,-3.2
23,200911,38.0,0.2
24,200912,26.6,-4.1
25,201001,36.3,4.1
26,201002,38.5,4.5
27,201003,40.9,1.8
28,201004,44.6,-0.4
29,201005,48.7,-4.6
30,201006,55.9,-2.6
31,201007,64.2,-1.5
32,201008,63.5,-2.4
33,201009,57.1,-1.5
34,201010,48.6,1.2
35,201011,34.8,-3.0
36,201012,31.9,1.2
37,201101,32.1,-0.1
38,201102,31.1,-2.9
39,201103,38.4,-0.7
40,201104,40.2,-4.8
41,201105,48.6,-4.7
42,201106,55.5,-3.0
43,201107,61.0,-4.7
44,201108,64.9,-1.0
45,201109,61.0,2.4
46,201110,47.2,-0.2
47,201111,35.3,-2.5
48,201112,31.0,0.3
49,201201,30.7,-1.5
50,201202,34.5,0.5
51,201203,37.6,-1.5
52,201204,46.0,1.0
53,201205,50.9,-2.4
54,201206,55.0,-3.5
55,201207,65.2,-0.5
56,201208,66.2,0.3
57,201209,59.7,1.1
58,201210,47.4,0.0
59,201211,39.0,1.2
60,201212,32.5,1.8
61,201301,29.1,-3.1
62,201302,35.5,1.5
63,201303,40.2,1.1
64,201304,44.7,-0.3
65,201305,53.5,0.2
66,201306,58.7,0.2
67,201307,67.2,1.5
68,201308,66.2,0.3
69,201309,59.7,1.1
70,201310,46.1,-1.3
71,201311,36.7,-1.1
72,201312,28.2,-2.5
73,201401,34.1,1.9
74,201402,29.8,-4.2
75,201403,40.1,1.0
76,201404,45.8,0.8
77,201405,54.3,1.0
78,201406,58.3,-0.2
79,201407,68.6,2.9
80,201408,67.3,1.4
81,201409,59.8,1.2
82,201410,51.9,4.5
83,201411,36.3,-1.5
84,201412,34.2,3.5
85,201501,35.1,2.9
86,201502,40.7,6.7
87,201503,44.8,5.7
88,201504,45.7,0.7
89,201505,56.0,2.7
90,201506,65.5,7.0
91,201507,68.6,2.9
92,201508,66.6,0.7
93,201509,56.2,-2.4
94,201510,52.4,5.0
95,201511,36.0,-1.8
96,201512,32.1,1.4
97,201601,33.0,0.8
98,201602,39.1,5.1
99,201603,41.8,2.7
100,201604,51.6,6.6
101,201605,55.1,1.8
102,201606,59.9,1.4
103,201607,63.6,-2.1
104,201608,65.9,0.0
105,201609,56.4,-2.2
106,201610,47.4,0.0
107,201611,43.0,5.2
108,201612,26.1,-4.6
109,201701,24.8,-7.4
110,201702,31.0,-3.0
111,201703,39.3,0.2
112,201704,44.2,-0.8
113,201705,53.7,0.4
114,201706,59.5,1.0
115,201707,67.1,1.4
116,201708,68.6,2.7
117,201709,59.8,1.2
118,201710,46.2,-1.2
119,201711,37.7,-0.1
120,201712,29.9,-0.8
121,201801,35.4,3.2
122,201802,32.4,-1.6
123,201803,38.8,-0.3
124,201804,45.3,0.3
125,201805,57.6,4.3
126,201806,58.2,-0.3
127,201807,67.5,1.8
128,201808,66.0,0.1
129,201809,56.3,-2.3
130,201810,47.4,0.0
131,201811,38.6,0.8
132,201812,33.1,2.4
133,201901,34.2,2.0
134,201902,25.3,-8.7
135,201903,36.2,-2.9
136,201904,46.3,1.3
137,201905,55.6,2.3
138,201906,59.5,1.0
139,201907,63.8,-1.9
140,201908,66.4,0.5
141,201909,57.1,-1.5
142,201910,42.8,-4.6
143,201911,37.6,-0.2
144,201912,33.5,2.8
145,202001,34.3,2.1
146,202002,35.6,1.6
147,202003,38.3,-0.8
148,202004,46.0,1.0
149,202005,53.3,0.0
150,202006,58.0,-0.5
151,202007,64.8,-0.9
152,202008,65.8,-0.1
153,202009,61.2,2.6
154,202010,48.4,1.0
155,202011,37.6,-0.2
156,202012,33.7,3.0
157,202101,34.6,2.4
