,0,1,2
0,Date,Value,Anomaly
1,200801,14.7,-0.5
2,200802,13.2,-4.5
3,200803,25.4,-5.3
4,200804,42.9,0.5
5,200805,52.0,-3.6
6,200806,64.4,-0.7
7,200807,69.0,-0.8
8,200808,66.5,-0.8
9,200809,60.5,0.3
10,200810,46.7,0.2
11,200811,33.3,-0.7
12,200812,12.7,-8.6
13,200901,6.1,-9.1
14,200902,20.4,2.7
15,200903,30.1,-0.6
16,200904,43.0,0.6
17,200905,55.1,-0.5
18,200906,63.6,-1.5
19,200907,63.7,-6.1
20,200908,64.8,-2.5
21,200909,61.4,1.2
22,200910,42.2,-4.3
23,200911,40.0,6.0
24,200912,18.2,-3.1
25,201001,15.1,-0.1
26,201002,20.0,2.3
27,201003,37.4,6.7
28,201004,50.0,7.6
29,201005,57.6,2.0
30,201006,65.1,0.0
31,201007,71.4,1.6
32,201008,70.8,3.5
33,201009,56.9,-3.3
34,201010,49.5,3.0
35,201011,34.9,0.9
36,201012,16.9,-4.4
37,201101,12.2,-3.0
38,201102,18.5,0.8
39,201103,28.0,-2.7
40,201104,41.7,-0.7
41,201105,54.0,-1.6
42,201106,64.3,-0.8
43,201107,73.2,3.4
44,201108,68.2,0.9
45,201109,57.3,-2.9
46,201110,49.8,3.3
47,201111,36.7,2.7
48,201112,25.7,4.4
49,201201,20.8,5.6
50,201202,26.6,8.9
51,201203,45.6,14.9
52,201204,45.1,2.7
53,201205,59.6,4.0
54,201206,67.1,2.0
55,201207,74.8,5.0
56,201208,67.1,-0.2
57,201209,57.7,-2.5
58,201210,44.8,-1.7
59,201211,34.4,0.4
60,201212,25.1,3.8
61,201301,16.8,1.6
62,201302,17.0,-0.7
63,201303,23.9,-6.8
64,201304,37.8,-4.6
65,201305,55.2,-0.4
66,201306,63.9,-1.2
67,201307,68.9,-0.9
68,201308,67.6,0.3
69,201309,60.8,0.6
70,201310,46.7,0.2
71,201311,30.8,-3.2
72,201312,11.9,-9.4
73,201401,6.0,-9.2
74,201402,7.3,-10.4
75,201403,21.4,-9.3
76,201404,39.7,-2.7
77,201405,55.3,-0.3
78,201406,66.4,1.3
79,201407,65.9,-3.9
80,201408,67.1,-0.2
81,201409,58.2,-2.0
82,201410,46.0,-0.5
83,201411,25.3,-8.7
84,201412,24.1,2.8
85,201501,15.3,0.1
86,201502,7.6,-10.1
87,201503,30.7,0.0
88,201504,45.0,2.6
89,201505,56.6,1.0
90,201506,63.8,-1.3
91,201507,68.4,-1.4
92,201508,66.1,-1.2
93,201509,64.7,4.5
94,201510,48.4,1.9
95,201511,39.4,5.4
96,201512,31.8,10.5
97,201601,16.2,1.0
98,201602,22.6,4.9
99,201603,36.8,6.1
100,201604,42.9,0.5
101,201605,56.1,0.5
102,201606,65.8,0.7
103,201607,69.9,0.1
104,201608,69.5,2.2
105,201609,62.6,2.4
106,201610,50.4,3.9
107,201611,41.6,7.6
108,201612,19.9,-1.4
109,201701,19.4,4.2
110,201702,27.8,10.1
111,201703,30.2,-0.5
112,201704,46.4,4.0
113,201705,53.3,-2.3
114,201706,65.6,0.5
115,201707,68.8,-1.0
116,201708,64.2,-3.1
117,201709,62.2,2.0
118,201710,50.0,3.5
119,201711,31.4,-2.6
120,201712,17.3,-4.0
121,201801,15.2,0.0
122,201802,16.1,-1.6
123,201803,29.7,-1.0
124,201804,33.5,-8.9
125,201805,62.0,6.4
126,201806,66.5,1.4
127,201807,69.8,0.0
128,201808,68.5,1.2
129,201809,61.2,1.0
130,201810,43.6,-2.9
131,201811,27.3,-6.7
132,201812,25.1,3.8
133,201901,13.1,-2.1
134,201902,13.5,-4.2
135,201903,25.7,-5.0
136,201904,42.4,0.0
137,201905,51.8,-3.8
138,201906,63.6,-1.5
139,201907,71.3,1.5
140,201908,65.6,-1.7
141,201909,62.0,1.8
142,201910,45.0,-1.5
143,201911,28.2,-5.8
144,201912,23.5,2.2
145,202001,21.6,6.4
146,202002,19.2,1.5
147,202003,34.3,3.6
148,202004,40.7,-1.7
149,202005,54.1,-1.5
150,202006,66.6,1.5
151,202007,71.9,2.1
152,202008,68.4,1.1
153,202009,57.3,-2.9
154,202010,41.3,-5.2
155,202011,38.6,4.6
156,202012,24.2,2.9
157,202101,20.2,5.0
