,0,1,2
0,Date,Value,Anomaly
1,200801,16.2,-5.9
2,200802,23.4,0.5
3,200803,28.4,-4.8
4,200804,35.7,-3.6
5,200805,46.8,-1.4
6,200806,56.4,-2.8
7,200807,67.0,0.3
8,200808,64.4,-0.2
9,200809,52.8,-3.5
10,200810,42.9,0.6
11,200811,35.3,3.5
12,200812,18.9,-2.2
13,200901,23.4,1.3
14,200902,26.8,3.9
15,200903,30.8,-2.4
16,200904,38.4,-0.9
17,200905,50.0,1.8
18,200906,55.4,-3.8
19,200907,63.6,-3.1
20,200908,61.8,-2.8
21,200909,57.4,1.1
22,200910,35.1,-7.2
23,200911,33.9,2.1
24,200912,14.5,-6.6
25,201001,22.2,0.1
26,201002,21.5,-1.4
27,201003,34.2,1.0
28,201004,39.2,-0.1
29,201005,44.0,-4.2
30,201006,57.4,-1.8
31,201007,65.1,-1.6
32,201008,64.1,-0.5
33,201009,56.3,0.0
34,201010,47.1,4.8
35,201011,28.5,-3.3
36,201012,23.8,2.7
37,201101,20.3,-1.8
38,201102,18.0,-4.9
39,201103,32.0,-1.2
40,201104,37.1,-2.2
41,201105,44.2,-4.0
42,201106,56.4,-2.8
43,201107,67.3,0.6
44,201108,66.4,1.8
45,201109,56.4,0.1
46,201110,44.8,2.5
47,201111,28.8,-3.0
48,201112,21.0,-0.1
49,201201,25.1,3.0
50,201202,22.7,-0.2
51,201203,39.4,6.2
52,201204,44.7,5.4
53,201205,50.0,1.8
54,201206,62.8,3.6
55,201207,70.0,3.3
56,201208,66.6,2.0
57,201209,57.5,1.2
58,201210,41.6,-0.7
59,201211,35.0,3.2
60,201212,22.1,1.0
61,201301,19.9,-2.2
62,201302,22.6,-0.3
63,201303,31.3,-1.9
64,201304,34.7,-4.6
65,201305,50.4,2.2
66,201306,60.7,1.5
67,201307,67.8,1.1
68,201308,66.7,2.1
69,201309,57.3,1.0
70,201310,39.3,-3.0
71,201311,31.3,-0.5
72,201312,18.1,-3.0
73,201401,23.3,1.2
74,201402,20.0,-2.9
75,201403,32.3,-0.9
76,201404,39.6,0.3
77,201405,50.1,1.9
78,201406,56.4,-2.8
79,201407,66.4,-0.3
80,201408,62.5,-2.1
81,201409,55.8,-0.5
82,201410,46.9,4.6
83,201411,27.4,-4.4
84,201412,24.8,3.7
85,201501,25.6,3.5
86,201502,28.4,5.5
87,201503,37.7,4.5
88,201504,41.3,2.0
89,201505,47.0,-1.2
90,201506,63.0,3.8
91,201507,63.9,-2.8
92,201508,64.3,-0.3
93,201509,59.4,3.1
94,201510,48.7,6.4
95,201511,29.2,-2.6
96,201512,21.4,0.3
97,201601,22.7,0.6
98,201602,30.1,7.2
99,201603,34.5,1.3
100,201604,41.8,2.5
101,201605,47.9,-0.3
102,201606,63.8,4.6
103,201607,66.8,0.1
104,201608,63.5,-1.1
105,201609,55.4,-0.9
106,201610,46.5,4.2
107,201611,37.1,5.3
108,201612,16.8,-4.3
109,201701,16.7,-5.4
110,201702,27.8,4.9
111,201703,38.4,5.2
112,201704,40.1,0.8
113,201705,49.2,1.0
114,201706,60.0,0.8
115,201707,68.9,2.2
116,201708,63.5,-1.1
117,201709,54.2,-2.1
118,201710,41.1,-1.2
119,201711,34.7,2.9
120,201712,23.8,2.7
121,201801,25.1,3.0
122,201802,19.3,-3.6
123,201803,32.3,-0.9
124,201804,39.7,0.4
125,201805,52.9,4.7
126,201806,60.4,1.2
127,201807,67.3,0.6
128,201808,63.6,-1.0
129,201809,57.2,0.9
130,201810,41.0,-1.3
131,201811,28.6,-3.2
132,201812,21.5,0.4
133,201901,22.0,-0.1
134,201902,16.8,-6.1
135,201903,27.0,-6.2
136,201904,41.1,1.8
137,201905,44.4,-3.8
138,201906,57.0,-2.2
139,201907,66.0,-0.7
140,201908,64.9,0.3
141,201909,56.7,0.4
142,201910,34.2,-8.1
143,201911,30.2,-1.6
144,201912,23.0,1.9
145,202001,23.8,1.7
146,202002,20.0,-2.9
147,202003,33.0,-0.2
148,202004,37.5,-1.8
149,202005,50.3,2.1
150,202006,59.6,0.4
151,202007,66.6,-0.1
152,202008,67.8,3.2
153,202009,55.5,-0.8
154,202010,41.2,-1.1
155,202011,33.1,1.3
156,202012,24.5,3.4
157,202101,23.5,1.4
