date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,31,23,0.0,13.1,6,24,12:44 AM,01:41 PM,05:23 AM,06:30 PM,23,29,29,26,10,51,84,3.7,1009,31,8,85,7,Alabama
2011-06-26,31,23,0.0,13.1,6,17,01:24 AM,02:31 PM,05:24 AM,06:30 PM,23,31,31,27,7,57,83,3.6,1008,31,6,82,4,Alabama
2011-06-27,30,23,0.0,10.7,6,9,02:07 AM,03:24 PM,05:24 AM,06:30 PM,23,29,29,26,10,68,84,4.5,1012,30,7,102,6,Alabama
2011-06-28,30,24,0.0,13.1,6,2,02:53 AM,04:18 PM,05:24 AM,06:31 PM,24,30,30,26,10,45,88,8.3,1009,30,9,105,6,Alabama
2011-06-29,31,23,0.0,13.1,6,0,03:45 AM,05:12 PM,05:24 AM,06:31 PM,23,30,30,27,12,35,82,5.7,1009,31,10,102,8,Alabama
2011-06-30,31,24,0.0,13.1,6,0,04:39 AM,06:05 PM,05:25 AM,06:31 PM,23,30,30,27,14,35,80,2.1,1009,31,9,91,9,Alabama
2011-07-01,32,22,0.0,13.1,6,0,05:37 AM,06:57 PM,05:25 AM,06:31 PM,23,29,29,26,13,46,83,11.4,1010,32,8,81,9,Alabama
2011-07-02,29,22,0.0,10.7,6,6,06:35 AM,07:46 PM,05:25 AM,06:31 PM,22,28,28,25,11,60,83,4.1,1011,29,10,89,8,Alabama
2011-07-03,29,21,0.0,12.0,6,13,07:35 AM,08:32 PM,05:26 AM,06:31 PM,21,27,27,25,8,65,83,3.8,1011,29,7,71,5,Alabama
2011-07-04,30,21,0.0,13.1,6,20,08:32 AM,09:16 PM,05:26 AM,06:31 PM,22,26,26,24,6,47,86,5.3,1011,30,8,90,4,Alabama
2011-07-05,29,21,0.0,13.1,6,27,09:30 AM,09:59 PM,05:26 AM,06:31 PM,22,28,28,25,5,57,88,9.0,1011,29,8,122,3,Alabama
2011-07-06,32,21,0.0,10.7,6,35,10:26 AM,10:42 PM,05:26 AM,06:31 PM,23,29,29,25,5,57,88,22.1,1011,32,7,62,3,Alabama
2011-07-07,32,22,0.0,13.0,6,42,11:24 AM,11:26 PM,05:27 AM,06:31 PM,23,29,29,26,6,53,87,11.7,1010,32,6,91,4,Alabama
2011-07-08,32,23,0.0,12.0,6,49,12:22 PM,No moonset,05:27 AM,06:31 PM,23,30,30,27,10,58,82,0.6,1009,32,6,83,6,Alabama
2011-07-09,32,23,0.0,12.0,6,56,01:23 PM,12:12 AM,05:27 AM,06:31 PM,24,30,30,26,9,63,87,14.9,1010,32,5,69,6,Alabama
2011-07-10,27,22,0.0,9.4,5,64,02:23 PM,01:01 AM,05:28 AM,06:31 PM,23,27,27,24,9,72,94,5.9,1012,27,7,85,6,Alabama
2011-07-11,30,22,0.0,12.0,6,71,03:25 PM,01:55 AM,05:28 AM,06:31 PM,22,28,28,25,8,66,85,1.1,1012,30,6,75,5,Alabama
2011-07-12,29,22,0.0,9.4,6,78,04:23 PM,02:51 AM,05:28 AM,06:31 PM,23,27,27,25,8,66,91,7.2,1012,29,10,135,6,Alabama
2011-07-13,29,23,0.0,13.0,6,86,05:19 PM,03:50 AM,05:29 AM,06:31 PM,23,28,28,25,10,41,88,4.6,1012,29,8,95,6,Alabama
2011-07-14,31,22,0.0,13.0,6,93,06:10 PM,04:48 AM,05:29 AM,06:31 PM,22,29,29,26,10,53,81,1.2,1010,31,5,97,7,Alabama
2011-07-15,32,23,0.0,13.0,6,100,06:56 PM,05:46 AM,05:29 AM,06:31 PM,21,29,29,26,11,33,76,0.3,1009,32,7,106,8,Alabama
2011-07-16,32,23,0.0,13.0,6,100,07:39 PM,06:40 AM,05:30 AM,06:30 PM,22,30,30,27,13,32,80,1.4,1009,32,8,89,9,Alabama
2011-07-17,32,24,0.0,13.0,6,85,08:17 PM,07:33 AM,05:30 AM,06:30 PM,23,31,31,27,12,45,80,3.7,1010,32,6,81,8,Alabama
