date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,29,21,0.0,11.6,6,24,02:07 AM,03:04 PM,06:45 AM,07:52 PM,22,29,29,26,8,19,81,4.2,1008,29,10,211,5,Alaska
2011-06-26,27,22,0.0,11.6,6,17,02:46 AM,03:54 PM,06:45 AM,07:52 PM,22,28,28,25,9,48,86,19.3,1009,27,8,246,5,Alaska
2011-06-27,29,23,0.0,9.1,6,9,03:30 AM,04:46 PM,06:45 AM,07:52 PM,22,28,28,26,10,51,81,5.9,1012,29,9,142,6,Alaska
2011-06-28,26,22,0.0,11.6,5,2,04:16 AM,05:40 PM,06:46 AM,07:53 PM,22,27,27,24,12,49,87,13.5,1010,26,9,109,8,Alaska
2011-06-29,23,19,0.0,6.5,5,0,05:07 AM,06:34 PM,06:46 AM,07:53 PM,21,22,24,22,20,86,95,85.2,1010,23,5,128,12,Alaska
2011-06-30,24,21,0.0,10.3,5,0,06:02 AM,07:28 PM,06:46 AM,07:53 PM,22,26,26,23,18,62,90,14.0,1009,24,8,144,12,Alaska
2011-07-01,26,19,0.0,11.6,5,0,07:00 AM,08:19 PM,06:47 AM,07:53 PM,21,26,26,24,8,46,84,8.1,1010,26,9,186,5,Alaska
2011-07-02,26,21,0.0,9.1,5,6,07:59 AM,09:08 PM,06:47 AM,07:53 PM,22,26,26,24,7,53,85,14.5,1010,26,8,236,4,Alaska
2011-07-03,26,20,0.0,9.1,5,13,08:57 AM,09:55 PM,06:47 AM,07:53 PM,21,26,26,24,12,71,87,89.0,1010,26,7,167,7,Alaska
2011-07-04,29,21,0.0,11.6,6,20,09:55 AM,10:38 PM,06:48 AM,07:53 PM,21,27,27,25,11,40,80,2.7,1010,29,9,102,7,Alaska
2011-07-05,28,22,0.0,11.6,6,27,10:52 AM,11:22 PM,06:48 AM,07:53 PM,22,28,28,26,9,45,83,5.6,1011,28,8,50,6,Alaska
2011-07-06,29,22,0.0,11.6,6,35,11:50 AM,No moonset,06:48 AM,07:53 PM,23,29,29,26,7,39,84,14.1,1012,29,9,120,4,Alaska
2011-07-07,27,22,0.0,7.8,6,42,12:47 PM,12:04 AM,06:48 AM,07:53 PM,23,28,28,25,6,65,86,33.1,1011,27,8,165,3,Alaska
2011-07-08,29,21,0.0,11.6,6,49,01:45 PM,12:48 AM,06:49 AM,07:53 PM,23,28,28,26,8,45,84,16.0,1010,29,9,141,5,Alaska
2011-07-09,27,21,0.0,11.6,5,56,02:45 PM,01:35 AM,06:49 AM,07:53 PM,22,27,27,24,6,41,85,20.0,1010,27,8,256,4,Alaska
2011-07-10,27,21,0.0,11.6,5,64,03:46 PM,02:24 AM,06:49 AM,07:53 PM,22,28,28,25,5,37,84,15.8,1011,27,9,166,3,Alaska
2011-07-11,28,22,0.0,11.6,6,71,04:47 PM,03:18 AM,06:50 AM,07:53 PM,23,29,29,26,5,52,86,27.3,1012,28,8,206,3,Alaska
2011-07-12,26,21,0.0,9.1,5,78,05:46 PM,04:14 AM,06:50 AM,07:53 PM,22,26,26,24,6,54,85,12.2,1012,26,9,130,4,Alaska
2011-07-13,24,22,0.0,7.8,5,86,06:41 PM,05:13 AM,06:50 AM,07:53 PM,22,26,26,23,10,62,91,31.3,1012,24,8,153,7,Alaska
2011-07-14,24,21,0.0,11.6,5,93,07:33 PM,06:11 AM,06:51 AM,07:53 PM,21,25,25,23,11,50,90,17.5,1011,24,8,123,7,Alaska
2011-07-15,24,21,0.0,9.1,5,100,08:19 PM,07:08 AM,06:51 AM,07:53 PM,22,25,25,23,17,63,92,30.8,1010,24,8,117,11,Alaska
2011-07-16,27,20,0.0,11.6,5,100,09:01 PM,08:03 AM,06:51 AM,07:53 PM,21,26,26,24,14,36,85,20.6,1009,27,8,134,9,Alaska
2011-07-17,27,22,0.0,11.6,6,85,09:40 PM,08:55 AM,06:52 AM,07:52 PM,21,27,27,25,9,34,82,7.2,1011,27,9,157,6,Alaska
2011-07-18,30,21,0.0,11.6,6,78,10:16 PM,09:45 AM,06:52 AM,07:52 PM,23,29,29,26,9,30,85,29.5,1011,30,7,130,5,Alaska
2011-07-19,27,22,0.0,11.6,6,71,10:52 PM,10:33 AM,06:52 AM,07:52 PM,22,28,28,25,9,33,85,32.7,1012,27,8,162,6,Alaska
2011-07-20,29,21,0.0,11.6,6,64,11:28 PM,11:20 AM,06:53 AM,07:52 PM,21,28,28,26,10,19,79,6.8,1012,29,10,171,6,Alaska
2011-07-21,32,21,0.0,11.6,6,56,No moonrise,12:07 PM,06:53 AM,07:52 PM,23,30,30,26,7,16,81,14.1,1011,32,9,136,4,Alaska
2011-07-22,29,21,0.0,11.6,6,49,12:04 AM,12:56 PM,06:53 AM,07:51 PM,22,29,29,26,6,18,81,8.7,1011,29,9,164,4,Alaska
2011-07-23,26,22,0.0,11.6,5,42,12:42 AM,01:45 PM,06:54 AM,07:51 PM,22,27,27,24,11,26,89,3.3,1012,26,9,100,6,Alaska
2011-07-24,31,22,0.0,11.6,6,34,01:24 AM,02:36 PM,06:54 AM,07:51 PM,22,30,30,27,13,17,78,2.4,1013,31,10,70,8,Alaska
2011-07-25,30,21,0.0,11.6,6,27,02:08 AM,03:29 PM,06:54 AM,07:51 PM,22,29,29,26,14,12,77,3.1,1012,30,10,102,8,Alaska
2011-07-26,29,22,0.0,11.6,6,20,02:57 AM,04:22 PM,06:55 AM,07:50 PM,23,30,30,26,9,38,84,25.1,1011,29,8,187,6,Alaska
2011-07-27,29,22,0.0,11.6,6,13,03:50 AM,05:16 PM,06:55 AM,07:50 PM,22,29,29,26,6,33,81,26.7,1010,29,8,149,4,Alaska
2011-07-28,29,22,0.0,11.6,6,5,04:46 AM,06:09 PM,06:55 AM,07:50 PM,23,29,29,26,10,35,83,24.3,1011,29,8,128,6,Alaska
2011-07-29,30,22,0.0,10.3,6,0,05:45 AM,07:00 PM,06:55 AM,07:49 PM,23,29,29,26,8,48,83,19.4,1011,30,8,272,4,Alaska
2011-07-30,30,23,0.0,10.3,6,0,06:44 AM,07:48 PM,06:56 AM,07:49 PM,23,28,28,25,9,40,87,27.9,1011,30,8,102,5,Alaska
2011-07-31,29,22,0.0,11.6,6,0,07:44 AM,08:34 PM,06:56 AM,07:49 PM,23,29,29,26,10,38,84,16.1,1011,29,9,135,6,Alaska
2011-08-01,29,24,0.0,9.0,6,9,08:43 AM,09:19 PM,06:56 AM,07:48 PM,23,28,28,26,10,47,84,26.7,1011,29,8,102,6,Alaska
2011-08-02,26,22,0.0,9.0,5,16,09:42 AM,10:02 PM,06:57 AM,07:48 PM,22,27,27,25,8,56,86,61.8,1011,26,7,175,5,Alaska
2011-08-03,27,21,0.0,11.6,5,24,10:40 AM,10:47 PM,06:57 AM,07:47 PM,22,27,27,25,7,37,84,7.4,1011,27,10,119,4,Alaska
2011-08-04,30,21,0.0,11.6,7,31,11:40 AM,11:34 PM,06:57 AM,07:47 PM,22,29,29,26,5,27,81,2.5,1011,30,10,161,3,Alaska
2011-08-05,29,21,0.0,11.6,6,38,12:40 PM,No moonset,06:57 AM,07:46 PM,22,28,28,26,9,26,83,7.3,1012,29,9,113,6,Alaska
