date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,28,23,0.0,13.0,6,24,12:40 AM,01:35 PM,05:20 AM,06:23 PM,23,29,29,26,10,50,87,14.1,1009,28,8,150,6,Arizona
2011-06-26,28,23,0.0,9.4,6,17,01:21 AM,02:25 PM,05:21 AM,06:23 PM,23,29,29,25,15,70,88,16.6,1010,28,9,143,9,Arizona
2011-06-27,29,24,0.0,12.0,6,9,02:03 AM,03:17 PM,05:21 AM,06:24 PM,22,29,29,26,19,50,82,3.1,1013,29,10,105,12,Arizona
2011-06-28,31,23,0.0,13.0,6,2,02:50 AM,04:11 PM,05:21 AM,06:24 PM,24,31,31,27,17,31,83,6.4,1010,31,9,109,10,Arizona
2011-06-29,31,24,0.0,13.0,6,0,03:42 AM,05:05 PM,05:22 AM,06:24 PM,24,31,31,27,19,18,81,2.2,1010,31,10,111,12,Arizona
2011-06-30,30,24,0.0,13.0,7,0,04:36 AM,05:59 PM,05:22 AM,06:24 PM,23,30,30,27,19,10,81,2.4,1010,30,10,97,12,Arizona
2011-07-01,30,23,0.0,13.0,6,0,05:34 AM,06:50 PM,05:22 AM,06:24 PM,23,30,30,27,18,26,83,18.3,1010,30,8,99,11,Arizona
2011-07-02,29,24,0.0,13.0,6,6,06:32 AM,07:40 PM,05:22 AM,06:24 PM,23,30,30,26,16,48,83,11.1,1011,29,9,97,11,Arizona
2011-07-03,28,23,0.0,12.0,6,13,07:31 AM,08:26 PM,05:23 AM,06:24 PM,23,28,28,25,18,45,85,20.3,1011,28,9,67,12,Arizona
2011-07-04,28,23,0.0,10.7,6,20,08:28 AM,09:11 PM,05:23 AM,06:24 PM,23,28,28,25,15,69,89,47.4,1011,28,7,71,10,Arizona
2011-07-05,27,23,0.0,12.0,6,27,09:25 AM,09:54 PM,05:23 AM,06:24 PM,23,28,28,25,9,65,91,52.2,1011,27,7,220,6,Arizona
2011-07-06,29,23,0.0,13.0,6,35,10:21 AM,10:37 PM,05:24 AM,06:24 PM,24,30,30,26,15,33,88,13.5,1011,29,9,152,9,Arizona
