date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,32,23,0.0,10.5,6,24,01:54 AM,03:47 PM,06:09 AM,08:52 PM,23,32,32,28,36,24,75,1.3,1004,32,10,159,23,Arkansas
2011-06-26,32,24,0.0,11.6,6,17,02:25 AM,04:44 PM,06:10 AM,08:52 PM,23,31,31,28,31,21,77,0.0,1006,32,10,139,22,Arkansas
2011-06-27,34,23,0.0,9.4,6,9,03:02 AM,05:43 PM,06:10 AM,08:52 PM,20,30,30,27,24,44,67,0.7,1011,34,10,163,15,Arkansas
2011-06-28,30,19,0.0,10.5,6,2,03:44 AM,06:40 PM,06:11 AM,08:52 PM,20,26,26,24,23,22,81,5.3,1016,30,10,65,15,Arkansas
2011-06-29,34,22,0.0,11.6,7,0,04:32 AM,07:36 PM,06:11 AM,08:52 PM,22,31,31,27,22,16,77,0.0,1012,34,8,158,13,Arkansas
2011-06-30,36,23,0.0,11.6,8,0,05:28 AM,08:26 PM,06:11 AM,08:52 PM,20,32,32,29,32,1,62,0.0,1011,36,10,181,18,Arkansas
2011-07-01,36,23,0.0,11.6,8,0,06:28 AM,09:12 PM,06:12 AM,08:52 PM,19,31,31,29,32,2,57,0.0,1012,36,10,182,18,Arkansas
2011-07-02,37,23,0.0,11.6,8,6,07:34 AM,09:53 PM,06:12 AM,08:52 PM,19,32,32,29,25,8,55,0.0,1015,37,10,180,14,Arkansas
2011-07-03,37,23,0.0,11.6,7,13,08:42 AM,10:29 PM,06:13 AM,08:52 PM,19,31,31,29,22,12,55,1.0,1012,37,10,189,13,Arkansas
2011-07-04,35,21,0.0,11.6,8,20,09:50 AM,11:03 PM,06:13 AM,08:52 PM,19,30,30,28,16,6,61,0.3,1011,35,10,113,9,Arkansas
2011-07-05,37,23,0.0,11.6,8,27,10:58 AM,11:35 PM,06:14 AM,08:51 PM,20,32,32,29,15,3,62,0.0,1012,37,10,134,8,Arkansas
2011-07-06,32,23,0.0,11.6,6,35,12:06 PM,No moonset,06:14 AM,08:51 PM,21,30,30,27,26,16,71,0.1,1013,32,10,88,15,Arkansas
2011-07-07,33,23,0.0,11.6,7,42,01:15 PM,12:07 AM,06:15 AM,08:51 PM,21,30,30,27,19,15,73,0.2,1009,33,10,129,11,Arkansas
2011-07-08,32,21,0.0,11.6,6,49,02:24 PM,12:40 AM,06:15 AM,08:51 PM,21,28,28,26,18,13,77,0.0,1010,32,8,63,11,Arkansas
2011-07-09,37,20,0.0,11.6,7,56,03:34 PM,01:17 AM,06:16 AM,08:50 PM,22,32,32,28,28,6,70,2.0,1007,37,10,130,16,Arkansas
2011-07-10,40,24,0.0,11.6,8,64,04:42 PM,01:58 AM,06:17 AM,08:50 PM,19,34,34,32,26,11,48,0.0,1008,40,10,197,15,Arkansas
2011-07-11,37,23,0.0,11.6,7,71,05:48 PM,02:45 AM,06:17 AM,08:50 PM,19,32,32,30,25,5,55,2.8,1011,37,10,191,15,Arkansas
2011-07-12,37,24,0.0,11.6,7,78,06:47 PM,03:39 AM,06:18 AM,08:49 PM,20,32,32,29,21,24,58,3.6,1012,37,10,200,13,Arkansas
2011-07-13,32,21,0.0,11.6,6,86,07:40 PM,04:37 AM,06:18 AM,08:49 PM,21,29,29,26,26,20,74,5.1,1011,32,10,111,16,Arkansas
2011-07-14,32,22,0.0,11.6,6,93,08:25 PM,05:40 AM,06:19 AM,08:48 PM,22,31,31,27,19,28,76,3.7,1009,32,9,129,11,Arkansas
2011-07-15,38,24,0.0,11.6,8,100,09:03 PM,06:44 AM,06:20 AM,08:48 PM,22,34,34,30,25,12,64,0.0,1008,38,10,145,15,Arkansas
2011-07-16,37,25,0.0,11.6,8,100,09:37 PM,07:47 AM,06:20 AM,08:47 PM,22,35,35,30,26,7,64,0.0,1011,37,10,149,16,Arkansas
2011-07-17,37,24,0.0,11.6,8,85,10:06 PM,08:48 AM,06:21 AM,08:47 PM,22,34,34,30,23,6,63,0.0,1015,37,10,148,14,Arkansas
2011-07-18,37,24,0.0,11.6,8,78,10:34 PM,09:48 AM,06:22 AM,08:46 PM,21,33,33,30,24,6,60,0.0,1016,37,10,142,14,Arkansas
2011-07-19,36,23,0.0,11.6,8,71,11:00 PM,10:45 AM,06:23 AM,08:46 PM,20,32,32,29,25,3,58,0.0,1013,36,10,159,14,Arkansas
2011-07-20,37,25,0.0,11.6,8,64,11:27 PM,11:42 AM,06:23 AM,08:45 PM,20,33,33,30,29,11,56,0.0,1009,37,10,176,17,Arkansas
2011-07-21,37,24,0.0,11.6,8,56,11:55 PM,12:38 PM,06:24 AM,08:44 PM,20,33,33,30,28,7,54,0.0,1009,37,10,174,16,Arkansas
2011-07-22,38,25,0.0,11.6,7,49,No moonrise,01:35 PM,06:25 AM,08:44 PM,18,33,33,31,26,9,49,0.2,1008,38,10,177,15,Arkansas
2011-07-23,35,24,0.0,11.6,7,42,12:25 AM,02:32 PM,06:26 AM,08:43 PM,19,31,31,28,28,6,60,0.1,1010,35,10,176,14,Arkansas
2011-07-24,40,26,0.0,11.6,7,34,12:59 AM,03:30 PM,06:26 AM,08:42 PM,20,35,35,32,22,19,51,0.8,1012,40,10,204,12,Arkansas
2011-07-25,33,25,0.0,11.6,7,27,01:38 AM,04:27 PM,06:27 AM,08:41 PM,20,32,32,29,13,20,59,1.4,1012,33,10,128,9,Arkansas
2011-07-26,36,24,0.0,11.6,8,20,02:22 AM,05:23 PM,06:28 AM,08:41 PM,22,33,33,29,23,11,65,0.2,1008,36,10,137,15,Arkansas
2011-07-27,36,26,0.0,11.6,8,13,03:14 AM,06:16 PM,06:29 AM,08:40 PM,21,34,34,31,34,6,55,0.2,1006,36,10,169,21,Arkansas
2011-07-28,38,25,0.0,11.6,8,5,04:13 AM,07:04 PM,06:30 AM,08:39 PM,19,33,33,31,25,4,51,0.0,1010,38,10,163,14,Arkansas
2011-07-29,37,25,0.0,11.6,8,0,05:17 AM,07:48 PM,06:30 AM,08:38 PM,20,33,33,31,26,15,57,0.0,1013,37,10,162,15,Arkansas
2011-07-30,36,25,0.0,11.6,7,0,06:25 AM,08:27 PM,06:31 AM,08:37 PM,21,33,33,30,18,35,61,0.4,1014,36,10,170,11,Arkansas
2011-07-31,39,24,0.0,11.6,7,0,07:35 AM,09:03 PM,06:32 AM,08:36 PM,19,34,34,31,18,17,52,0.4,1015,39,10,182,10,Arkansas
2011-08-01,40,26,0.0,11.6,8,9,08:45 AM,09:37 PM,06:33 AM,08:35 PM,18,34,34,32,22,18,44,0.2,1012,40,10,192,12,Arkansas
2011-08-02,42,27,0.0,11.6,9,16,09:55 AM,10:09 PM,06:34 AM,08:34 PM,15,34,34,34,25,6,35,0.0,1008,42,10,206,14,Arkansas
2011-08-03,35,26,0.0,10.4,7,24,11:05 AM,10:43 PM,06:34 AM,08:33 PM,24,37,37,31,17,18,70,0.0,1008,35,10,78,11,Arkansas
2011-08-04,34,24,0.0,11.6,7,31,12:15 PM,11:19 PM,06:35 AM,08:32 PM,22,33,33,29,15,17,67,3.6,1009,34,10,139,9,Arkansas
2011-08-05,38,24,0.0,11.6,7,38,01:26 PM,11:59 PM,06:36 AM,08:31 PM,19,34,34,31,14,9,52,1.3,1008,38,10,136,8,Arkansas
2011-08-06,37,24,0.0,11.6,8,45,02:34 PM,No moonset,06:37 AM,08:30 PM,20,34,34,30,17,12,57,0.8,1009,37,10,164,10,Arkansas
2011-08-07,39,23,0.0,11.6,8,53,03:40 PM,12:43 AM,06:38 AM,08:29 PM,18,33,33,30,18,6,51,1.0,1008,39,10,197,12,Arkansas
2011-08-08,36,23,0.0,11.6,7,60,04:41 PM,01:34 AM,06:39 AM,08:28 PM,21,32,32,29,24,10,64,7.0,1006,36,10,131,15,Arkansas
2011-08-09,32,20,0.0,11.6,7,67,05:35 PM,02:30 AM,06:39 AM,08:27 PM,20,28,28,26,18,3,72,5.8,1008,32,10,70,11,Arkansas
2011-08-10,30,21,0.0,11.6,6,74,06:21 PM,03:31 AM,06:40 AM,08:26 PM,20,27,27,25,25,17,76,9.5,1009,30,9,73,15,Arkansas
2011-08-11,30,19,0.0,11.6,6,82,07:02 PM,04:33 AM,06:41 AM,08:25 PM,21,26,26,24,22,22,82,4.5,1012,30,8,112,14,Arkansas
2011-08-12,31,20,0.0,11.6,6,89,07:37 PM,05:36 AM,06:42 AM,08:23 PM,20,25,25,24,23,16,83,5.8,1011,31,10,150,15,Arkansas
