date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,28,17,0.0,13.5,5,24,01:30 AM,03:27 PM,05:44 AM,08:38 PM,16,22,22,22,14,30,72,0.3,1011,28,10,292,8,Connecticut
2011-06-26,28,17,0.0,14.5,6,17,02:00 AM,04:26 PM,05:44 AM,08:38 PM,17,23,23,22,10,24,74,0.2,1015,28,10,271,6,Connecticut
2011-06-27,28,18,0.0,12.4,6,9,02:35 AM,05:25 PM,05:45 AM,08:38 PM,19,25,25,23,16,39,76,1.5,1013,28,9,222,10,Connecticut
2011-06-28,30,20,0.0,14.5,6,2,03:16 AM,06:23 PM,05:45 AM,08:38 PM,22,27,27,25,11,41,83,5.2,1012,30,7,221,6,Connecticut
2011-06-29,29,19,0.0,14.5,7,0,04:03 AM,07:19 PM,05:45 AM,08:38 PM,17,24,24,23,19,10,69,0.6,1013,29,10,306,12,Connecticut
2011-06-30,31,18,0.0,14.5,7,0,04:58 AM,08:09 PM,05:46 AM,08:38 PM,16,23,23,23,11,3,66,0.0,1016,31,10,327,7,Connecticut
2011-07-01,31,18,0.0,14.5,7,0,06:00 AM,08:55 PM,05:46 AM,08:38 PM,15,24,24,24,12,2,60,0.0,1016,31,10,156,7,Connecticut
2011-07-02,31,16,0.0,14.5,7,6,07:06 AM,09:35 PM,05:47 AM,08:38 PM,16,25,25,24,10,17,67,0.1,1017,31,10,177,6,Connecticut
2011-07-03,33,20,0.0,14.5,6,13,08:15 AM,10:10 PM,05:47 AM,08:38 PM,20,28,28,26,14,23,74,4.4,1012,33,10,241,8,Connecticut
2011-07-04,31,21,0.0,14.5,7,20,09:25 AM,10:43 PM,05:48 AM,08:37 PM,20,27,27,25,10,23,75,0.5,1012,31,9,222,6,Connecticut
