date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,22,14,0.0,14.5,4,24,01:52 AM,03:55 PM,06:04 AM,09:06 PM,15,17,18,17,15,53,86,0.1,1013,22,8,211,10,Delaware
2011-06-26,25,15,0.0,14.5,5,17,02:22 AM,04:54 PM,06:04 AM,09:06 PM,17,20,21,20,14,38,84,0.2,1014,25,9,156,8,Delaware
2011-06-27,26,18,0.0,12.5,5,9,02:56 AM,05:54 PM,06:04 AM,09:06 PM,18,23,23,22,18,48,81,2.5,1012,26,9,221,12,Delaware
2011-06-28,25,17,0.0,14.5,5,2,03:37 AM,06:52 PM,06:05 AM,09:06 PM,19,24,24,22,21,32,84,0.8,1013,25,8,285,14,Delaware
2011-06-29,24,14,0.0,14.5,6,0,04:24 AM,07:48 PM,06:05 AM,09:06 PM,15,19,20,19,16,1,80,0.0,1018,24,8,289,10,Delaware
2011-06-30,28,14,0.0,14.5,6,0,05:19 AM,08:38 PM,06:05 AM,09:06 PM,16,22,22,21,7,4,73,0.0,1017,28,10,246,4,Delaware
2011-07-01,29,16,0.0,14.5,7,0,06:21 AM,09:23 PM,06:06 AM,09:06 PM,19,24,24,23,13,3,78,0.0,1016,29,10,234,8,Delaware
2011-07-02,30,19,0.0,14.5,7,6,07:28 AM,10:02 PM,06:06 AM,09:06 PM,21,26,26,24,16,23,84,0.0,1016,30,8,229,10,Delaware
2011-07-03,29,21,0.0,14.5,6,13,08:37 AM,10:37 PM,06:07 AM,09:06 PM,22,27,27,25,12,30,85,2.7,1014,29,9,306,7,Delaware
2011-07-04,27,19,0.0,14.5,5,20,09:48 AM,11:09 PM,06:07 AM,09:06 PM,19,24,24,23,13,26,81,0.4,1013,27,9,182,7,Delaware
2011-07-05,31,16,0.0,14.5,7,27,10:58 AM,11:39 PM,06:08 AM,09:05 PM,18,25,25,23,9,2,71,0.0,1015,31,10,119,5,Delaware
2011-07-06,30,18,0.0,14.5,7,35,12:09 PM,No moonset,06:09 AM,09:05 PM,19,25,25,24,15,9,73,0.3,1014,30,10,272,9,Delaware
2011-07-07,29,19,0.0,14.5,7,42,01:20 PM,12:08 AM,06:09 AM,09:05 PM,20,25,25,24,8,8,80,1.9,1013,29,10,112,5,Delaware
2011-07-08,26,19,0.0,14.5,5,49,02:31 PM,12:39 AM,06:10 AM,09:04 PM,20,24,24,23,8,26,86,14.8,1010,26,8,143,5,Delaware
2011-07-09,29,16,0.0,14.5,7,56,03:43 PM,01:14 AM,06:11 AM,09:04 PM,18,23,23,22,10,1,77,0.2,1014,29,8,127,6,Delaware
2011-07-10,30,15,0.0,14.5,7,64,04:52 PM,01:53 AM,06:11 AM,09:04 PM,18,24,24,23,12,1,72,0.0,1015,30,10,175,6,Delaware
2011-07-11,32,19,0.0,14.5,6,71,05:59 PM,02:37 AM,06:12 AM,09:03 PM,22,28,28,25,18,16,83,7.6,1012,32,10,207,11,Delaware
2011-07-12,30,22,0.0,14.5,6,78,06:59 PM,03:30 AM,06:13 AM,09:03 PM,22,28,28,25,16,20,84,5.1,1012,30,7,281,9,Delaware
