date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,25,8,0.0,10.6,4,24,12:50 AM,01:26 PM,05:39 AM,06:11 PM,15,16,17,16,5,66,94,27.5,1013,25,6,181,3,Florida
2011-06-26,24,15,0.0,12.7,4,17,01:33 AM,02:13 PM,05:39 AM,06:11 PM,17,19,19,19,6,56,91,27.0,1014,24,5,211,4,Florida
2011-06-27,23,8,0.0,11.9,4,9,02:18 AM,03:04 PM,05:40 AM,06:11 PM,14,17,18,17,8,53,81,7.4,1014,23,8,169,5,Florida
2011-06-28,28,7,0.0,12.7,5,2,03:07 AM,03:56 PM,05:40 AM,06:11 PM,12,17,17,16,11,19,78,7.5,1013,28,9,155,6,Florida
2011-06-29,28,6,0.0,12.7,5,0,03:59 AM,04:50 PM,05:40 AM,06:12 PM,13,18,18,17,12,17,76,4.5,1012,28,10,153,7,Florida
2011-06-30,25,8,0.0,12.7,5,0,04:53 AM,05:44 PM,05:40 AM,06:12 PM,15,17,18,17,6,43,88,43.2,1012,25,8,169,4,Florida
2011-07-01,24,8,0.0,12.7,4,0,05:49 AM,06:38 PM,05:41 AM,06:12 PM,15,16,17,16,5,60,93,40.1,1012,24,8,213,3,Florida
2011-07-02,24,8,0.0,11.9,4,6,06:45 AM,07:30 PM,05:41 AM,06:12 PM,14,15,16,15,4,51,92,37.3,1012,24,7,195,2,Florida
2011-07-03,26,5,0.0,12.7,5,13,07:41 AM,08:19 PM,05:41 AM,06:12 PM,14,17,18,17,5,31,87,37.2,1012,26,6,154,3,Florida
2011-07-04,25,8,0.0,12.7,5,20,08:35 AM,09:08 PM,05:41 AM,06:12 PM,14,16,17,16,6,36,87,62.2,1012,25,6,167,4,Florida
2011-07-05,24,7,0.0,12.7,5,27,09:29 AM,09:55 PM,05:42 AM,06:12 PM,14,16,17,16,5,48,89,37.6,1013,24,8,187,3,Florida
2011-07-06,25,6,0.0,12.7,5,35,10:21 AM,10:41 PM,05:42 AM,06:12 PM,14,16,17,16,7,43,87,44.8,1013,25,5,213,4,Florida
2011-07-07,24,8,0.0,12.7,5,42,11:14 AM,11:30 PM,05:42 AM,06:13 PM,14,16,17,16,5,42,91,67.9,1013,24,6,189,3,Florida
2011-07-08,28,11,0.0,12.7,5,49,12:09 PM,No moonset,05:42 AM,06:13 PM,15,20,20,19,9,20,78,8.9,1012,28,9,168,5,Florida
2011-07-09,27,14,0.0,12.7,5,56,01:05 PM,12:19 AM,05:42 AM,06:13 PM,17,21,21,20,6,21,82,25.0,1011,27,8,173,4,Florida
2011-07-10,27,14,0.0,12.7,5,64,02:03 PM,01:12 AM,05:43 AM,06:13 PM,18,21,21,21,7,28,84,35.9,1012,27,7,165,4,Florida
2011-07-11,26,8,0.0,12.7,5,71,03:02 PM,02:07 AM,05:43 AM,06:13 PM,16,19,19,19,8,35,83,36.0,1014,26,7,205,5,Florida
2011-07-12,24,15,0.0,11.9,5,78,04:01 PM,03:05 AM,05:43 AM,06:13 PM,18,20,21,20,5,62,91,60.3,1015,24,6,212,4,Florida
2011-07-13,24,8,0.0,12.7,5,86,04:58 PM,04:03 AM,05:43 AM,06:13 PM,16,17,18,17,5,54,91,26.1,1014,24,8,242,3,Florida
2011-07-14,22,7,0.0,9.2,4,93,05:51 PM,05:01 AM,05:44 AM,06:13 PM,13,14,14,14,5,71,95,52.0,1014,22,7,219,4,Florida
2011-07-15,22,7,0.0,7.9,4,100,06:40 PM,05:55 AM,05:44 AM,06:13 PM,13,15,15,15,5,82,92,39.7,1014,22,7,180,3,Florida
