date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,25,13,0.0,13.5,5,24,01:09 AM,03:05 PM,05:27 AM,08:39 PM,15,19,19,19,7,34,80,0.9,1012,25,8,121,5,Georgia
2011-06-26,27,12,0.0,14.5,6,17,01:37 AM,04:05 PM,05:28 AM,08:39 PM,14,21,21,20,6,17,70,0.1,1007,27,10,82,4,Georgia
2011-06-27,29,16,0.0,12.5,6,9,02:08 AM,05:05 PM,05:28 AM,08:39 PM,12,23,23,23,11,31,55,0.1,1012,29,10,173,7,Georgia
2011-06-28,30,16,0.0,14.5,6,2,02:46 AM,06:05 PM,05:29 AM,08:39 PM,16,24,24,23,7,14,65,0.9,1008,30,10,143,5,Georgia
2011-06-29,31,16,0.0,14.5,7,0,03:30 AM,07:02 PM,05:29 AM,08:39 PM,13,24,24,24,8,8,54,0.0,1009,31,10,173,5,Georgia
2011-06-30,31,17,0.0,14.5,7,0,04:22 AM,07:54 PM,05:29 AM,08:39 PM,12,24,24,24,9,7,49,0.3,1008,31,10,209,5,Georgia
2011-07-01,29,14,0.0,14.5,5,0,05:23 AM,08:40 PM,05:30 AM,08:39 PM,14,22,22,21,17,11,66,3.9,1010,29,10,201,9,Georgia
2011-07-02,31,17,0.0,14.5,6,6,06:28 AM,09:21 PM,05:30 AM,08:39 PM,13,23,23,23,11,19,57,2.7,1010,31,10,110,7,Georgia
2011-07-03,29,14,0.0,14.5,6,13,07:38 AM,09:56 PM,05:31 AM,08:39 PM,14,22,22,22,15,15,62,3.8,1011,29,10,275,8,Georgia
2011-07-04,31,17,0.0,14.5,6,20,08:49 AM,10:27 PM,05:32 AM,08:39 PM,16,24,24,24,7,18,66,3.1,1010,31,10,226,4,Georgia
2011-07-05,30,17,0.0,14.5,7,27,10:01 AM,10:57 PM,05:32 AM,08:38 PM,16,24,24,23,14,13,65,3.5,1011,30,10,282,9,Georgia
2011-07-06,31,16,0.0,14.5,6,35,11:13 AM,11:26 PM,05:33 AM,08:38 PM,16,24,24,24,9,10,63,2.0,1012,31,10,202,5,Georgia
2011-07-07,34,18,0.0,14.5,7,42,12:24 PM,11:55 PM,05:33 AM,08:38 PM,16,28,28,26,7,6,53,0.2,1012,34,10,119,4,Georgia
2011-07-08,32,20,0.0,14.5,7,49,01:37 PM,No moonset,05:34 AM,08:37 PM,16,28,28,26,11,5,55,0.4,1015,32,10,207,7,Georgia
2011-07-09,30,18,0.0,14.5,6,56,02:49 PM,12:27 AM,05:35 AM,08:37 PM,18,25,25,24,12,24,69,27.6,1017,30,8,149,7,Georgia
2011-07-10,30,18,0.0,14.5,6,64,04:01 PM,01:03 AM,05:35 AM,08:37 PM,16,25,25,24,9,20,65,6.3,1014,30,9,246,5,Georgia
2011-07-11,28,18,0.0,14.5,5,71,05:09 PM,01:45 AM,05:36 AM,08:36 PM,17,23,23,22,17,21,74,1.9,1012,28,9,233,10,Georgia
2011-07-12,28,17,0.0,14.5,6,78,06:12 PM,02:34 AM,05:37 AM,08:36 PM,18,23,23,23,11,22,77,6.3,1012,28,9,203,7,Georgia
2011-07-13,25,18,0.0,13.5,5,86,07:07 PM,03:31 AM,05:38 AM,08:35 PM,18,22,22,21,12,47,84,25.3,1014,25,7,69,7,Georgia
2011-07-14,28,18,0.0,14.5,5,93,07:54 PM,04:33 AM,05:38 AM,08:35 PM,16,23,23,22,8,27,71,0.6,1015,28,10,86,5,Georgia
2011-07-15,29,17,0.0,14.5,5,100,08:32 PM,05:40 AM,05:39 AM,08:34 PM,16,23,23,22,10,25,67,8.2,1015,29,9,101,6,Georgia
2011-07-16,27,19,0.0,13.5,5,100,09:05 PM,06:45 AM,05:40 AM,08:33 PM,17,23,23,22,12,43,72,14.1,1011,27,9,77,7,Georgia
2011-07-17,29,18,0.0,14.5,6,85,09:33 PM,07:50 AM,05:41 AM,08:33 PM,12,23,23,23,10,13,51,1.0,1009,29,10,144,6,Georgia
2011-07-18,29,17,0.0,14.5,6,78,09:59 PM,08:53 AM,05:42 AM,08:32 PM,12,23,23,23,11,10,50,2.3,1009,29,10,104,7,Georgia
2011-07-19,28,17,0.0,14.5,5,71,10:22 PM,09:54 AM,05:42 AM,08:31 PM,12,23,23,22,9,15,53,7.4,1009,28,9,211,5,Georgia
2011-07-20,28,17,0.0,14.5,5,64,10:46 PM,10:54 AM,05:43 AM,08:31 PM,12,23,23,22,8,31,54,3.1,1009,28,10,81,5,Georgia
2011-07-21,30,16,0.0,14.5,6,56,11:11 PM,11:53 AM,05:44 AM,08:30 PM,14,23,23,23,7,19,59,7.6,1007,30,9,143,4,Georgia
2011-07-22,32,17,0.0,14.5,7,49,11:38 PM,12:52 PM,05:45 AM,08:29 PM,12,25,25,24,9,14,47,0.1,1007,32,10,186,5,Georgia
2011-07-23,32,19,0.0,14.5,7,42,No moonrise,01:52 PM,05:46 AM,08:28 PM,16,26,26,26,12,10,57,1.4,1009,32,10,251,7,Georgia
2011-07-24,25,18,0.0,14.5,5,34,12:07 AM,02:52 PM,05:47 AM,08:27 PM,15,23,23,22,11,33,63,3.9,1011,25,10,193,7,Georgia
2011-07-25,29,16,0.0,14.5,6,27,12:42 AM,03:51 PM,05:48 AM,08:26 PM,14,23,23,22,10,14,59,2.1,1014,29,10,54,6,Georgia
2011-07-26,35,18,0.0,14.5,8,20,01:23 AM,04:49 PM,05:49 AM,08:25 PM,17,29,29,27,8,3,57,0.0,1017,35,10,139,5,Georgia
2011-07-27,37,21,0.0,14.5,8,13,02:11 AM,05:43 PM,05:50 AM,08:24 PM,16,31,31,29,7,2,48,0.0,1017,37,10,131,4,Georgia
2011-07-28,36,22,0.0,14.5,8,5,03:07 AM,06:32 PM,05:51 AM,08:23 PM,17,30,30,29,6,1,51,0.0,1016,36,10,138,4,Georgia
2011-07-29,36,21,0.0,14.5,8,0,04:10 AM,07:16 PM,05:52 AM,08:22 PM,16,30,30,28,7,2,49,0.0,1014,36,10,117,4,Georgia
2011-07-30,36,20,0.0,14.5,8,0,05:20 AM,07:54 PM,05:53 AM,08:21 PM,13,30,30,28,8,4,40,0.0,1010,36,10,69,4,Georgia
2011-07-31,39,22,0.0,14.5,8,0,06:31 AM,08:28 PM,05:54 AM,08:20 PM,16,32,32,30,10,1,44,0.0,1008,39,10,212,6,Georgia
2011-08-01,37,22,0.0,14.5,8,9,07:45 AM,08:59 PM,05:54 AM,08:19 PM,18,31,31,29,14,3,54,0.0,1010,37,10,191,8,Georgia
2011-08-02,35,21,0.0,14.5,8,16,08:59 AM,09:29 PM,05:55 AM,08:18 PM,14,30,30,28,7,3,43,0.0,1010,35,10,110,4,Georgia
2011-08-03,34,21,0.0,14.5,7,24,10:12 AM,09:59 PM,05:56 AM,08:17 PM,14,29,29,27,12,4,46,0.0,1009,34,10,224,7,Georgia
2011-08-04,34,20,0.0,14.5,7,31,11:26 AM,10:30 PM,05:57 AM,08:16 PM,16,27,27,26,21,9,57,0.0,1010,34,10,265,11,Georgia
2011-08-05,31,20,0.0,14.5,6,38,12:39 PM,11:05 PM,05:58 AM,08:15 PM,16,26,26,25,17,21,60,1.1,1011,31,10,260,9,Georgia
2011-08-06,29,18,0.0,14.5,7,45,01:52 PM,11:46 PM,05:59 AM,08:13 PM,14,23,23,23,22,16,61,0.0,1012,29,10,266,12,Georgia
2011-08-07,22,18,0.0,12.2,5,53,03:01 PM,No moonset,06:00 AM,08:12 PM,15,20,21,20,11,50,75,3.9,1013,22,8,224,6,Georgia
2011-08-08,26,17,0.0,11.6,5,60,04:05 PM,12:32 AM,06:01 AM,08:11 PM,17,20,21,20,10,43,82,16.5,1015,26,8,119,6,Georgia
2011-08-09,21,16,0.0,8.2,4,67,05:02 PM,01:25 AM,06:02 AM,08:10 PM,16,18,19,18,9,60,85,6.5,1015,21,7,110,6,Georgia
2011-08-10,25,16,0.0,11.6,5,74,05:50 PM,02:24 AM,06:03 AM,08:08 PM,16,20,20,20,10,35,78,1.3,1013,25,10,104,6,Georgia
2011-08-11,26,16,0.0,11.6,5,82,06:31 PM,03:28 AM,06:04 AM,08:07 PM,16,21,21,20,8,30,76,1.4,1010,26,9,82,5,Georgia
