date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,22,5,0.0,15.6,5,24,01:45 AM,04:02 PM,05:49 AM,09:13 PM,-0,14,15,14,32,17,37,0.0,1009,22,10,206,20,Idaho
2011-06-26,23,6,0.0,15.6,4,17,02:13 AM,05:03 PM,05:49 AM,09:13 PM,2,15,16,15,26,20,45,0.3,1011,23,10,208,16,Idaho
2011-06-27,28,10,0.0,15.6,5,9,02:46 AM,06:04 PM,05:49 AM,09:13 PM,3,18,18,18,18,26,42,0.1,1015,28,10,199,11,Idaho
2011-06-28,31,8,0.0,15.6,6,2,03:26 AM,07:04 PM,05:50 AM,09:13 PM,3,19,19,19,27,3,40,0.7,1007,31,10,142,18,Idaho
2011-06-29,30,12,0.0,15.6,5,0,04:13 AM,07:59 PM,05:50 AM,09:13 PM,4,20,20,21,38,16,38,2.1,1005,30,10,186,25,Idaho
2011-06-30,25,10,0.0,15.6,5,0,05:09 AM,08:48 PM,05:51 AM,09:13 PM,6,16,17,16,29,6,52,0.5,1010,25,10,207,18,Idaho
2011-07-01,23,6,0.0,15.6,5,0,06:12 AM,09:31 PM,05:51 AM,09:13 PM,2,13,14,13,21,1,47,0.0,1016,23,10,202,13,Idaho
2011-07-02,28,7,0.0,15.6,6,6,07:21 AM,10:08 PM,05:52 AM,09:13 PM,3,17,17,17,10,0,43,0.0,1015,28,10,141,7,Idaho
2011-07-03,33,11,0.0,15.6,7,13,08:33 AM,10:40 PM,05:52 AM,09:13 PM,5,22,22,22,20,1,37,0.0,1011,33,10,162,13,Idaho
2011-07-04,32,14,0.0,15.6,6,20,09:46 AM,11:09 PM,05:53 AM,09:12 PM,7,21,21,22,24,6,42,1.2,1013,32,10,187,15,Idaho
2011-07-05,31,11,0.0,15.6,6,27,10:59 AM,11:37 PM,05:53 AM,09:12 PM,8,20,20,21,18,3,49,0.2,1016,31,10,176,11,Idaho
2011-07-06,30,12,0.0,15.6,6,35,12:11 PM,No moonset,05:54 AM,09:12 PM,4,20,20,21,20,1,39,0.2,1016,30,10,192,13,Idaho
2011-07-07,30,11,0.0,15.6,6,42,01:25 PM,12:04 AM,05:55 AM,09:11 PM,1,20,20,21,19,13,29,0.0,1013,30,10,183,12,Idaho
2011-07-08,28,10,0.0,15.6,6,49,02:38 PM,12:33 AM,05:55 AM,09:11 PM,7,18,19,18,32,3,51,0.0,1010,28,10,202,21,Idaho
2011-07-09,28,6,0.0,15.5,6,56,03:52 PM,01:06 AM,05:56 AM,09:10 PM,-2,16,17,16,31,1,29,0.0,1011,28,10,199,19,Idaho
2011-07-10,29,9,0.0,15.5,5,64,05:04 PM,01:43 AM,05:57 AM,09:10 PM,7,19,19,19,23,2,52,2.3,1011,29,10,181,14,Idaho
2011-07-11,30,9,0.0,15.5,6,71,06:11 PM,02:27 AM,05:58 AM,09:09 PM,8,19,19,19,16,4,51,1.4,1012,30,10,156,9,Idaho
2011-07-12,29,11,0.0,15.5,5,78,07:11 PM,03:19 AM,05:58 AM,09:09 PM,10,19,19,19,19,13,57,7.7,1011,29,9,150,12,Idaho
2011-07-13,29,12,0.0,15.5,5,86,08:02 PM,04:19 AM,05:59 AM,09:08 PM,7,20,20,20,28,12,50,2.9,1008,29,10,152,18,Idaho
