date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,33,23,0.0,11.6,7,24,02:01 AM,03:43 PM,06:20 AM,08:45 PM,22,32,32,29,31,13,71,0.0,1007,33,10,170,20,Illinois
2011-06-26,33,24,0.0,11.6,7,17,02:33 AM,04:39 PM,06:20 AM,08:45 PM,22,33,33,29,28,7,67,0.0,1009,33,10,175,19,Illinois
2011-06-27,35,24,0.0,9.4,7,9,03:11 AM,05:37 PM,06:21 AM,08:45 PM,20,32,32,29,22,28,59,0.9,1012,35,10,151,14,Illinois
2011-06-28,36,24,0.0,11.6,7,2,03:54 AM,06:33 PM,06:21 AM,08:45 PM,22,34,34,30,15,11,62,2.0,1013,36,10,149,9,Illinois
2011-06-29,36,24,0.0,11.6,7,0,04:43 AM,07:28 PM,06:22 AM,08:45 PM,20,32,32,30,21,10,58,0.0,1014,36,10,184,13,Illinois
2011-06-30,36,24,0.0,11.6,8,0,05:38 AM,08:19 PM,06:22 AM,08:45 PM,18,31,31,30,20,6,49,0.0,1013,36,10,174,12,Illinois
2011-07-01,36,23,0.0,11.6,8,0,06:39 AM,09:07 PM,06:22 AM,08:45 PM,18,31,31,29,18,9,51,0.0,1013,36,10,169,11,Illinois
2011-07-02,36,23,0.0,11.6,8,6,07:43 AM,09:49 PM,06:23 AM,08:45 PM,18,32,32,30,13,8,50,0.0,1015,36,10,140,7,Illinois
2011-07-03,37,23,0.0,11.6,8,13,08:49 AM,10:27 PM,06:23 AM,08:45 PM,17,32,32,30,15,6,48,0.5,1013,37,10,202,8,Illinois
2011-07-04,38,24,0.0,11.6,8,20,09:55 AM,11:03 PM,06:24 AM,08:45 PM,18,32,32,31,14,8,48,0.1,1011,38,10,165,8,Illinois
2011-07-05,37,24,0.0,11.6,8,27,11:02 AM,11:37 PM,06:24 AM,08:44 PM,17,32,32,31,16,7,47,0.4,1012,37,10,150,9,Illinois
2011-07-06,39,24,0.0,11.6,8,35,12:08 PM,No moonset,06:25 AM,08:44 PM,16,32,32,31,17,6,42,0.0,1012,39,10,181,10,Illinois
2011-07-07,39,24,0.0,11.6,8,42,01:14 PM,12:11 AM,06:25 AM,08:44 PM,17,32,32,31,20,13,44,0.0,1010,39,10,185,11,Illinois
2011-07-08,39,25,0.0,11.6,7,49,02:21 PM,12:46 AM,06:26 AM,08:44 PM,18,34,34,32,16,18,46,0.0,1008,39,10,165,9,Illinois
2011-07-09,38,25,0.0,11.6,8,56,03:29 PM,01:25 AM,06:26 AM,08:44 PM,17,33,33,31,19,12,45,0.0,1008,38,10,170,11,Illinois
2011-07-10,36,25,0.0,11.6,7,64,04:36 PM,02:07 AM,06:27 AM,08:43 PM,19,32,32,30,23,7,51,1.9,1011,36,10,169,14,Illinois
2011-07-11,36,25,0.0,11.6,8,71,05:41 PM,02:55 AM,06:27 AM,08:43 PM,20,33,33,31,20,11,54,0.0,1013,36,10,171,12,Illinois
2011-07-12,37,26,0.0,11.6,8,78,06:40 PM,03:49 AM,06:28 AM,08:43 PM,20,34,34,31,19,16,53,0.0,1012,37,10,152,11,Illinois
2011-07-13,38,24,0.0,11.6,7,86,07:33 PM,04:48 AM,06:28 AM,08:42 PM,20,34,34,31,18,12,53,3.8,1010,38,10,171,11,Illinois
2011-07-14,38,26,0.0,11.6,8,93,08:19 PM,05:50 AM,06:29 AM,08:42 PM,17,33,33,32,19,7,43,0.0,1008,38,10,166,11,Illinois
2011-07-15,39,25,0.0,11.6,7,100,08:59 PM,06:53 AM,06:30 AM,08:41 PM,16,33,33,32,17,11,40,0.7,1008,39,10,129,10,Illinois
2011-07-16,37,25,0.0,11.6,7,100,09:35 PM,07:54 AM,06:30 AM,08:41 PM,20,34,34,31,20,11,53,3.3,1010,37,10,112,12,Illinois
2011-07-17,37,26,0.0,11.6,8,85,10:06 PM,08:54 AM,06:31 AM,08:41 PM,20,34,34,31,15,21,53,0.1,1014,37,10,125,9,Illinois
2011-07-18,36,25,0.0,11.6,7,78,10:35 PM,09:51 AM,06:32 AM,08:40 PM,20,34,34,31,17,20,55,0.4,1015,36,10,93,10,Illinois
2011-07-19,36,25,0.0,11.6,8,71,11:03 PM,10:47 AM,06:32 AM,08:40 PM,21,34,34,31,19,15,57,0.0,1012,36,10,110,11,Illinois
2011-07-20,36,25,0.0,11.6,7,64,11:31 PM,11:42 AM,06:33 AM,08:39 PM,20,33,33,30,19,18,58,0.4,1010,36,10,151,11,Illinois
2011-07-21,36,25,0.0,11.6,7,56,No moonrise,12:36 PM,06:34 AM,08:38 PM,20,33,33,31,19,19,52,3.2,1009,36,10,157,11,Illinois
2011-07-22,36,25,0.0,11.6,8,49,12:01 AM,01:32 PM,06:34 AM,08:38 PM,19,33,33,31,22,13,49,0.1,1010,36,10,163,13,Illinois
2011-07-23,36,26,0.0,11.6,7,42,12:32 AM,02:27 PM,06:35 AM,08:37 PM,21,32,32,30,23,9,61,0.0,1012,36,10,165,13,Illinois
2011-07-24,38,25,0.0,11.6,8,34,01:08 AM,03:24 PM,06:36 AM,08:37 PM,18,34,34,32,16,7,48,0.9,1014,38,10,179,9,Illinois
2011-07-25,40,25,0.0,11.6,7,27,01:48 AM,04:21 PM,06:36 AM,08:36 PM,16,34,34,32,16,10,39,0.2,1012,40,10,182,9,Illinois
2011-07-26,39,26,0.0,11.6,7,20,02:33 AM,05:16 PM,06:37 AM,08:35 PM,16,33,33,32,21,11,40,1.3,1008,39,10,162,12,Illinois
2011-07-27,39,26,0.0,11.6,8,13,03:25 AM,06:09 PM,06:38 AM,08:34 PM,18,34,34,32,18,5,44,0.0,1008,39,10,153,11,Illinois
2011-07-28,38,25,0.0,11.6,8,5,04:23 AM,06:58 PM,06:38 AM,08:34 PM,19,33,33,31,19,10,48,0.0,1010,38,10,135,12,Illinois
2011-07-29,37,25,0.0,11.6,7,0,05:27 AM,07:43 PM,06:39 AM,08:33 PM,20,34,34,31,17,23,54,1.6,1013,37,10,135,10,Illinois
2011-07-30,36,25,0.0,11.6,8,0,06:33 AM,08:24 PM,06:40 AM,08:32 PM,20,33,33,30,17,11,56,0.0,1015,36,10,163,11,Illinois
2011-07-31,38,26,0.0,11.6,8,0,07:41 AM,09:02 PM,06:41 AM,08:31 PM,18,34,34,32,13,12,45,0.0,1016,38,10,183,8,Illinois
2011-08-01,40,26,0.0,11.6,9,9,08:48 AM,09:38 PM,06:41 AM,08:30 PM,14,33,33,33,14,8,32,0.0,1014,40,10,225,8,Illinois
2011-08-02,42,28,0.0,11.6,9,16,09:57 AM,10:12 PM,06:42 AM,08:30 PM,15,35,35,34,14,7,33,0.0,1010,42,10,190,8,Illinois
2011-08-03,40,28,0.0,11.6,9,24,11:05 AM,10:48 PM,06:43 AM,08:29 PM,16,36,36,34,18,8,35,0.0,1008,40,10,195,10,Illinois
2011-08-04,41,29,0.0,11.6,9,31,12:13 PM,11:26 PM,06:43 AM,08:28 PM,17,36,36,34,14,6,35,0.0,1009,41,10,186,7,Illinois
2011-08-05,39,27,0.0,11.6,9,38,01:21 PM,No moonset,06:44 AM,08:27 PM,17,35,35,34,19,2,37,0.0,1009,39,10,178,11,Illinois
2011-08-06,40,28,0.0,11.6,8,45,02:28 PM,12:07 AM,06:45 AM,08:26 PM,17,35,35,33,22,4,39,0.0,1009,40,10,179,13,Illinois
2011-08-07,39,27,0.0,11.6,8,53,03:33 PM,12:53 AM,06:46 AM,08:25 PM,18,35,35,33,21,5,42,0.0,1009,39,10,175,12,Illinois
2011-08-08,38,27,0.0,11.6,8,60,04:33 PM,01:45 AM,06:46 AM,08:24 PM,19,35,35,33,22,7,44,0.0,1007,38,10,187,14,Illinois
2011-08-09,39,27,0.0,11.6,8,67,05:28 PM,02:41 AM,06:47 AM,08:23 PM,18,35,35,33,19,3,40,0.0,1006,39,10,183,11,Illinois
2011-08-10,39,27,0.0,11.6,8,74,06:15 PM,03:41 AM,06:48 AM,08:22 PM,17,34,34,33,20,4,39,0.0,1006,39,10,162,12,Illinois
2011-08-11,35,25,0.0,11.6,7,82,06:57 PM,04:42 AM,06:49 AM,08:21 PM,20,33,33,29,20,21,60,1.6,1009,35,10,142,12,Illinois
2011-08-12,36,25,0.0,11.6,8,89,07:34 PM,05:44 AM,06:49 AM,08:20 PM,21,33,33,30,20,11,60,0.2,1010,36,10,143,12,Illinois
2011-08-13,34,24,0.0,11.6,7,96,08:06 PM,06:43 AM,06:50 AM,08:19 PM,19,31,31,29,15,15,58,0.7,1013,34,10,147,9,Illinois
2011-08-14,36,23,0.0,11.6,8,100,08:36 PM,07:41 AM,06:51 AM,08:18 PM,20,32,32,30,9,14,59,0.0,1014,36,10,79,6,Illinois
2011-08-15,38,25,0.0,11.6,8,89,09:05 PM,08:37 AM,06:51 AM,08:17 PM,19,33,33,31,11,25,50,0.3,1010,38,10,155,7,Illinois
2011-08-16,38,26,0.0,11.6,8,82,09:33 PM,09:33 AM,06:52 AM,08:16 PM,16,33,33,32,19,13,40,0.4,1011,38,10,184,12,Illinois
2011-08-17,39,26,0.0,11.6,8,75,10:02 PM,10:27 AM,06:53 AM,08:14 PM,16,33,33,32,15,17,38,0.2,1014,39,10,189,9,Illinois
2011-08-18,39,26,0.0,11.6,8,67,10:32 PM,11:23 AM,06:54 AM,08:13 PM,14,32,32,32,16,13,34,0.0,1012,39,10,201,9,Illinois
2011-08-19,40,27,0.0,11.6,8,60,11:06 PM,12:17 PM,06:54 AM,08:12 PM,14,33,33,33,19,3,32,0.0,1009,40,10,202,11,Illinois
2011-08-20,40,28,0.0,11.6,9,53,11:44 PM,01:13 PM,06:55 AM,08:11 PM,16,34,34,33,18,17,36,0.0,1010,40,10,203,11,Illinois
2011-08-21,39,27,0.0,11.6,8,46,No moonrise,02:09 PM,06:56 AM,08:10 PM,17,34,34,33,20,19,39,0.0,1013,39,10,150,12,Illinois
2011-08-22,38,26,0.0,11.6,7,38,12:26 AM,03:04 PM,06:57 AM,08:09 PM,16,33,33,32,15,15,39,0.4,1013,38,10,171,8,Illinois
2011-08-23,39,27,0.0,11.6,8,31,01:14 AM,03:57 PM,06:57 AM,08:07 PM,16,34,34,33,16,7,38,0.0,1010,39,10,188,10,Illinois
