date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,26,13,0.0,14.5,5,24,02:05 AM,04:06 PM,06:17 AM,09:17 PM,16,19,20,19,9,46,83,0.4,1014,26,7,250,5,Indiana
2011-06-26,24,18,0.0,13.5,5,17,02:35 AM,05:06 PM,06:18 AM,09:17 PM,19,21,22,21,17,64,90,12.1,1013,24,7,133,11,Indiana
2011-06-27,27,18,0.0,11.4,5,9,03:10 AM,06:05 PM,06:18 AM,09:17 PM,19,25,25,23,18,56,82,0.3,1012,27,8,236,11,Indiana
2011-06-28,24,18,0.0,14.5,5,2,03:51 AM,07:03 PM,06:19 AM,09:17 PM,19,22,22,21,20,29,86,0.0,1015,24,7,307,13,Indiana
2011-06-29,30,17,0.0,14.5,7,0,04:38 AM,07:59 PM,06:19 AM,09:17 PM,19,24,24,23,6,0,79,0.0,1018,30,10,206,4,Indiana
2011-06-30,28,15,0.0,14.5,7,0,05:34 AM,08:49 PM,06:19 AM,09:17 PM,18,23,23,22,8,11,76,0.0,1017,28,10,212,5,Indiana
2011-07-01,30,19,0.0,14.5,7,0,06:35 AM,09:34 PM,06:20 AM,09:17 PM,19,26,26,24,13,17,75,0.0,1016,30,10,222,7,Indiana
2011-07-02,30,19,0.0,14.5,7,6,07:42 AM,10:13 PM,06:20 AM,09:17 PM,21,27,27,25,17,7,83,0.0,1016,30,9,217,10,Indiana
2011-07-03,30,22,0.0,14.5,6,13,08:51 AM,10:49 PM,06:21 AM,09:17 PM,23,29,29,25,13,28,87,4.9,1014,30,7,228,8,Indiana
2011-07-04,28,20,0.0,14.5,5,20,10:02 AM,11:21 PM,06:21 AM,09:16 PM,20,25,25,23,9,28,85,7.2,1014,28,10,168,6,Indiana
2011-07-05,32,17,0.0,14.5,7,27,11:12 AM,11:51 PM,06:22 AM,09:16 PM,20,27,27,25,10,0,77,0.0,1015,32,10,143,6,Indiana
2011-07-06,31,16,0.0,14.5,7,35,12:21 PM,No moonset,06:23 AM,09:16 PM,20,27,27,24,8,6,79,0.1,1014,31,10,228,5,Indiana
2011-07-07,31,19,0.0,13.5,6,42,01:32 PM,12:21 AM,06:23 AM,09:16 PM,22,28,28,25,9,21,83,3.2,1013,31,8,139,5,Indiana
2011-07-08,28,21,0.0,14.5,6,49,02:43 PM,12:53 AM,06:24 AM,09:15 PM,21,26,26,24,12,16,84,4.3,1010,28,9,44,7,Indiana
2011-07-09,31,20,0.0,14.5,6,56,03:54 PM,01:27 AM,06:24 AM,09:15 PM,21,27,27,25,13,13,81,0.3,1014,31,7,121,8,Indiana
2011-07-10,30,18,0.0,14.5,7,64,05:04 PM,02:06 AM,06:25 AM,09:15 PM,21,26,26,24,12,4,81,0.0,1014,30,10,174,7,Indiana
2011-07-11,33,21,0.0,14.5,6,71,06:10 PM,02:52 AM,06:26 AM,09:14 PM,24,34,34,27,18,10,86,6.2,1011,33,10,225,11,Indiana
2011-07-12,31,23,0.0,14.5,6,78,07:11 PM,03:45 AM,06:26 AM,09:14 PM,25,32,32,27,10,45,89,4.9,1013,31,7,275,7,Indiana
2011-07-13,26,19,0.0,14.5,6,86,08:03 PM,04:44 AM,06:27 AM,09:13 PM,19,23,23,22,18,19,84,0.5,1015,26,10,61,10,Indiana
2011-07-14,25,16,0.0,14.5,6,93,08:47 PM,05:47 AM,06:28 AM,09:13 PM,17,22,22,21,16,6,83,0.0,1015,25,10,87,9,Indiana
2011-07-15,27,17,0.0,14.5,6,100,09:25 PM,06:52 AM,06:29 AM,09:12 PM,19,23,23,22,13,10,84,0.0,1014,27,8,76,8,Indiana
2011-07-16,30,20,0.0,14.5,6,100,09:56 PM,07:57 AM,06:29 AM,09:11 PM,22,28,28,25,7,33,87,0.0,1016,30,7,128,4,Indiana
2011-07-17,30,21,0.0,13.5,6,85,10:24 PM,09:00 AM,06:30 AM,09:11 PM,23,29,29,25,12,24,86,1.0,1019,30,9,250,7,Indiana
2011-07-18,30,23,0.0,13.4,6,78,10:50 PM,10:00 AM,06:31 AM,09:10 PM,24,31,31,26,17,44,90,5.5,1017,30,7,257,10,Indiana
2011-07-19,32,24,0.0,13.4,6,71,11:16 PM,11:00 AM,06:32 AM,09:10 PM,26,34,34,28,17,49,92,10.6,1012,32,6,296,10,Indiana
2011-07-20,33,25,0.0,13.4,7,64,11:41 PM,11:58 AM,06:33 AM,09:09 PM,27,36,36,28,14,37,90,5.4,1011,33,6,253,9,Indiana
2011-07-21,33,25,0.0,14.5,7,56,No moonrise,12:56 PM,06:33 AM,09:08 PM,26,36,36,29,16,38,87,0.1,1011,33,6,251,10,Indiana
2011-07-22,32,24,0.0,14.5,6,49,12:07 AM,01:54 PM,06:34 AM,09:07 PM,26,34,34,28,17,28,87,1.2,1013,32,7,227,10,Indiana
2011-07-23,29,23,0.0,14.5,6,42,12:35 AM,02:53 PM,06:35 AM,09:07 PM,24,30,30,25,17,5,94,2.4,1015,29,6,221,9,Indiana
2011-07-24,32,22,0.0,14.5,6,34,01:08 AM,03:52 PM,06:36 AM,09:06 PM,24,30,30,26,12,18,89,5.5,1015,32,8,175,7,Indiana
2011-07-25,29,21,0.0,13.4,6,27,01:45 AM,04:50 PM,06:37 AM,09:05 PM,23,28,28,25,12,45,90,0.0,1012,29,6,322,8,Indiana
2011-07-26,31,20,0.0,14.5,6,20,02:29 AM,05:47 PM,06:38 AM,09:04 PM,23,29,29,25,10,40,87,0.4,1011,31,5,312,6,Indiana
2011-07-27,31,21,0.0,14.5,6,13,03:21 AM,06:39 PM,06:39 AM,09:03 PM,24,31,31,26,16,17,87,1.4,1012,31,7,158,9,Indiana
2011-07-28,30,22,0.0,14.5,7,5,04:19 AM,07:27 PM,06:40 AM,09:02 PM,22,29,29,26,21,13,78,0.0,1014,30,10,216,12,Indiana
2011-07-29,31,23,0.0,14.5,6,0,05:25 AM,08:09 PM,06:40 AM,09:01 PM,23,30,30,26,18,16,84,6.0,1015,31,9,219,10,Indiana
2011-07-30,31,23,0.0,14.5,6,0,06:34 AM,08:47 PM,06:41 AM,09:00 PM,24,30,30,26,10,27,87,8.7,1017,31,9,79,6,Indiana
2011-07-31,34,21,0.0,11.6,6,0,07:45 AM,09:21 PM,06:42 AM,08:59 PM,24,33,33,27,9,14,84,1.5,1018,34,8,138,5,Indiana
2011-08-01,31,20,0.0,11.6,7,9,08:57 AM,09:53 PM,06:43 AM,08:58 PM,22,29,29,25,13,3,81,0.0,1016,31,10,265,7,Indiana
2011-08-02,30,21,0.0,11.6,7,16,10:09 AM,10:24 PM,06:44 AM,08:57 PM,21,28,28,25,17,8,81,0.0,1011,30,10,233,9,Indiana
2011-08-03,28,20,0.0,10.5,6,24,11:21 AM,10:56 PM,06:45 AM,08:56 PM,23,27,27,24,20,51,91,0.5,1007,28,6,292,12,Indiana
2011-08-04,27,18,0.0,10.5,5,31,12:33 PM,11:30 PM,06:46 AM,08:55 PM,21,25,25,23,14,70,93,0.3,1013,27,5,30,8,Indiana
2011-08-05,29,21,0.0,11.6,6,38,01:45 PM,No moonset,06:47 AM,08:54 PM,22,28,28,25,13,44,89,0.0,1013,29,7,127,8,Indiana
2011-08-06,29,22,0.0,10.5,6,45,02:56 PM,12:08 AM,06:48 AM,08:52 PM,24,29,29,25,13,62,93,2.1,1010,29,5,224,9,Indiana
2011-08-07,29,23,0.0,10.5,6,53,04:03 PM,12:51 AM,06:49 AM,08:51 PM,24,29,29,25,16,65,91,1.3,1008,29,5,262,10,Indiana
2011-08-08,31,21,0.0,11.6,6,60,05:04 PM,01:41 AM,06:50 AM,08:50 PM,22,27,27,24,13,47,91,7.8,1007,31,5,288,7,Indiana
2011-08-09,26,19,0.0,11.6,5,67,05:58 PM,02:36 AM,06:51 AM,08:49 PM,21,23,23,22,19,38,92,1.7,1005,26,7,271,12,Indiana
2011-08-10,23,16,0.0,11.6,5,74,06:44 PM,03:38 AM,06:52 AM,08:48 PM,17,20,21,20,15,31,87,1.1,1009,23,7,269,10,Indiana
2011-08-11,26,14,0.0,11.6,6,82,07:23 PM,04:41 AM,06:53 AM,08:46 PM,14,19,20,19,12,4,75,0.0,1015,26,10,78,6,Indiana
2011-08-12,25,15,0.0,11.6,6,89,07:57 PM,05:45 AM,06:54 AM,08:45 PM,15,19,20,19,11,3,77,0.0,1016,25,10,144,6,Indiana
2011-08-13,27,15,0.0,10.4,5,96,08:26 PM,06:47 AM,06:54 AM,08:44 PM,18,22,22,21,12,33,84,3.5,1012,27,8,212,7,Indiana
2011-08-14,21,14,0.0,8.1,4,100,08:53 PM,07:49 AM,06:55 AM,08:42 PM,17,18,19,18,17,76,94,2.9,1011,21,5,315,12,Indiana
2011-08-15,24,15,0.0,11.6,5,89,09:19 PM,08:49 AM,06:56 AM,08:41 PM,17,19,20,19,15,47,89,0.1,1014,24,5,221,9,Indiana
2011-08-16,28,13,0.0,11.6,5,82,09:44 PM,09:47 AM,06:57 AM,08:40 PM,18,22,22,21,11,2,82,0.0,1017,28,7,122,5,Indiana
2011-08-17,28,16,0.0,11.6,6,75,10:09 PM,10:45 AM,06:58 AM,08:38 PM,17,22,22,21,12,14,79,0.0,1018,28,10,186,7,Indiana
2011-08-18,29,18,0.0,11.6,6,67,10:37 PM,11:44 AM,06:59 AM,08:37 PM,20,25,25,23,9,16,85,1.6,1014,29,9,203,5,Indiana
2011-08-19,30,18,0.0,10.4,6,60,11:08 PM,12:41 PM,07:00 AM,08:35 PM,20,24,24,23,6,24,86,0.3,1012,30,7,173,3,Indiana
2011-08-20,28,18,0.0,11.6,5,53,11:43 PM,01:40 PM,07:01 AM,08:34 PM,20,24,24,23,12,24,88,2.1,1014,28,10,222,7,Indiana
2011-08-21,26,19,0.0,11.6,5,46,No moonrise,02:37 PM,07:02 AM,08:33 PM,21,24,24,22,16,39,92,5.9,1013,26,6,262,10,Indiana
2011-08-22,26,13,0.0,11.6,6,38,12:23 AM,03:34 PM,07:03 AM,08:31 PM,16,19,20,19,8,5,84,0.1,1017,26,8,200,4,Indiana
2011-08-23,26,16,0.0,11.6,5,31,01:10 AM,04:27 PM,07:04 AM,08:30 PM,17,22,22,21,15,11,81,3.1,1014,26,10,184,8,Indiana
2011-08-24,31,17,0.0,11.6,7,24,02:04 AM,05:17 PM,07:05 AM,08:28 PM,21,27,27,24,30,14,86,3.6,1008,31,10,218,17,Indiana
2011-08-25,26,17,0.0,11.6,5,16,03:06 AM,06:01 PM,07:06 AM,08:27 PM,20,23,23,22,19,18,87,4.5,1012,26,8,251,11,Indiana
2011-08-26,28,16,0.0,11.6,5,9,04:12 AM,06:41 PM,07:07 AM,08:25 PM,19,23,23,22,14,44,86,0.0,1015,28,6,150,8,Indiana
2011-08-27,26,16,0.0,11.6,6,2,05:23 AM,07:17 PM,07:08 AM,08:24 PM,18,22,22,21,15,8,85,0.2,1011,26,8,187,9,Indiana
2011-08-28,23,15,0.0,11.6,4,0,06:34 AM,07:50 PM,07:09 AM,08:22 PM,16,19,19,19,19,55,88,0.1,1011,23,5,307,11,Indiana
2011-08-29,25,14,0.0,11.6,6,0,07:48 AM,08:22 PM,07:10 AM,08:21 PM,15,19,19,19,16,11,79,0.0,1015,25,8,54,9,Indiana
2011-08-30,25,13,0.0,11.6,6,5,09:02 AM,08:55 PM,07:11 AM,08:19 PM,14,18,19,18,18,22,78,0.0,1018,25,10,119,10,Indiana
2011-08-31,29,17,0.0,11.6,6,9,10:16 AM,09:30 PM,07:12 AM,08:18 PM,18,24,24,22,20,21,75,0.2,1016,29,10,170,11,Indiana
2011-09-01,32,19,0.0,11.6,7,20,11:31 AM,10:07 PM,07:13 AM,08:16 PM,20,28,28,25,21,10,75,1.3,1015,32,10,229,12,Indiana
2011-09-02,33,21,0.0,11.6,7,28,12:44 PM,10:50 PM,07:13 AM,08:14 PM,20,28,28,26,20,2,71,0.0,1014,33,10,237,11,Indiana
