date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,21,13,0.0,12.5,4,24,01:24 AM,03:33 PM,05:33 AM,08:44 PM,16,17,18,17,16,44,89,0.2,1013,21,9,127,10,Iowa
2011-06-26,24,15,0.0,11.5,5,17,01:53 AM,04:33 PM,05:33 AM,08:44 PM,18,20,21,20,22,74,90,0.2,1012,24,6,143,14,Iowa
2011-06-27,28,18,0.0,12.5,5,9,02:27 AM,05:33 PM,05:34 AM,08:45 PM,19,24,24,23,21,38,81,0.8,1011,28,9,228,13,Iowa
2011-06-28,26,15,0.0,14.5,6,2,03:07 AM,06:32 PM,05:34 AM,08:45 PM,16,20,20,20,15,0,82,0.0,1017,26,8,276,9,Iowa
2011-06-29,26,13,0.0,14.5,6,0,03:55 AM,07:27 PM,05:35 AM,08:44 PM,16,21,21,20,17,2,82,0.0,1017,26,9,176,10,Iowa
2011-06-30,31,17,0.0,14.5,7,0,04:50 AM,08:17 PM,05:35 AM,08:44 PM,23,29,29,25,26,9,89,0.0,1012,31,8,168,15,Iowa
2011-07-01,32,23,0.0,14.5,7,0,05:52 AM,09:01 PM,05:36 AM,08:44 PM,25,33,33,27,29,21,87,0.1,1012,32,10,195,17,Iowa
2011-07-02,28,21,0.0,14.5,7,6,07:00 AM,09:40 PM,05:36 AM,08:44 PM,22,27,27,25,22,4,84,0.1,1015,28,10,181,13,Iowa
2011-07-03,27,18,0.0,14.5,5,13,08:10 AM,10:13 PM,05:37 AM,08:44 PM,19,23,23,22,16,20,84,0.3,1016,27,9,53,8,Iowa
2011-07-04,28,16,0.0,14.5,6,20,09:22 AM,10:44 PM,05:37 AM,08:44 PM,18,23,23,22,11,8,80,0.0,1015,28,10,79,6,Iowa
2011-07-05,28,16,0.0,14.5,5,27,10:33 AM,11:13 PM,05:38 AM,08:43 PM,19,24,24,22,11,14,81,0.4,1015,28,9,206,6,Iowa
2011-07-06,29,18,0.0,14.5,6,35,11:45 AM,11:42 PM,05:38 AM,08:43 PM,20,25,25,24,10,13,83,0.6,1015,29,9,107,6,Iowa
2011-07-07,27,19,0.0,14.5,5,42,12:57 PM,No moonset,05:39 AM,08:43 PM,20,23,23,22,15,34,91,8.9,1013,27,7,107,9,Iowa
2011-07-08,29,15,0.0,14.5,6,49,02:09 PM,12:12 AM,05:40 AM,08:42 PM,20,25,25,23,8,19,83,2.0,1011,29,8,232,5,Iowa
2011-07-09,28,19,0.0,14.5,6,56,03:21 PM,12:45 AM,05:40 AM,08:42 PM,21,25,25,24,21,9,87,0.0,1012,28,7,175,13,Iowa
2011-07-10,30,20,0.0,14.5,6,64,04:32 PM,01:24 AM,05:41 AM,08:42 PM,24,30,30,26,20,56,91,0.0,1010,30,5,160,12,Iowa
2011-07-11,31,24,0.0,14.5,6,71,05:39 PM,02:08 AM,05:42 AM,08:41 PM,25,32,32,27,16,31,90,2.8,1010,31,8,268,10,Iowa
2011-07-12,29,20,0.0,14.5,6,78,06:39 PM,03:01 AM,05:43 AM,08:41 PM,21,26,26,24,19,43,86,0.4,1015,29,6,76,11,Iowa
2011-07-13,25,15,0.0,14.5,5,86,07:31 PM,04:00 AM,05:43 AM,08:40 PM,18,20,21,20,20,42,86,0.8,1017,25,9,59,13,Iowa
2011-07-14,26,15,0.0,13.5,5,93,08:14 PM,05:04 AM,05:44 AM,08:40 PM,19,21,22,21,17,62,91,1.2,1015,26,5,109,11,Iowa
2011-07-15,29,20,0.0,13.5,6,100,08:50 PM,06:10 AM,05:45 AM,08:39 PM,22,27,27,24,19,55,91,0.3,1013,29,6,131,12,Iowa
2011-07-16,30,22,0.0,14.5,6,100,09:21 PM,07:16 AM,05:46 AM,08:38 PM,24,30,30,25,21,51,91,1.2,1015,30,5,165,13,Iowa
2011-07-17,32,22,0.0,14.5,6,85,09:48 PM,08:19 AM,05:47 AM,08:38 PM,25,33,33,27,19,37,88,0.1,1017,32,7,190,11,Iowa
2011-07-18,33,24,0.0,14.5,6,78,10:13 PM,09:22 AM,05:47 AM,08:37 PM,26,35,35,28,22,31,89,0.0,1015,33,6,231,13,Iowa
2011-07-19,35,25,0.0,13.5,7,71,10:37 PM,10:22 AM,05:48 AM,08:36 PM,27,38,38,30,17,39,86,0.0,1012,35,6,260,9,Iowa
2011-07-20,32,23,0.0,14.5,7,64,11:01 PM,11:22 AM,05:49 AM,08:35 PM,25,34,34,28,27,1,83,0.0,1008,32,10,214,15,Iowa
2011-07-21,33,24,0.0,14.5,6,56,11:26 PM,12:20 PM,05:50 AM,08:35 PM,25,34,34,28,16,9,85,10.7,1009,33,9,176,8,Iowa
2011-07-22,31,22,0.0,13.5,6,49,11:54 PM,01:20 PM,05:51 AM,08:34 PM,25,31,31,26,15,33,92,8.8,1010,31,10,151,9,Iowa
2011-07-23,28,22,0.0,14.5,6,42,No moonrise,02:19 PM,05:52 AM,08:33 PM,24,29,29,25,15,16,94,4.6,1012,28,5,136,8,Iowa
2011-07-24,30,25,0.0,14.5,6,34,12:25 AM,03:20 PM,05:53 AM,08:32 PM,25,31,31,27,16,31,89,0.6,1014,30,8,206,10,Iowa
2011-07-25,30,18,0.0,14.5,6,27,01:02 AM,04:18 PM,05:54 AM,08:31 PM,22,28,28,25,10,29,85,0.1,1014,30,7,153,6,Iowa
2011-07-26,33,22,0.0,14.5,6,20,01:46 AM,05:15 PM,05:55 AM,08:30 PM,25,33,33,27,13,7,88,4.3,1010,33,8,187,7,Iowa
