date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,27,17,0.0,12.4,5,24,01:41 AM,03:40 PM,05:54 AM,08:48 PM,20,23,23,21,26,39,94,29.3,1008,27,8,90,13,Kansas
2011-06-26,27,20,0.0,11.4,5,17,02:11 AM,04:39 PM,05:54 AM,08:48 PM,22,26,26,24,19,64,93,9.4,1010,27,10,139,13,Kansas
2011-06-27,31,20,0.0,12.4,6,9,02:47 AM,05:39 PM,05:55 AM,08:49 PM,21,28,28,25,17,37,77,0.4,1012,31,9,186,11,Kansas
2011-06-28,27,15,0.0,14.5,6,2,03:28 AM,06:36 PM,05:55 AM,08:49 PM,17,22,22,21,15,2,81,0.0,1018,27,10,65,9,Kansas
2011-06-29,31,16,0.0,14.5,7,0,04:16 AM,07:32 PM,05:55 AM,08:49 PM,21,27,27,24,20,11,86,0.0,1015,31,10,143,12,Kansas
2011-06-30,33,21,0.0,14.5,7,0,05:11 AM,08:22 PM,05:56 AM,08:48 PM,24,32,32,27,26,1,83,0.0,1012,33,9,186,15,Kansas
2011-07-01,33,22,0.0,14.5,7,0,06:13 AM,09:07 PM,05:56 AM,08:48 PM,23,31,31,27,26,1,78,0.0,1012,33,10,195,15,Kansas
2011-07-02,33,21,0.0,14.5,7,6,07:20 AM,09:47 PM,05:57 AM,08:48 PM,23,32,32,27,19,6,78,3.9,1015,33,10,138,11,Kansas
2011-07-03,28,21,0.0,13.5,5,13,08:28 AM,10:22 PM,05:57 AM,08:48 PM,22,26,26,23,17,36,95,30.7,1015,28,8,83,10,Kansas
2011-07-04,28,19,0.0,11.4,6,20,09:38 AM,10:55 PM,05:58 AM,08:48 PM,22,25,25,23,9,69,92,4.8,1014,28,7,88,6,Kansas
