date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,23,16,0.0,11.4,5,24,01:26 AM,03:26 PM,05:39 AM,08:35 PM,19,20,21,20,20,57,93,7.4,1012,23,5,94,12,Louisiana
2011-06-26,25,19,0.0,12.4,5,17,01:56 AM,04:25 PM,05:39 AM,08:35 PM,21,24,24,22,12,67,93,7.0,1011,25,6,126,8,Louisiana
2011-06-27,30,19,0.0,12.4,6,9,02:31 AM,05:25 PM,05:39 AM,08:35 PM,20,27,27,24,17,47,79,0.9,1012,30,8,195,10,Louisiana
2011-06-28,25,15,0.0,14.5,5,2,03:12 AM,06:22 PM,05:40 AM,08:35 PM,18,21,21,20,14,27,84,0.0,1017,25,7,187,8,Louisiana
2011-06-29,28,15,0.0,14.5,6,0,04:00 AM,07:18 PM,05:40 AM,08:35 PM,18,22,22,21,14,2,82,0.0,1017,28,10,131,8,Louisiana
2011-06-30,32,19,0.0,14.5,7,0,04:55 AM,08:08 PM,05:41 AM,08:35 PM,22,28,28,25,20,3,83,0.0,1014,32,10,160,12,Louisiana
2011-07-01,34,21,0.0,14.5,7,0,05:57 AM,08:53 PM,05:41 AM,08:35 PM,23,32,32,27,18,7,79,0.0,1014,34,10,180,10,Louisiana
2011-07-02,33,20,0.0,14.5,6,6,07:04 AM,09:33 PM,05:41 AM,08:35 PM,22,32,32,27,18,17,77,0.9,1015,33,9,228,10,Louisiana
2011-07-03,29,21,0.0,14.5,6,13,08:12 AM,10:08 PM,05:42 AM,08:35 PM,23,27,27,24,13,33,90,8.2,1015,29,7,103,8,Louisiana
2011-07-04,27,19,0.0,14.5,5,20,09:23 AM,10:40 PM,05:43 AM,08:35 PM,21,24,24,23,10,28,91,16.4,1014,27,7,46,6,Louisiana
2011-07-05,29,18,0.0,14.5,6,27,10:32 AM,11:11 PM,05:43 AM,08:34 PM,21,25,25,24,12,10,85,0.1,1015,29,7,89,7,Louisiana
2011-07-06,30,20,0.0,14.5,7,35,11:42 AM,11:42 PM,05:44 AM,08:34 PM,21,28,28,25,8,5,79,0.0,1014,30,10,79,5,Louisiana
2011-07-07,27,19,0.0,11.4,5,42,12:52 PM,No moonset,05:44 AM,08:34 PM,21,24,24,23,7,38,92,25.9,1012,27,8,113,4,Louisiana
2011-07-08,28,19,0.0,13.5,5,49,02:03 PM,12:13 AM,05:45 AM,08:33 PM,21,25,25,23,13,36,89,1.7,1011,28,8,74,8,Louisiana
2011-07-09,29,17,0.0,14.5,7,56,03:14 PM,12:48 AM,05:45 AM,08:33 PM,21,26,26,24,13,3,84,0.0,1012,29,9,134,8,Louisiana
2011-07-10,34,20,0.0,14.5,7,64,04:23 PM,01:28 AM,05:46 AM,08:33 PM,24,32,32,27,16,6,86,0.0,1010,34,10,171,10,Louisiana
2011-07-11,35,24,0.0,14.5,8,71,05:30 PM,02:13 AM,05:47 AM,08:32 PM,25,35,35,29,16,8,82,0.1,1010,35,10,236,9,Louisiana
2011-07-12,32,24,0.0,14.5,6,78,06:30 PM,03:06 AM,05:47 AM,08:32 PM,26,34,34,28,12,25,89,8.3,1013,32,5,69,7,Louisiana
