date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,39,32,0.0,12.9,9,24,12:55 AM,01:41 PM,05:48 AM,06:41 PM,15,36,36,36,18,22,29,0.1,1008,39,10,226,14,Maine
2011-06-26,39,30,0.0,11.9,8,17,01:35 AM,02:30 PM,05:48 AM,06:42 PM,18,36,36,34,19,34,41,2.3,1008,39,10,217,15,Maine
2011-06-27,38,30,0.0,11.9,8,9,02:17 AM,03:21 PM,05:48 AM,06:42 PM,17,35,35,34,18,47,38,0.3,1009,38,10,226,13,Maine
2011-06-28,38,29,0.0,12.9,7,2,03:04 AM,04:14 PM,05:48 AM,06:42 PM,19,36,36,33,25,26,43,6.8,1008,38,9,253,19,Maine
2011-06-29,39,30,0.0,12.9,9,0,03:54 AM,05:08 PM,05:49 AM,06:42 PM,16,35,35,35,23,10,34,0.0,1007,39,10,250,17,Maine
2011-06-30,37,29,0.0,12.9,8,0,04:48 AM,06:02 PM,05:49 AM,06:42 PM,18,36,36,34,16,22,39,0.0,1009,37,10,186,13,Maine
2011-07-01,40,32,0.0,12.9,9,0,05:45 AM,06:55 PM,05:49 AM,06:42 PM,14,36,36,36,15,11,28,0.2,1009,40,10,143,11,Maine
2011-07-02,40,31,0.0,12.9,9,6,06:42 AM,07:46 PM,05:49 AM,06:42 PM,14,36,36,35,21,10,30,0.1,1007,40,10,229,16,Maine
2011-07-03,40,30,0.0,12.9,9,13,07:40 AM,08:34 PM,05:50 AM,06:43 PM,15,35,35,35,20,9,32,0.0,1007,40,10,212,15,Maine
2011-07-04,39,32,0.0,12.9,9,20,08:37 AM,09:20 PM,05:50 AM,06:43 PM,15,36,36,36,15,14,29,0.2,1009,39,10,197,11,Maine
2011-07-05,41,33,0.0,12.9,9,27,09:33 AM,10:04 PM,05:50 AM,06:43 PM,14,37,37,37,21,8,26,0.1,1009,41,10,255,16,Maine
2011-07-06,41,32,0.0,12.9,9,35,10:28 AM,10:48 PM,05:50 AM,06:43 PM,14,37,37,37,24,5,27,0.0,1006,41,10,242,18,Maine
2011-07-07,39,31,0.0,12.9,9,42,11:24 AM,11:34 PM,05:51 AM,06:43 PM,14,36,36,36,19,13,29,0.6,1007,39,10,232,14,Maine
2011-07-08,38,30,0.0,12.9,8,49,12:21 PM,No moonset,05:51 AM,06:43 PM,16,36,36,35,16,37,33,3.4,1008,38,10,184,13,Maine
2011-07-09,41,32,0.0,12.9,9,56,01:19 PM,12:20 AM,05:51 AM,06:43 PM,12,36,36,36,16,9,24,0.1,1008,41,10,135,12,Maine
2011-07-10,40,31,0.0,12.9,9,64,02:18 PM,01:10 AM,05:52 AM,06:43 PM,12,36,36,36,17,2,25,0.0,1007,40,10,220,13,Maine
2011-07-11,39,30,0.0,12.9,9,71,03:19 PM,02:03 AM,05:52 AM,06:43 PM,17,36,36,34,28,25,39,0.1,1008,39,10,226,23,Maine
2011-07-12,36,26,0.0,12.9,7,78,04:18 PM,03:00 AM,05:52 AM,06:43 PM,18,33,33,31,19,28,48,1.7,1010,36,10,222,16,Maine
2011-07-13,38,29,0.0,12.9,9,86,05:15 PM,03:58 AM,05:52 AM,06:43 PM,17,35,35,34,17,24,38,1.0,1008,38,10,206,14,Maine
2011-07-14,39,30,0.0,12.9,9,93,06:08 PM,04:56 AM,05:53 AM,06:43 PM,17,36,36,35,18,21,35,0.7,1008,39,10,177,15,Maine
2011-07-15,36,29,0.0,12.9,7,100,06:57 PM,05:53 AM,05:53 AM,06:43 PM,19,35,35,32,20,34,48,7.3,1010,36,9,235,16,Maine
2011-07-16,38,28,0.0,12.9,7,100,07:42 PM,06:47 AM,05:53 AM,06:43 PM,19,35,35,33,23,21,47,8.4,1009,38,10,239,18,Maine
2011-07-17,38,28,0.0,12.9,7,85,08:22 PM,07:39 AM,05:53 AM,06:42 PM,19,35,35,33,24,36,48,4.0,1009,38,9,226,19,Maine
2011-07-18,39,29,0.0,12.9,9,78,09:01 PM,08:28 AM,05:54 AM,06:42 PM,19,37,37,34,24,12,42,0.0,1009,39,10,229,19,Maine
2011-07-19,40,30,0.0,12.9,9,71,09:38 PM,09:15 AM,05:54 AM,06:42 PM,17,37,37,36,23,11,35,0.0,1008,40,10,238,18,Maine
2011-07-20,37,29,0.0,12.9,8,64,10:14 PM,10:01 AM,05:54 AM,06:42 PM,19,35,35,32,32,15,47,0.6,1009,37,10,208,27,Maine
2011-07-21,36,26,0.0,12.9,7,56,10:52 PM,10:47 AM,05:55 AM,06:42 PM,19,33,33,31,27,26,51,7.1,1010,36,9,204,21,Maine
2011-07-22,38,28,0.0,12.9,8,49,11:31 PM,11:34 AM,05:55 AM,06:42 PM,18,34,34,33,22,10,41,0.0,1010,38,10,225,17,Maine
2011-07-23,37,29,0.0,12.9,8,42,No moonrise,12:22 PM,05:55 AM,06:42 PM,18,35,35,33,24,29,41,0.0,1011,37,10,221,19,Maine
2011-07-24,39,29,0.0,12.9,9,34,12:12 AM,01:12 PM,05:55 AM,06:41 PM,17,35,35,33,27,18,40,1.9,1008,39,10,250,20,Maine
2011-07-25,38,29,0.0,12.9,7,27,12:56 AM,02:03 PM,05:56 AM,06:41 PM,18,34,34,32,33,30,44,19.9,1007,38,9,222,24,Maine
2011-07-26,36,27,0.0,12.9,8,20,01:44 AM,02:56 PM,05:56 AM,06:41 PM,18,33,33,31,23,8,47,7.0,1008,36,10,244,17,Maine
2011-07-27,38,28,0.0,12.9,8,13,02:36 AM,03:50 PM,05:56 AM,06:41 PM,17,35,35,33,26,4,39,0.0,1007,38,10,237,18,Maine
2011-07-28,35,28,0.0,12.8,7,5,03:32 AM,04:43 PM,05:56 AM,06:40 PM,20,33,33,31,29,39,55,3.5,1008,35,9,197,23,Maine
2011-07-29,34,26,0.0,12.8,7,0,04:29 AM,05:36 PM,05:56 AM,06:40 PM,21,33,33,30,17,20,60,2.3,1008,34,10,175,13,Maine
2011-07-30,35,28,0.0,12.8,7,0,05:28 AM,06:26 PM,05:57 AM,06:40 PM,21,35,35,32,12,28,53,4.5,1009,35,9,196,10,Maine
2011-07-31,36,29,0.0,12.8,7,0,06:26 AM,07:14 PM,05:57 AM,06:39 PM,19,35,35,33,18,52,46,0.1,1008,36,9,263,14,Maine
2011-08-01,39,30,0.0,12.8,9,9,07:24 AM,08:00 PM,05:57 AM,06:39 PM,16,36,36,35,21,26,35,0.0,1006,39,10,245,14,Maine
2011-08-02,40,30,0.0,12.8,9,16,08:21 AM,08:46 PM,05:57 AM,06:39 PM,17,36,36,35,23,13,35,0.1,1006,40,10,243,16,Maine
2011-08-03,35,28,0.0,12.8,7,24,09:18 AM,09:32 PM,05:58 AM,06:38 PM,21,35,35,32,26,18,53,0.3,1009,35,10,222,20,Maine
2011-08-04,37,26,0.0,12.8,8,31,10:15 AM,10:19 PM,05:58 AM,06:38 PM,19,34,34,32,21,13,49,0.0,1010,37,10,235,17,Maine
2011-08-05,37,28,0.0,12.8,7,38,11:14 AM,11:08 PM,05:58 AM,06:38 PM,20,35,35,32,29,14,49,5.9,1009,37,10,222,21,Maine
2011-08-06,35,27,0.0,12.8,7,45,12:13 PM,No moonset,05:58 AM,06:37 PM,21,34,34,31,25,38,57,3.4,1010,35,10,238,20,Maine
2011-08-07,36,27,0.0,12.8,8,53,01:13 PM,12:00 AM,05:58 AM,06:37 PM,20,34,34,31,22,21,52,4.1,1010,36,10,241,17,Maine
2011-08-08,27,25,0.0,11.9,6,60,02:12 PM,12:55 AM,05:58 AM,06:36 PM,21,28,28,26,25,50,75,21.4,1012,27,8,226,18,Maine
2011-08-09,36,25,0.0,12.8,7,67,03:09 PM,01:51 AM,05:59 AM,06:36 PM,20,33,33,30,15,20,58,0.7,1010,36,10,230,11,Maine
2011-08-10,37,27,0.0,12.8,7,74,04:02 PM,02:48 AM,05:59 AM,06:36 PM,18,34,34,32,25,32,45,0.1,1008,37,10,229,18,Maine
2011-08-11,37,28,0.0,12.8,7,82,04:52 PM,03:45 AM,05:59 AM,06:35 PM,20,35,35,32,29,22,51,0.0,1007,37,10,235,22,Maine
2011-08-12,36,28,0.0,12.8,7,89,05:37 PM,04:39 AM,05:59 AM,06:35 PM,21,33,33,30,35,33,61,17.8,1007,36,9,222,23,Maine
2011-08-13,33,25,0.0,12.8,6,96,06:19 PM,05:32 AM,05:59 AM,06:34 PM,21,29,29,27,25,31,71,1.5,1008,33,9,232,19,Maine
2011-08-14,34,24,0.0,12.8,6,100,06:58 PM,06:21 AM,05:59 AM,06:34 PM,21,30,30,28,22,42,70,29.2,1008,34,8,211,14,Maine
2011-08-15,32,25,0.0,12.7,6,89,07:36 PM,07:09 AM,05:59 AM,06:33 PM,22,31,31,28,17,43,74,37.1,1009,32,8,216,11,Maine
2011-08-16,35,25,0.0,12.3,7,82,08:13 PM,07:56 AM,06:00 AM,06:33 PM,21,32,32,29,19,30,63,8.8,1010,35,9,256,14,Maine
2011-08-17,32,27,0.0,12.3,6,75,08:50 PM,08:42 AM,06:00 AM,06:32 PM,21,31,31,28,23,47,65,8.1,1009,32,9,230,16,Maine
2011-08-18,27,23,0.0,12.3,5,67,09:28 PM,09:28 AM,06:00 AM,06:32 PM,22,27,27,25,33,59,83,206.4,1009,27,8,192,22,Maine
2011-08-19,32,24,0.0,12.3,6,60,10:08 PM,10:15 AM,06:00 AM,06:31 PM,20,29,29,28,9,32,65,0.7,1011,32,10,188,7,Maine
2011-08-20,34,27,0.0,12.3,7,53,10:50 PM,11:04 AM,06:00 AM,06:30 PM,20,32,32,29,13,39,60,3.7,1012,34,10,212,9,Maine
2011-08-21,36,27,0.0,12.3,8,46,11:36 PM,11:54 AM,06:00 AM,06:30 PM,19,33,33,31,12,25,52,1.3,1009,36,10,219,8,Maine
2011-08-22,37,28,0.0,12.3,8,38,No moonrise,12:45 PM,06:00 AM,06:29 PM,17,34,34,33,17,15,41,0.0,1008,37,10,226,11,Maine
2011-08-23,36,26,0.0,12.3,6,31,12:25 AM,01:38 PM,06:00 AM,06:29 PM,21,32,32,29,32,24,62,50.3,1011,36,9,215,20,Maine
2011-08-24,34,25,0.0,12.3,8,24,01:18 AM,02:30 PM,06:00 AM,06:28 PM,20,32,32,30,10,20,61,1.5,1011,34,10,213,7,Maine
2011-08-25,36,28,0.0,12.3,8,16,02:13 AM,03:23 PM,06:00 AM,06:27 PM,19,34,34,32,10,14,46,0.0,1011,36,10,160,6,Maine
2011-08-26,37,28,0.0,12.3,8,9,03:11 AM,04:13 PM,06:00 AM,06:27 PM,19,35,35,33,13,7,44,0.4,1009,37,10,228,8,Maine
2011-08-27,36,27,0.0,12.3,7,2,04:09 AM,05:03 PM,06:00 AM,06:26 PM,21,34,34,31,24,22,59,5.2,1010,36,9,238,17,Maine
2011-08-28,35,26,0.0,11.6,8,0,05:08 AM,05:51 PM,06:01 AM,06:26 PM,20,33,33,31,26,9,56,0.8,1011,35,10,252,19,Maine
2011-08-29,37,27,0.0,11.6,8,0,06:06 AM,06:37 PM,06:01 AM,06:25 PM,17,33,33,32,23,7,41,0.2,1009,37,10,246,15,Maine
2011-08-30,37,28,0.0,11.6,8,5,07:05 AM,07:25 PM,06:01 AM,06:24 PM,18,34,34,32,20,18,43,0.2,1010,37,10,215,13,Maine
2011-08-31,37,28,0.0,11.6,7,9,08:04 AM,08:13 PM,06:01 AM,06:24 PM,19,35,35,32,18,27,48,2.4,1010,37,10,244,13,Maine
2011-09-01,37,27,0.0,11.6,8,20,09:04 AM,09:03 PM,06:01 AM,06:23 PM,19,34,34,32,23,28,49,1.3,1011,37,10,237,18,Maine
